areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00087758,93,7
E00087759,89.7,10.3
E00087760,89,11
E00087761,89.8,10.2
E00087762,88.3,11.7
E00087763,94.4,5.6
E00087764,91.1,8.9
E00087765,93.3,6.7
E00087767,95.9,4.1
E00087768,91.1,8.9
E00087769,89.3,10.7
E00087770,94.6,5.4
E00087771,91.9,8.1
E00087772,90.9,9.1
E00087773,89,11
E00087833,89,11
E00087834,92.7,7.3
E00087835,96.6,3.4
E00087836,93.5,6.5
E00087837,94.8,5.2
E00087838,90.8,9.2
E00087839,91,9
E00087840,94.5,5.5
E00087841,94.1,5.9
E00087842,93.9,6.1
E00087843,94.4,5.6
E00087844,95,5
E00087845,97,3
E00087846,95.9,4.1
E00087934,93.7,6.3
E00087935,93.5,6.5
E00087936,92.3,7.7
E00087937,92.8,7.3
E00087938,96.3,3.7
E00087939,96.4,3.6
E00087940,91.9,8.1
E00087942,94.9,5.1
E00087948,92.7,7.3
E00088059,93.3,6.7
E00088060,94.1,5.9
E00088063,94.4,5.6
E00088065,92.7,7.3
E00088066,92.3,7.7
E00088067,90.5,9.5
E00088068,91.3,8.7
E00088069,92.9,7.1
E00088070,97.3,2.7
E00088071,98.5,1.5
E00088072,92,8
E00088074,93.4,6.6
E00088076,95.3,4.7
E00088077,87.3,12.7
E00088084,93.5,6.5
E00088086,90.7,9.3
E00088087,91.5,8.5
E00088088,91.8,8.2
E00088089,97.3,2.7
E00088095,91,9
E00088096,94.4,5.6
E00088097,94.3,5.7
E00088099,91.9,8.1
E00088100,92.9,7.1
E00088101,94.6,5.4
E00088102,95.8,4.2
E00088103,96.7,3.3
E00088104,93.2,6.8
E00088105,90.9,9.1
E00088107,95,5
E00088108,96.4,3.6
E00088109,93.1,6.9
E00088110,94.8,5.2
E00088111,96.2,3.8
E00088115,91.9,8.1
E00088116,90.6,9.4
E00119175,92.6,7.4
E00119176,94.3,5.7
E00119177,96.6,3.4
E00119178,94.7,5.3
E00119180,97.3,2.7
E00119181,98.5,1.5
E00119182,93.7,6.3
E00119183,94.9,5.1
E00119185,94.1,5.9
E00119186,95.2,4.8
E00119187,91.3,8.7
E00119188,96.2,3.8
E00119189,92.1,7.9
E00119190,94.8,5.2
E00119191,90.7,9.3
E00119192,94.8,5.2
E00119193,91.2,8.8
E00119194,96.6,3.4
E00119195,90.7,9.3
E00119196,94.7,5.3
E00119197,93.2,6.8
E00119198,96.8,3.2
E00119282,96.3,3.7
E00119285,95.5,4.5
E00119286,94.4,5.6
E00119334,96.6,3.4
E00119335,94.6,5.4
E00119336,96.9,3.1
E00119338,92.5,7.5
E00119339,95.9,4.1
E00119340,94.8,5.2
E00119341,93.8,6.3
E00119342,96.2,3.8
E00119394,86.8,13.2
E00119399,97.6,2.4
E00119401,97.5,2.5
E00119402,94.6,5.4
E00119403,96.1,3.9
E00119404,93.5,6.5
E00119405,92.1,7.9
E00119406,96.1,3.9
E00119407,95.3,4.7
E00119409,96.6,3.4
E00119410,93.1,6.9
E00119411,93.3,6.7
E00119469,96.1,3.9
E00119471,97.4,2.6
E00119472,93.1,6.9
E00119473,95.2,4.8
E00119474,93.2,6.8
E00119475,91.7,8.3
E00119782,91.4,8.6
E00119783,95.1,4.9
E00119784,94.9,5.1
E00119785,92.8,7.2
E00119786,90.8,9.2
E00119787,92.7,7.3
E00119788,92.4,7.6
E00119789,91.7,8.3
E00119790,95.3,4.7
E00119791,88.3,11.7
E00119792,93.8,6.2
E00119793,89.6,10.4
E00119794,87.3,12.7
E00119795,90.1,9.9
E00119796,92,8
E00119797,93.1,6.9
E00119798,89.5,10.5
E00119799,90.8,9.2
E00119800,87.5,12.5
E00119801,92.6,7.4
E00119802,91.4,8.6
E00119803,91.1,8.9
E00119804,92,8
E00119805,89.7,10.3
E00119806,95.8,4.2
E00119807,94.2,5.8
E00119808,93.2,6.8
E00119809,91.5,8.5
E00119810,93.1,6.9
E00119811,93.6,6.4
E00119812,93.2,6.8
E00119813,91.7,8.3
E00119814,93.3,6.7
E00119815,92.3,7.7
E00119816,91.4,8.6
E00119817,92.1,7.9
E00119818,87.6,12.4
E00119819,88.7,11.3
E00119820,92.6,7.4
E00119821,87.3,12.7
E00119822,95.9,4.1
E00119823,90.9,9.1
E00119824,91.4,8.6
E00119825,93.4,6.6
E00119826,92.5,7.5
E00119827,92.9,7.1
E00119828,93.8,6.2
E00119829,92,8
E00119830,95.5,4.5
E00119831,90.7,9.3
E00119832,88.7,11.3
E00119833,90.6,9.4
E00119834,96.8,3.2
E00119835,88.5,11.5
E00119836,90.9,9.1
E00119837,94.1,5.9
E00119838,97.8,2.2
E00119839,93.7,6.3
E00119840,89.4,10.6
E00119845,93.4,6.6
E00119847,90.7,9.3
E00119848,94.9,5.1
E00119849,96.1,3.9
E00119850,91.9,8.1
E00119853,89.5,10.5
E00119854,93,7
E00119855,92.5,7.5
E00119857,93.5,6.5
E00119858,93.1,6.9
E00119859,86.6,13.4
