areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00140528,0,16.7,35.2,48.1
E00140599,3.7,11.9,38.5,45.9
E00140600,1.8,16.4,39.1,42.7
E00140602,18.6,18.6,44.1,18.6
E00140641,0,28.2,29.8,41.9
E00140643,13,46.6,25.1,15.2
E00140644,3.8,16.9,39.2,40
E00140645,13,32.9,31.5,22.6
E00140646,0.8,20.6,65.1,13.5
E00140647,0.9,19.7,59.8,19.7
E00140649,8.3,35,43.3,13.3
E00140650,19.6,29.7,30.4,20.3
E00140651,4.4,35.3,38.2,22.1
E00140652,29.4,22.5,34.4,13.8
E00140692,3.1,15.8,54.1,27
E00140693,3.5,24.5,50.3,21.7
E00140694,0.9,25.4,27.2,46.5
E00140695,26.8,38.6,22.8,11.8
E00140696,7.2,30.4,25.4,37
E00140698,33.3,25.2,37.4,4.1
E00140699,19.4,44.4,27.5,8.8
E00140700,13.3,17.2,62.5,7
E00140701,16.3,19.6,39.1,25
E00140702,11.3,27,52.2,9.6
E00140703,5.5,56.2,34.2,4.1
E00140704,1.5,45.3,38.7,14.6
E00140705,12.9,51.8,27.3,7.9
E00140706,32.3,41.1,16.5,10.1
E00140707,24.6,55.1,14.4,6
E00140708,13.3,44.7,25.3,16.7
E00140709,3,35.8,45.5,15.7
E00140710,6.3,37.1,32.2,24.5
E00140711,10.4,31.1,27.4,31.1
E00140718,4,15.2,36,44.8
E00140719,2.3,18.4,36.2,43.1
E00140728,2.1,27.4,30.8,39.7
E00140729,1.1,31.6,50.5,16.8
E00140730,3.2,14.9,44.1,37.8
E00140731,5.4,22.3,37.8,34.5
E00140732,2.8,20.1,47.2,29.9
E00140734,3.8,25.2,37.4,33.6
E00140735,3.6,19.6,36.6,40.2
E00140736,3.8,20,30,46.3
E00140737,2.7,22.1,40.7,34.5
E00140738,2.3,20.2,33.5,43.9
E00140739,4.2,19.8,30.2,45.8
E00140740,0,13,37,50
E00140741,3.5,21.2,39.8,35.4
E00140742,0,26.1,34.8,39.1
E00140743,5,13.9,34.4,46.7
E00140744,3.5,15.1,34.9,46.5
E00140745,0,21.4,32.1,46.4
E00140746,0.7,18.9,38.5,42
E00140747,0.9,27,43.5,28.7
E00140748,1.6,8.6,45.3,44.5
E00140749,0,11.8,37.3,51
E00141249,0.7,27.7,34.8,36.9
E00141447,1.9,34.6,26.2,37.4
E00141448,3.5,33.6,36.4,26.6
E00141449,0,17.6,33,49.5
E00141450,5.9,16.1,40.7,37.3
E00141482,7.7,23.1,40.7,28.6
E00141484,12.6,48,30.7,8.7
E00141485,3.9,18,51.6,26.6
E00141487,24,23.2,40,12.8
E00141488,8.2,38.8,31.3,21.8
E00141491,3.8,21.9,32.4,41.9
E00141492,1.1,19.5,39.1,40.2
E00170097,1.6,9.8,73.8,14.8
E00170098,0.9,15.9,19.6,63.6
E00170106,2.6,18.2,36.4,42.9
E00170109,1.7,24.1,27.6,46.6
E00189797,0.8,41.4,51.1,6.8
E00189841,1,18.3,53.8,26.9
E00189861,0,15.5,37.9,46.6
E00189865,2.9,16.2,46.3,34.6
E00189866,9.5,27.9,39.5,23.2
E00189876,29.4,47.1,20.6,2.9
E00189877,0.6,19.2,40.7,39.5
E00189878,1.3,30.5,32.6,35.6
E00189894,11.8,63.2,14.7,10.3
E00189913,13.3,24.2,43,19.5
E00189914,7,20.9,25.6,46.5
