geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00080065,16.6,53.1,25.5,4.8
E00080066,65.8,23.4,8.2,2.5
E00080067,53.9,36.7,7.8,1.6
E00080068,19.3,50,22.9,7.9
E00080069,23.4,49.6,23.4,3.5
E00080070,33.9,45.8,16.9,3.4
E00080071,32.9,44.5,17.4,5.2
E00080072,41.7,42.9,13.7,1.7
E00080073,31.7,46.9,17.2,4.1
E00080074,70.2,26.9,2.9,0
E00080075,29.8,42.6,24.8,2.8
E00080076,35.1,39.8,19.9,5.3
E00080077,47,42,9.9,1.1
E00080078,21.1,49.6,22.8,6.5
E00080079,37.7,48.3,11.9,2
E00080080,53,36.6,7.3,3
E00080081,57.6,34.1,7.1,1.2
E00080082,30.3,46.7,17.9,5.1
E00080084,57.9,30.3,9.7,2.1
E00080085,51.7,37.3,10.2,0.8
E00080086,37.2,52.4,9,1.4
E00080087,65.8,30.2,3.4,0.7
E00080088,52.4,37.9,6.5,3.2
E00080091,37.8,42.9,13.4,5.9
E00080092,26.3,48,20,5.7
E00080093,18.1,56.7,18.9,6.3
E00080094,34.8,51.5,12.1,1.5
E00080095,37.4,50.5,12.1,0
E00080096,66.7,29.3,4.1,0
E00080097,18.8,50.8,25,5.5
E00080135,40.3,43.3,14.2,2.2
E00080138,35,45.4,13.7,6
E00080139,28.3,52.8,13.4,5.5
E00080143,65.3,26.7,6.2,1.8
E00080144,50.4,36.3,8.9,4.4
E00080145,41.7,44.5,11.3,2.4
E00080147,24,56.5,16.9,2.6
E00080151,37,50.7,11.6,0.7
E00080158,64.9,30.3,3.9,0.9
E00080160,35.2,48,12,4.8
E00080164,49,40.8,6.8,3.4
E00080168,49.4,37.6,11.2,1.8
E00080170,50.5,42.1,6.5,0.9
E00080171,53.8,29.7,11.4,5.1
E00080178,40.4,48.8,9.6,1.3
E00080202,14.4,49.2,27.3,9.1
E00080203,20.7,49.1,25,5.2
E00080204,19.9,57.4,12.5,10.3
E00080206,33.3,45.2,18.5,3
E00080217,12.8,49,33.3,4.9
E00080239,14.6,51.8,24.1,9.5
E00080240,24.8,51.9,18.8,4.5
E00080241,20.9,56.3,18.9,3.9
E00080242,12.8,42.4,31.2,13.6
E00080243,20.7,47.9,24.3,7.1
E00080244,24.8,39.3,24.8,11.1
E00080245,21.5,43,28.9,6.7
E00080246,20.3,43.9,29.3,6.5
E00080247,22.2,41,27.4,9.4
E00080248,22.9,45.7,25,6.4
E00080249,19.5,48.3,24.6,7.6
E00080250,13.7,47,29.1,10.3
E00080251,31.2,52,14.4,2.4
E00080252,17.1,65.9,14.6,2.4
E00080253,28.4,43.2,21.6,6.8
E00080254,32.2,44.4,17.8,5.6
E00080255,21.8,50,21.8,6.5
E00080256,16.7,53.5,22.9,6.9
E00080257,22,58.7,14.7,4.6
E00080258,17.3,39.4,35.4,7.9
E00080259,16.8,42.4,29.6,11.2
E00080260,19.2,45.4,28.5,6.9
E00080261,28.9,40.7,23,7.4
E00080262,20,48.3,25.5,6.2
E00080263,61.8,34.1,4.1,0
E00080264,19.7,37.2,32.1,10.9
E00080265,9.4,40.9,36.2,13.4
E00080266,17.9,47.4,25,9.6
E00080267,17.3,52.8,19.7,10.2
E00080268,24.6,50.3,21.6,3.5
E00080269,31.7,43.3,22.5,2.5
E00080270,14.5,51.6,27.4,6.5
E00080271,63.1,30.1,5.8,1
E00080272,19.8,38.8,29.3,12.1
E00080273,18,43.6,30.8,7.5
E00080274,18.6,36.4,35.6,9.3
E00080275,16.1,48.2,27.7,8
