areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00073747,95.1,4.5,0.3
E00073749,93.9,6.1,0
E00075091,97,3,0
E00075547,98.6,1.1,0.3
E00075548,89.3,10,0.7
E00075549,93.6,6.4,0
E00075551,96.5,3.5,0
E00075552,97.6,2.4,0
E00075553,94.5,3.6,1.9
E00075554,87.1,10.2,2.7
E00075555,98.7,1.3,0
E00075556,96.8,2.9,0.3
E00075557,93.4,4.8,1.8
E00113236,94.8,3.9,1.3
W00008044,99.7,0.3,0
W00008045,99.4,0.6,0
W00008047,99.8,0.2,0
W00008049,99.2,0.8,0
W00008050,100,0,0
W00008051,99,1,0
W00008052,97.9,1.7,0.3
W00008053,95.9,3.7,0.4
W00008055,100,0,0
W00008056,99,1,0
W00008085,98,0.8,1.2
W00008086,99.3,0.7,0
W00008087,100,0,0
W00008088,99,1,0
W00008089,100,0,0
W00008113,99,0.7,0.3
W00008114,100,0,0
W00008115,98.6,1.4,0
W00008213,99,0.7,0.3
W00008214,98.8,1.2,0
W00008215,99,1,0
W00008216,99.7,0.3,0
W00008217,99.1,0,0.9
W00008219,99.6,0.4,0
W00008236,96.7,3.3,0
W00008237,99.4,0.6,0
W00008238,99.7,0,0.3
W00008239,99.3,0,0.8
W00008240,99,1,0
W00008267,95.9,2.2,1.8
W00008268,98.5,1.5,0
W00008269,98.1,1.1,0.7
W00008270,98.3,1.7,0
W00008271,99.6,0.4,0
W00008272,98.3,1.7,0
W00008273,97.5,2.5,0
W00008274,100,0,0
W00008275,97.3,1.5,1.1
W00008276,99.3,0.7,0
W00008277,99,1,0
W00008284,99,1,0
W00008286,100,0,0
W00008315,98.3,1,0.7
W00008316,96.1,2.6,1.3
W00008317,95.5,4.2,0.4
W00008318,97.6,2.4,0
W00008319,98.1,1.9,0
W00010319,99.3,0.7,0
W00010320,97.6,2.4,0
W00010324,99.5,0.5,0
W00010327,96.5,3.5,0
W00010335,98.9,1.1,0
W00010340,97.6,2.2,0.2
W00010352,97.6,2.4,0
