areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00002554,78.7,13.9,7.4
E00002555,83.5,13.5,2.9
E00002556,81.5,14.1,4.5
E00002571,85.8,10.9,3.3
E00002572,77.5,12.9,9.5
E00002573,85.8,9.6,4.7
E00002575,81.4,14.3,4.3
E00002576,86.7,7.9,5.4
E00002587,88.8,8.4,2.8
E00002588,81.7,11.6,6.7
E00002589,85.1,9.4,5.5
E00002591,88.7,7.9,3.3
E00002592,87,9.4,3.6
E00002593,86.9,9,4.1
E00002594,83.8,13.5,2.7
E00002595,87.5,10.3,2.2
E00002596,85.2,11,3.8
E00002597,84.1,9.2,6.6
E00002598,85,13.4,1.6
E00002599,80.8,11.7,7.5
E00002600,88.7,6.8,4.4
E00002601,84.8,11.2,4
E00002602,88.1,10,1.9
E00002603,83.2,11.6,5.2
E00002604,88.9,7.3,3.8
E00002605,80.8,13.2,6
E00002606,86.2,8.8,5.1
E00002809,86.6,8.7,4.8
E00002812,84.1,11,4.9
E00002813,87,8.6,4.5
E00002814,89.4,7.4,3.2
E00002817,87.8,8.3,3.8
E00002818,83.9,10.4,5.7
E00002819,89.8,7.4,2.8
E00002823,92,7.6,0.4
E00002835,81.2,14,4.8
E00002841,84.5,11,4.5
E00002842,88,8.2,3.8
E00002843,88.3,7.6,4.2
E00005978,78.5,15.6,5.9
E00005980,78.5,15.4,6.1
E00005993,92,5.8,2.2
E00006008,81.3,12.4,6.4
E00006182,85.3,11.9,2.9
E00006183,87.5,8.8,3.8
E00006190,90.4,7.1,2.5
E00006191,79.9,14.9,5.2
E00006192,88.1,7,4.9
E00006195,81.1,13.7,5.3
E00006197,87.5,9.6,2.9
E00006201,77.7,16.8,5.5
E00006203,84.5,11.9,3.6
E00006204,84.4,11,4.6
E00006206,88.5,10.4,1.1
E00006207,83.2,12.3,4.6
E00006208,86,9.6,4.4
E00006209,84.5,8.3,7.2
E00006210,87.1,9.9,3
E00006211,83.4,10.3,6.2
E00006212,85.1,10.5,4.5
E00006213,83.5,11.3,5.2
E00006214,84.3,10.9,4.9
E00006216,86.7,9.6,3.7
E00006217,84.6,7.9,7.6
E00006218,84.4,10.4,5.2
E00006220,87.9,9,3.1
E00006221,88.2,8.4,3.4
E00009359,76.3,14.9,8.7
E00009360,82.6,11,6.4
E00009361,77.9,15.5,6.6
E00009362,81.7,12.8,5.6
E00009363,80.8,14.1,5.1
E00009366,85.6,9.8,4.6
E00009367,85.5,11.1,3.4
E00009368,78.2,13.8,8
E00009369,84.1,10.7,5.2
E00009373,79.3,12.7,8.1
E00009374,81.5,13.6,5
E00009375,88.7,7.3,4
E00009376,81,12.9,6.2
E00009377,81.2,13.6,5.2
E00009378,81.6,12.6,5.8
E00009379,69.5,17.9,12.6
E00009380,78.7,14.4,6.9
E00009381,76.3,13.6,10.1
E00009383,79.1,13.1,7.8
E00009384,79.6,12,8.3
E00009734,88.4,7.4,4.3
E00009794,78.9,13.6,7.5
E00009796,82.1,10.3,7.7
E00009797,83.8,12.5,3.8
E00009798,85.7,9.3,5
E00009799,80.4,12.1,7.5
E00009800,80.9,11.1,8
E00009801,77,16.4,6.7
E00009802,86.3,9.3,4.4
E00009803,79.7,12.8,7.5
E00009805,81.6,13.6,4.8
E00009806,77.4,13.6,9
E00009807,84.2,11.7,4.2
E00009808,83.7,10.5,5.8
E00009809,83.3,11.4,5.2
E00009810,84.4,9.2,6.3
E00009811,82.8,10.7,6.6
E00009812,89.1,7.5,3.4
E00009813,90.3,6.1,3.6
E00009815,80.8,14.4,4.8
E00009816,88.7,7.2,4.1
E00009817,91.1,6.7,2.2
E00009826,82.7,13.7,3.6
E00009827,83.6,10.4,6
E00009828,86.1,8.9,5
E00009829,81.9,12.5,5.6
E00009830,82.1,11,6.8
E00009831,84.8,9.1,6.2
E00014446,82.2,12.8,4.9
E00014450,82.8,12.9,4.3
E00014451,84.3,10.2,5.5
E00014453,67,22.9,10.1
E00014456,90.3,6.5,3.2
E00014458,88.5,6.1,5.4
E00014460,85.7,8.9,5.4
E00014615,77.7,14.1,8.2
E00014619,81.2,11.4,7.4
E00014620,77.3,12.8,9.9
E00014624,77.4,15.9,6.7
E00014625,77.6,14.1,8.3
E00014627,74.9,14.3,10.8
E00014629,73.3,13.9,12.9
E00014630,69.6,17.1,13.3
E00014631,75.8,17.4,6.8
E00014632,78.5,15.2,6.3
E00014633,80.7,10.2,9.2
E00014635,83.4,11.9,4.7
E00014636,62.2,27.5,10.3
E00014637,88.7,9.2,2.1
E00014638,78.1,15.3,6.5
E00014640,86.7,9.7,3.7
E00014641,64.2,23.3,12.5
E00014643,88.3,9.7,2
E00166867,78.1,14.6,7.3
E00167291,89.2,10.3,0.5
E00167292,90.7,6,3.3
E00167294,78.3,16.5,5.2
E00167295,73.8,18.3,7.9
E00174711,83.8,12.9,3.3
E00174714,90.9,4.5,4.5
E00174716,74.6,15.8,9.6
E00174717,88.9,7.9,3.2
E00174718,84,11.3,4.8
E00174720,82.2,12.5,5.3
E00179087,86,10.3,3.7
E00179099,80.8,13.2,6
E00179109,92.7,6.3,0.9
E00179136,89.3,8,2.8
E00179145,92.6,5.9,1.5
E00179147,92,3.8,4.2
E00179195,93.3,5.8,0.9
E00179203,91.8,6.6,1.6
E00179215,89.3,8.9,1.8
E00179250,93.7,5.1,1.2
E00179261,90.2,7.3,2.6
E00183098,79.5,14.6,5.9
E00183115,85.1,9.2,5.6
E00183118,87.6,10.1,2.4
E00183134,95.6,3.9,0.6
E00183142,91.4,4.5,4.1
E00183157,77.2,16.4,6.4
E00183160,87.5,11,1.5
E00183165,78.3,13.4,8.3
E00183168,86.9,9.5,3.7
E00183172,94.8,4.6,0.7
E00183184,86.3,10.1,3.6
E00183198,84.7,12,3.3
E00183207,79.9,12.9,7.2
E00183215,92.1,3.7,4.1
E00183216,91.8,6.4,1.8
E00190143,93.3,5.8,0.8
