areacd,heating_type_3a-001,heating_type_3a-002
E00002554,4.1,95.9
E00002555,4.2,95.8
E00002556,3.8,96.2
E00002571,0,100
E00002572,2.2,97.8
E00002573,1.3,98.7
E00002575,1.6,98.4
E00002576,2.7,97.3
E00002587,2.4,97.6
E00002588,4.1,95.9
E00002589,6,94
E00002591,2.6,97.4
E00002592,0,100
E00002593,0.7,99.3
E00002594,5.8,94.2
E00002595,1.9,98.1
E00002596,8.5,91.5
E00002597,1.4,98.6
E00002598,4.6,95.4
E00002599,5.1,94.9
E00002600,2.5,97.5
E00002601,2.9,97.1
E00002602,1.3,98.7
E00002603,3.4,96.6
E00002604,2.8,97.2
E00002605,0,100
E00002606,3.8,96.2
E00002809,0,100
E00002812,2.3,97.7
E00002813,2.7,97.3
E00002814,4.4,95.6
E00002817,2.4,97.6
E00002818,2.3,97.7
E00002819,3.9,96.1
E00002823,1,99
E00002835,0.8,99.2
E00002841,0.8,99.2
E00002842,2.6,97.4
E00002843,4.3,95.7
E00005978,3,97
E00005980,0,100
E00005993,0.8,99.2
E00006008,1.7,98.3
E00006182,4.3,95.7
E00006183,6.6,93.4
E00006190,4.9,95.1
E00006191,2.9,97.1
E00006192,1.8,98.2
E00006195,2.7,97.3
E00006197,1.8,98.2
E00006201,1.6,98.4
E00006203,1.6,98.4
E00006204,3.6,96.4
E00006206,0,100
E00006207,0.6,99.4
E00006208,1.7,98.3
E00006209,0,100
E00006210,5.1,94.9
E00006211,3.6,96.4
E00006212,0.7,99.3
E00006213,5.1,94.9
E00006214,1.5,98.5
E00006216,5,95
E00006217,2,98
E00006218,3.8,96.2
E00006220,0,100
E00006221,0.5,99.5
E00009359,0.7,99.3
E00009360,0.7,99.3
E00009361,3.4,96.6
E00009362,0.8,99.2
E00009363,3.5,96.5
E00009366,2.3,97.7
E00009367,2.6,97.4
E00009368,2.2,97.8
E00009369,3.9,96.1
E00009373,2.9,97.1
E00009374,0,100
E00009375,2.4,97.6
E00009376,2.2,97.8
E00009377,6,94
E00009378,0,100
E00009379,3.1,96.9
E00009380,3.1,96.9
E00009381,2.1,97.9
E00009383,2.6,97.4
E00009384,1.1,98.9
E00009734,1.7,98.3
E00009794,1.4,98.6
E00009796,1.7,98.3
E00009797,1.7,98.3
E00009798,0,100
E00009799,2.7,97.3
E00009800,2.7,97.3
E00009801,2.7,97.3
E00009802,1.6,98.4
E00009803,0.6,99.4
E00009805,0.8,99.2
E00009806,0.8,99.2
E00009807,3.6,96.4
E00009808,0,100
E00009809,0,100
E00009810,1.6,98.4
E00009811,2.2,97.8
E00009812,3.6,96.4
E00009813,3.2,96.8
E00009815,1.6,98.4
E00009816,2.8,97.2
E00009817,1.2,98.8
E00009826,2.7,97.3
E00009827,3.1,96.9
E00009828,5.9,94.1
E00009829,3.7,96.3
E00009830,4.7,95.3
E00009831,0.8,99.2
E00014446,1.9,98.1
E00014450,1,99
E00014451,0.9,99.1
E00014453,3.1,96.9
E00014456,3.4,96.6
E00014458,3.7,96.3
E00014460,4.2,95.8
E00014615,1.7,98.3
E00014619,0.9,99.1
E00014620,0.9,99.1
E00014624,6.4,93.6
E00014625,2,98
E00014627,2,98
E00014629,5.4,94.6
E00014630,4.9,95.1
E00014631,3.2,96.8
E00014632,4.4,95.6
E00014633,0.8,99.2
E00014635,1.9,98.1
E00014636,0,100
E00014637,2.1,97.9
E00014638,2,98
E00014640,2.3,97.7
E00014641,1.4,98.6
E00014643,4.2,95.8
E00166867,0,100
E00167291,3.6,96.4
E00167292,3,97
E00167294,0,100
E00167295,2.8,97.2
E00174711,10.2,89.8
E00174714,4.2,95.8
E00174716,2.1,97.9
E00174717,4.9,95.1
E00174718,4.6,95.4
E00174720,2.6,97.4
E00179087,1.7,98.3
E00179099,2.4,97.6
E00179109,5.5,94.5
E00179136,4,96
E00179145,3.1,96.9
E00179147,1.9,98.1
E00179195,6.9,93.1
E00179203,6,94
E00179215,5.4,94.6
E00179250,7.3,92.7
E00179261,0,100
E00183098,6.7,93.3
E00183115,1.1,98.9
E00183118,1.8,98.2
E00183134,0,100
E00183142,4,96
E00183157,3.6,96.4
E00183160,3.4,96.6
E00183165,5.3,94.7
E00183168,0.8,99.2
E00183172,1.1,98.9
E00183184,1.5,98.5
E00183198,2.3,97.7
E00183207,1.9,98.1
E00183215,3.6,96.4
E00183216,2.6,97.4
E00190143,2.4,97.6
