geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00072641,4.1,42.6,39.3,13.9
E00072642,5.6,25.5,35.4,33.5
E00072643,6,42.2,35.3,16.4
E00072644,12.3,37.7,36.1,13.9
E00072645,5,27.4,46.9,20.7
E00072646,7.1,32.1,45,15.7
E00072647,4.2,14.1,42.3,39.4
E00072648,0,26.7,40,33.3
E00072649,6,26.7,44,23.3
E00072650,10.5,33.3,36.2,20
E00072651,1.2,25.9,38.8,34.1
E00072652,7.1,34.7,41.8,16.4
E00072653,0.5,28.4,49.7,21.3
E00072654,0,29.5,43.6,26.9
E00072655,5.8,34.8,40.6,18.8
E00072656,4.2,22.9,44.4,28.5
E00072657,8,20,38,34
E00072658,5.3,19.3,43.9,31.6
E00072659,11.6,27.3,38,23.1
E00072660,3.2,33.3,46.2,17.3
E00072661,3.7,24.1,53.7,18.5
E00072662,5.5,28.2,48.2,18.2
E00072663,4.1,32,38.5,25.4
E00072664,1.3,29.1,45.7,23.8
E00072665,8.6,34.4,34.4,22.5
E00072685,4,24,44,28
E00072686,4.2,25.8,43.3,26.7
E00072689,11.4,29.5,34.1,25
E00072690,13.6,37.1,33.6,15.7
E00072691,4.2,39.6,45.3,10.9
E00072692,6.8,28.4,45.9,18.9
E00072693,1.9,28.4,48.8,21
E00072694,7.4,29.4,41.9,21.3
E00072695,11.8,33.3,39.8,15.1
E00072696,2.8,24.1,44.7,28.4
E00072697,16.1,28.8,44.1,11
E00072698,11.3,27.8,42.9,18
E00072699,6.5,29.4,38.3,25.7
E00072700,4,25.5,42.3,28.2
E00072701,4.8,35.2,39.2,20.8
E00072702,6.1,31.1,47.7,15.2
E00072703,8.1,28.2,49.2,14.5
E00072714,3.4,32.7,42.2,21.8
E00072830,12.8,45.5,30.8,10.9
E00072831,5.2,26.9,44,23.9
E00072832,7.9,34.9,31.7,25.4
E00072833,7.1,33.7,40.2,19
E00072834,3.4,37.8,38.5,20.3
E00072835,2.4,27.8,54.8,15.1
E00072836,6.1,24.6,41.2,28.1
E00072837,2.8,30.5,42.7,23.9
E00072838,9.3,38,37.6,15.1
E00072839,5.7,18.9,50,25.4
E00072840,14.9,45.5,29.1,10.4
E00072841,3.1,22.1,51.9,22.9
E00072842,7.1,40.6,35.5,16.8
E00072844,10,39.3,32,18.7
E00072845,21.4,42.9,31.4,4.3
E00072846,11.2,34.3,35.1,19.4
E00072847,6.2,56.9,29.2,7.7
E00072848,22.1,44.3,24.3,9.3
E00072849,6.9,42.7,35.9,14.5
E00072850,12.1,35.5,36.3,16.1
E00072851,12.6,39.4,32.3,15.7
E00072852,9.5,43.8,39.6,7.1
E00072853,34.6,38.4,20.8,6.3
E00072854,21.3,41.6,28.4,8.6
E00072855,32.2,45.8,15.3,6.8
E00072856,19.7,25,35.6,19.7
E00072857,8.9,35.7,35.7,19.6
E00072858,12.1,35.3,34.5,18.1
E00072859,6.5,28.2,46,19.4
E00072860,12,47.2,28.9,12
E00072861,8.6,41.1,37.8,12.4
E00072862,8.7,35.7,41.7,13.9
E00072864,20,42.5,20.8,16.7
E00072865,21.7,43.4,25.3,9.6
E00072866,9.8,43.2,30.3,16.7
E00072867,11.1,36.6,33.3,19
E00072868,16.4,35,31.4,17.1
E00072869,37.8,33.3,23,5.9
E00072870,14.5,41.3,28.3,15.9
E00072925,13.8,26.9,40.8,18.5
E00072926,6.9,46.5,34.2,12.4
E00072927,10.6,38.1,38.1,13.3
E00072930,6.2,34.1,38.8,20.9
E00072931,9.3,47.1,31.4,12.2
E00072932,17.3,48.2,25.9,8.6
E00072933,26.3,43,21.1,9.6
E00072934,7.3,35,38.2,19.5
E00072935,13.2,39.5,31.8,15.5
E00072936,12.6,35.9,27.2,24.3
E00072937,15.3,29.9,40.1,14.6
E00072938,8.5,41.1,31.8,18.6
E00072940,9.6,33.6,40,16.8
E00072941,11.3,42.1,29.3,17.3
E00072963,10.1,43.1,28.4,18.3
E00072964,5.6,29.6,36.1,28.7
E00072965,5,23.5,50.4,21
E00072966,7,37.3,40.1,15.5
E00073020,2.2,37.6,43,17.2
E00073021,8.7,33,41.7,16.5
E00073022,0,49.1,32.1,18.9
E00073023,7,43.7,39.4,9.9
E00073024,20.7,40.2,31,8
E00073025,9.9,29.6,38,22.5
E00073026,21.4,39.3,26.8,12.5
E00073027,7.2,42,36.2,14.5
E00073028,16.1,42.6,28.4,12.9
E00073029,4.3,37.6,44.4,13.7
E00073071,8.5,38.8,34.9,17.8
E00073073,15,39.3,28.6,17.1
E00073075,24.8,47.9,19.8,7.4
E00073076,14.6,46.3,26.8,12.2
E00073077,14.4,48.2,29.5,7.9
E00073079,11.6,49.4,24.4,14.6
E00073080,7.6,37,39.5,16
E00073081,10.5,36.2,34.2,19.1
E00073085,2.6,32.5,40.2,24.8
E00073086,12.4,42.9,32.9,11.8
E00074447,8.6,31.4,30.7,29.3
E00074489,8.2,26.5,38.8,26.5
E00074490,2.4,41.3,42.9,13.5
E00074491,8.5,31.9,37.2,22.3
E00074492,3.4,30.4,49.3,16.9
E00074493,19.3,42,31.8,6.8
E00074494,1,24.5,49,25.5
E00074495,2.1,30.5,50.5,16.8
E00074496,8.4,27.1,33.6,30.8
E00074497,5.6,34.2,34.2,26.1
E00074498,0.8,24.2,50,25
E00074499,10.9,36.4,36.4,16.3
E00074500,4.6,32.6,38.3,24.6
E00074501,8.9,29.3,33.3,28.5
E00074502,5.9,16.8,44.5,32.8
E00074576,5.3,35.3,42.1,17.3
E00074577,6.2,32.2,45.2,16.4
E00074578,6.7,33.3,44.2,15.8
E00074579,12.3,43.8,27.7,16.2
E00074580,1.8,19.6,50,28.6
E00074581,5.4,29.9,42.2,22.4
E00074582,7.6,34.4,45,13
E00074583,7.2,31.7,36,25.2
E00074584,16.2,48,28.3,7.6
E00074585,16.1,39.8,33.9,10.2
E00074586,10.7,32.8,41,15.6
E00075019,4.5,30,40,25.5
E00075020,3.5,33.6,43.4,19.5
E00075021,0,27.2,45,27.8
E00075022,4.2,37.3,33.8,24.6
E00075023,12.6,28.3,41.7,17.3
E00075024,3.6,23.6,47.9,25
E00075025,4.4,20.1,46.6,28.9
E00075026,7.5,33.3,37.1,22
E00075049,3.9,31.1,35.9,29.1
E00075050,20.6,51,19.6,8.8
E00075051,7.6,35.6,40.7,16.1
E00075052,4.6,24.2,40.5,30.7
E00075053,5.8,37.2,41,16
E00075054,8.3,42.5,40.8,8.3
E00075055,3.5,36.8,35.1,24.6
E00075056,4.9,30.3,37.3,27.5
E00075057,5.3,35.1,41.2,18.3
E00075058,8.3,36.8,36.8,18
E00075059,6.9,36.9,32.3,23.8
E00075060,7.8,48,37.3,6.9
E00075061,1.4,31.1,37.8,29.7
E00075062,5.5,37,38.4,19.2
E00075063,8.5,32.6,41.9,17.1
E00075067,5,30.9,46,18
E00075072,8.5,42.3,36.9,12.3
E00075083,8.4,36.6,38.9,16
E00075086,17.5,44.7,31.6,6.1
E00147779,8.5,31.8,36.4,23.3
E00147780,8,23.2,44.8,24
E00147781,6.7,33.9,38.8,20.6
E00147782,6,30.8,41.4,21.8
E00147783,6.8,32.9,32.2,28.1
E00147784,3.2,33.3,38.1,25.4
E00147785,5.6,26.9,39.8,27.8
E00147786,2,21.4,44.9,31.6
E00147796,0.8,32.8,47.7,18.8
E00147797,10.3,35.3,30.2,24.1
E00147798,5.6,27.4,41.1,25.8
E00147799,4.8,23.4,42.7,29
E00147802,6.8,36.2,39,18.1
E00147803,4.6,18.4,42.5,34.5
E00147804,4.4,35,40.9,19.7
E00147814,3.6,29.7,48.6,18.1
E00147815,8.3,34.8,37,19.9
E00147816,3.5,31.5,40.6,24.5
E00147817,7,37.2,36,19.8
E00147818,7.8,34.4,40.6,17.2
E00147819,11.6,28,35.4,25
E00147948,10.6,36.3,34.5,18.6
E00147949,7.2,36,37.8,18.9
E00147950,11.1,28.6,35.7,24.6
E00147951,11.3,34.5,36.6,17.6
E00147952,23.4,38.7,26.1,11.7
E00147953,9.2,42.9,37.8,10.2
E00147954,2.9,27.9,37.2,32
E00147963,6.3,36.8,40,16.8
E00147973,0.8,30.1,40.7,28.5
E00147974,6.1,32.3,36.4,25.3
E00147975,1.1,22.6,44.1,32.3
E00147976,3,33.3,39.4,24.2
E00147977,5.2,24.2,41.2,29.4
E00147978,7,54.3,34.9,3.9
E00147979,10,68,20,2
E00147980,2.8,38,39.8,19.4
E00147995,6.7,38.1,39.6,15.7
E00147996,9.3,40.3,36.4,14
E00148002,0,26,35.4,38.6
E00148003,2.9,29.9,38.7,28.5
E00148004,3.5,34.8,36.9,24.8
E00148005,0.7,32.2,46.3,20.8
E00148006,6.3,25.9,46.4,21.4
E00148007,11.8,40.3,27.1,20.8
E00148008,6.7,36.2,39.6,17.4
E00148009,8.1,37.5,30.9,23.5
E00148010,7.1,42.6,36.8,13.5
E00148012,3.5,33.3,38.6,24.6
E00148013,5.3,35.1,35.8,23.8
E00148014,6.2,39.2,35.1,19.6
E00148015,24.3,53.5,17.4,4.9
E00148016,14.5,46,29.8,9.7
E00148017,34.8,48.1,15.6,1.5
E00148018,27.7,57.1,11.9,3.4
E00148019,28.4,47,20.9,3.7
E00148020,5.1,35.7,43.9,15.3
E00148021,8.5,38.8,34.9,17.8
E00148022,12.4,35.2,36.3,16.1
E00148023,15,35.4,34.5,15
E00148024,6,36.3,40.5,17.3
E00148026,0,34.4,31.3,34.4
E00148027,21.6,52.3,22.9,3.3
E00148028,18.8,45.3,25.8,10.2
E00148029,10,37.3,42,10.7
E00148030,14.1,46.3,27.7,11.9
E00148031,12.1,40.2,22,25.8
E00148032,23.8,36.9,31.1,8.2
E00148033,23.1,42.3,26.2,8.5
E00148034,23.5,37.4,31.3,7.8
E00148035,10.9,39.1,41.4,8.6
E00148036,5.9,33.8,41.2,19.1
E00148037,17.1,45.5,26.8,10.6
E00148038,5.7,40.2,37.7,16.4
E00148039,6.8,40.9,37.9,14.4
E00148040,12.2,31.3,40.5,16
E00148041,18.6,39.3,31.4,10.7
E00148042,4.4,38.7,38,19
E00148043,16.2,40.2,32.4,11.2
E00148044,8.8,38.7,34.8,17.7
E00148045,3.6,24.1,48.2,24.1
E00148046,0,29.9,46.9,23.1
E00148047,13.4,31.3,32.1,23.1
E00148051,8.2,48.5,30.6,12.7
E00148052,10.3,27.6,34.5,27.6
E00148095,40.5,39.3,16,4.3
E00148096,30.8,55.3,10.1,3.8
E00148097,13.6,38.4,36,12
E00148098,18.6,39,33.9,8.5
E00148099,13.2,45.5,26.4,14.9
E00148100,29.4,50,17.5,3.2
E00148101,37,50.9,9.2,2.9
E00148103,14.8,51.6,27,6.6
E00148105,29.8,50.4,19.1,0.8
E00148106,21.1,34.2,34.2,10.5
E00148107,32.3,48,16.5,3.1
E00148108,14.9,41.3,33.1,10.7
E00148109,24.6,36.1,29.5,9.8
E00148110,15.2,39.3,33,12.5
E00148111,17.2,35.2,32.8,14.8
E00148112,36.5,45.9,11.5,6.1
E00148113,13,47.3,29.8,9.9
