areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00034197,93.9,2.9,1.1,1.4,0.7
E00034234,91.5,4.3,2.3,1.7,0.3
E00034235,89.4,4.8,3.4,2.2,0.3
E00034236,91.6,5.1,3.3,0,0
E00034237,92.8,4.7,1.1,0.4,1.1
E00034238,84.6,1.9,10.3,1.3,1.9
E00034239,86,6.6,5.7,1.4,0.3
E00034240,90.7,3,1.5,4.9,0
E00034241,84.4,2.4,6.9,3.1,3.1
E00034242,87.5,3.8,1.1,6.4,1.1
E00034243,83.5,7.6,4.3,1.8,2.8
E00034244,90.1,6.6,2.2,1.1,0
E00034245,93.1,5.4,1.1,0.4,0
E00034246,92,6.7,1.2,0,0
E00034247,92.2,3.1,1.3,2.5,0.9
E00034248,90.9,4.3,0.5,2.1,2.1
E00034249,88.9,6.4,2.2,1,1.6
E00034250,87.4,2.8,9.8,0,0
E00034251,71.7,2.8,11.2,12,2.4
E00034252,83,7.3,5.3,1.8,2.5
E00034253,84.8,8,3.2,2.4,1.6
E00034254,85.3,5.8,4.2,4.2,0.6
E00034255,88.2,5.3,5.9,0.6,0
E00034256,90,4.8,2.3,1.8,1.1
E00034257,88.1,4.2,4.8,2.1,0.9
E00034258,86.1,5,5.7,2.3,0.9
E00034259,87.4,6,3.8,1.6,1.3
E00034260,91.6,5.1,1.8,1.1,0.4
E00034261,96.7,1.3,1,0.7,0.3
E00034262,97.4,1.5,0.4,0,0.7
E00034263,89.5,5.3,1.9,2.8,0.6
E00034264,94.4,2.6,1.3,1.6,0
E00034433,92.7,5.7,0,1.5,0
E00034434,89.3,8.4,1.2,0.5,0.7
E00034435,94.5,4.5,0.6,0.3,0
E00034436,91.8,6.5,0,1,0.7
E00034437,93.4,3.5,1.4,1.2,0.6
E00034438,91.4,5,1.4,1.8,0.5
E00034439,93,3.7,0.7,0.4,2.2
E00034440,96.9,1.6,0.4,0.8,0.4
E00034441,97.2,2.1,0,0.3,0.3
E00034442,91.9,3.5,1.4,2.3,0.9
E00034447,92.8,4.6,1.1,1.6,0
E00034448,96.2,2.1,0.3,1,0.3
E00034451,93.6,1.5,1.9,1.1,1.9
E00034453,89.7,4,1.8,1.1,3.3
E00034454,96.1,3.1,0.4,0,0.4
E00034455,96.2,3.8,0,0,0
E00034456,98.4,1.6,0,0,0
E00034471,90,7.2,1.2,0,1.6
E00034472,93.9,6.1,0,0,0
E00034473,92.6,4.7,1.7,1,0
E00034474,89.6,2.2,0.6,4.4,3.1
E00034475,89.2,7.2,3.6,0,0
E00034476,93.7,2.4,1.2,0.8,2
E00034477,98,1.7,0.3,0,0
E00034478,95.2,3.4,0.3,0.7,0.3
E00034479,94.8,4.5,0.3,0.3,0
E00034480,95.5,3.4,0.6,0.6,0
E00034481,91.6,4.8,1.3,0,2.2
E00034482,92.9,3.2,1.9,0,1.9
E00034483,95.2,4,0.4,0.4,0
E00034484,90.3,1.9,2.2,1.1,4.5
E00034485,94.1,5.6,0,0.3,0
E00165717,90.6,5.8,2.9,0,0.7
E00165718,92.8,5.5,1.4,0,0.3
E00172016,93.4,4.4,0,1.1,1.1
E00172017,94.8,3.6,1.1,0,0.5
E00172131,97.4,2.6,0,0,0
E00176630,95.9,2.1,1,0.3,0.7
E00176662,85.2,8.6,0.4,3.5,2.3
E00176670,82,8,4.2,2.3,3.4
E00176671,92.3,4.5,1.9,0,1.3
E00176672,60.6,8.3,7.8,5,18.3
E00176673,88.5,3.8,0.5,3.3,3.8
E00176704,86.4,4.4,4.4,3.4,1.5
E00176706,93.3,4.5,0,1,1.3
E00176707,81.6,12.3,3.4,2.4,0.4
E00176742,76.4,10.3,4.9,5.9,2.5
E00176743,81.4,10.9,3.2,3,1.5
E00176745,87.5,5.6,4.3,1.3,1.3
E00176765,73.4,6.9,10.3,4.7,4.7
E00182951,82.9,12.5,3,0,1.7
E00183012,85,4.9,9.6,0,0.5
E00183016,94.1,5.4,0,0.5,0
E00183021,86.2,4.9,6.1,2.4,0.4
E00183028,86.1,7.8,3.9,2.2,0
