areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00114694,64.3,3,32.7
E00114700,63.8,0.4,35.8
E00114701,56.3,1.7,42
E00114849,67,2.9,30.1
E00114870,56.8,0.4,42.8
E00114871,50.2,1.7,48.1
E00114872,52.7,3,44.2
E00114875,63.3,2.1,34.6
E00115035,59.3,2,38.7
E00115036,61.2,3.1,35.8
E00115037,56.5,1.5,42
E00115038,50.7,0.8,48.5
E00115039,64.5,2.3,33.2
E00115040,60.2,2.5,37.3
E00115107,64.6,3.1,32.3
E00115108,69.9,1.2,29
E00115109,64.2,0,35.8
E00115110,62.9,3.9,33.2
E00115111,54.3,4.3,41.4
E00115112,77.3,0,22.7
E00115113,66.8,1.3,31.9
E00115114,63.5,1.5,35
E00115115,61.4,2,36.6
E00115116,64,3.1,32.9
E00115117,58.9,2,39
E00115118,50.6,0,49.4
E00115119,43.7,1.7,54.6
E00115120,58.1,1.9,40
E00115121,52.1,1.7,46.2
E00115122,54.7,2.6,42.6
E00115123,63.2,4,32.8
E00115124,71.3,1.2,27.5
E00115125,66.5,1.7,31.8
E00115127,46.4,3.8,49.8
E00115128,52.1,4.3,43.6
E00115129,74.4,1.3,24.4
E00115131,54.6,2.2,43.2
E00115132,63.8,2.9,33.3
E00115133,57,0.5,42.5
E00115134,66.8,3,30.2
E00115135,55.7,3.8,40.5
E00115136,36.8,2.6,60.5
E00115137,65.6,2.4,32
E00115138,71.3,2.9,25.8
E00115139,52,2,46
E00115140,66,1.3,32.8
E00115141,62.7,2,35.3
E00115142,64.1,0.5,35.5
E00115184,71.8,0.5,27.8
E00115185,69.8,0.8,29.4
E00115186,40.2,0,59.8
E00115187,64.7,3.1,32.2
E00115188,46.4,2.8,50.8
E00115189,56,2.8,41.3
E00115190,52.7,1.4,45.9
E00115191,57.6,2.3,40.1
E00115192,69.4,3.1,27.5
E00115193,69.4,0.4,30.2
E00115194,62.2,4.3,33.5
E00115195,60.9,2.9,36.2
E00115196,50,1.3,48.7
E00115197,52.6,2.2,45.3
E00115198,58.6,2.3,39.1
E00115199,46.8,2.4,50.8
E00115200,68,1.9,30.1
E00115201,51,2.8,46.2
E00115202,62.7,5.8,31.5
E00115203,60.9,1.1,38.1
E00115204,61.9,1.2,36.9
E00115205,63.2,0.5,36.3
E00115206,67.9,0.5,31.6
E00115207,57,3.3,39.8
E00115208,57,1,41.9
E00115209,34.8,0,65.2
E00115210,50.2,1.6,48.2
E00115211,70.4,3,26.6
E00115212,66.5,0.5,33
E00115213,60.7,1.2,38.1
E00115214,63.5,3.8,32.7
E00115215,54.7,1.4,43.9
E00115216,68.1,2.6,29.3
E00115217,59.8,2.7,37.5
E00115218,51.8,4.4,43.8
E00115219,60,4.5,35.5
E00115221,63.5,5.7,30.7
E00115223,67.6,2.9,29.5
E00115224,62.4,5.4,32.3
E00115225,65.9,2.3,31.8
E00115226,62.8,5.3,31.9
E00115227,71.6,2.1,26.2
E00115229,55.4,3.1,41.5
E00115230,65,3.1,31.9
E00115231,73.9,2,24.1
E00115232,59,2.3,38.7
E00115233,74.5,1.9,23.6
