areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00092339,30,48.6,17.9,3.6
E00092340,14.2,41.7,31.5,12.6
E00092341,22.5,48.3,21.7,7.5
E00092342,28.8,46.3,18.1,6.9
E00092343,25.4,47.5,23,4.1
E00092344,38.2,43.6,16.4,1.8
E00092345,41.5,39,18.6,0.8
E00092346,14.2,60,17.5,8.3
E00092347,44.7,35,16.3,4.1
E00092348,26.2,43.8,22.3,7.7
E00092349,40.7,42.2,10.4,6.7
E00092350,42.5,42.5,13.4,1.5
E00092351,38.1,47.6,13.1,1.2
E00092352,9.9,45,32.1,13
E00092353,35.2,47.7,11.7,5.5
E00092354,25.2,45.3,22.3,7.2
E00092355,19.2,48.5,25.4,6.9
E00092356,20,45.5,20.9,13.6
E00092357,28.8,37.8,27.9,5.4
E00092358,29.9,41.9,20.5,7.7
E00092359,20,44.8,30.5,4.8
E00092360,6.8,52.4,36.9,3.9
E00092361,13.5,50.4,27.1,9
E00092362,56.4,37.9,4.3,1.4
E00092363,29.9,51.3,12.8,6
E00092364,54.7,34.7,5.9,4.7
E00092365,35.4,33.5,20.5,10.6
E00092366,29,38.9,28.2,3.8
E00092367,54.9,32,9.8,3.3
E00092368,37.8,41.9,16.9,3.4
E00092369,32.7,48.1,18.3,1
E00092370,48.2,37.6,13.5,0.7
E00092371,32.8,48.7,14.3,4.2
E00092372,36.1,41,16.4,6.6
E00092373,17.6,52.2,27.2,2.9
E00092374,15.8,46.8,30.2,7.2
E00092375,16.4,47.7,29.7,6.3
E00092376,33.8,44.4,19.7,2.1
E00092377,50.4,33.6,13.4,2.5
E00092378,35.8,48,13,3.3
E00092379,23.5,40.9,28.8,6.8
E00092380,22.9,46.6,24.6,5.9
E00092381,62.5,25,8.9,3.6
E00092382,49.1,39.8,9.3,1.9
E00092383,50.4,37.8,9.6,2.2
E00092384,25.9,47.6,19.7,6.8
E00092385,16.4,40,35.7,7.9
E00092387,54.1,36.9,8.2,0.8
E00092388,65.8,29.5,4.8,0
E00092389,33.3,48.9,15.6,2.1
E00092392,27.5,50.8,19.2,2.5
E00092393,26.3,47.9,22.5,3.3
E00092394,23.9,57.8,15.6,2.8
E00092395,25.5,54.7,17.9,1.9
E00092396,46.8,40.4,11.9,0.9
E00092397,8.9,35.8,42.3,13
E00092398,20.9,50.4,23.7,5
E00092399,9.1,47.3,34.5,9.1
E00092400,8.8,39.2,33.6,18.4
E00092401,15.3,38.1,36.4,10.2
E00092402,13.9,39.7,36.4,9.9
E00092403,21.3,40.2,26.8,11.8
E00092404,29.8,38.7,23.4,8.1
E00092405,12.1,38.7,36.3,12.9
E00092406,13.2,35.1,42.1,9.6
E00092407,6.3,38.1,45.2,10.3
E00092408,6.2,42.3,34.6,16.9
E00092409,10,34.2,42.5,13.3
E00092410,11.1,34.9,45.2,8.7
E00092411,11,50.5,27.5,11
E00092412,35,35.8,28.3,0.8
E00092413,16.7,46,26.2,11.1
E00092414,8.8,46.5,35.1,9.6
E00092415,4.7,46.7,35.5,13.1
E00092416,0,45.2,38.7,16.1
E00092417,2.3,38.4,50,9.3
E00092418,4.9,42.7,41.3,11.2
E00092419,5.6,31.5,44.4,18.5
E00092420,6.5,42.8,33.3,17.4
E00092421,0.9,30.6,49.1,19.4
E00092422,3.6,26.1,53.2,17.1
E00092423,5.6,32.9,43.5,18.1
E00092424,5.6,26.2,53.3,15
E00092425,35.6,32.2,23.7,8.5
E00092426,9.7,37.1,37.1,16.1
E00092427,11.9,27.4,40,20.7
E00092428,39.3,49.4,10.7,0.6
E00092430,35.1,52.4,11.5,1
E00092431,24.8,58.1,15.5,1.6
E00092434,61,29.7,5.9,3.4
E00092435,64.4,33.6,1.4,0.7
E00092437,26.9,52.1,21,0
E00092438,45,45,8.1,1.8
E00092439,66.9,32.2,0.8,0
E00092440,41.6,39.3,17.4,1.7
E00092441,29.7,50.7,15.2,4.3
E00092442,28.4,41.8,24.6,5.2
E00092443,34.5,38.8,18.7,7.9
E00092444,38.5,44.2,14.1,3.2
E00092447,54.3,26.9,11.4,7.4
E00092448,24.3,54.6,18.4,2.6
E00092449,36.5,47.1,12.4,4.1
E00092450,26.9,48.5,18.7,6
E00092453,16.5,49.5,26.8,7.2
E00092454,66.4,26.7,5.3,1.5
E00092455,10.3,42.6,40.4,6.6
E00092456,22,42.6,29.8,5.7
E00092457,19.2,52.9,18.3,9.6
E00092458,37.6,39,18.4,5
E00092459,5.6,47.2,33.1,14.1
E00092460,7.6,44.1,42.4,5.9
E00092461,6.7,36.8,40.5,16
E00092462,2.2,45.6,37.5,14.7
E00092463,6.7,44,37.3,12
E00092464,13.5,36.1,36.1,14.2
E00092465,5.5,48,37.8,8.7
E00092466,11.6,41.3,40.5,6.6
E00092467,14.4,50.5,27,8.1
E00092468,7.3,43.7,42.4,6.6
E00092469,7.6,40.5,42,9.9
E00092470,4.8,38.9,38.9,17.5
E00092471,6.9,47.3,39.7,6.1
E00092472,60.5,30.2,8.1,1.2
E00092473,6.6,45.5,32.2,15.7
E00092474,7.2,44.6,33.7,14.5
E00092475,5,30.2,46,18.7
E00092478,1.8,29.8,49.1,19.3
E00092479,8.5,32.3,40,19.2
E00092480,10.4,31.9,40.7,17
E00092503,18.8,50.4,27.1,3.8
E00092504,9.6,34.4,44,12
E00092505,11.9,42,35.7,10.5
E00092506,24.2,41.1,33.1,1.6
E00092507,38.7,37.6,23.7,0
E00092508,26.5,51.2,20,2.4
E00092509,32.6,51.1,12.1,4.3
E00092510,35.8,46.7,15.8,1.7
E00092511,25.2,50.4,24.4,0
E00092512,20,47.7,26.2,6.2
E00092513,15.7,50.4,28.3,5.5
E00092514,22.3,51.8,24.5,1.4
E00092515,26.7,56.4,14.5,2.3
E00092516,13.7,51.6,29.8,4.8
E00092517,16.8,50.4,30.5,2.3
E00092518,10.3,42.6,30.1,16.9
E00092519,31.7,43.9,23.6,0.8
E00092520,30.7,55.1,12.6,1.6
E00092521,40.6,47.8,10.1,1.4
E00092522,46.3,32.1,16.4,5.2
E00092523,28.2,44.4,23.4,4
E00092524,30.6,45.9,17.8,5.7
E00092525,20.7,50.9,23.3,5.2
E00092526,34.8,43.2,18.9,3
E00092527,36.1,42.9,19.3,1.7
E00092528,9.6,44,42.4,4
E00092529,18.5,53.2,26.6,1.6
E00092530,9.6,60,27,3.5
E00092531,12.1,61.8,23.1,2.9
E00092532,9.9,38.7,40.1,11.3
E00092533,8.2,34.1,47.6,10
E00092534,17.9,54.5,23.6,4.1
E00092535,10.8,24.6,48.5,16.2
E00092536,24.8,49.6,18,7.5
E00092537,5.6,35.2,52,7.2
E00092538,12.7,36.5,42.9,7.9
E00092539,16.4,42.6,35.2,5.7
E00092540,6.9,46.2,38.5,8.5
E00092541,30.1,43.6,21.1,5.3
E00092542,18.9,41.7,28,11.4
E00092543,33.3,44.4,20.5,1.7
E00092544,29.9,44.4,22.2,3.4
E00092545,15.3,44.1,28.8,11.7
E00092546,9.3,50.8,33.9,5.9
E00092547,5,33.9,47.1,14
E00092549,10.5,39.5,43,7
E00092550,6.7,32.8,42.9,17.6
E00092551,6.3,29.5,52.7,11.6
E00092564,37.4,33.3,22.8,6.5
E00092565,27.8,39.7,21.4,11.1
