areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00092531,39.5,36.7,9.6,14.1
E00092532,27.3,43.4,9.8,19.6
E00092533,20.5,46.8,15.8,17
E00092534,28.7,31.1,19.7,20.5
E00092535,20.3,34.4,16.4,28.9
E00092536,26,38.9,17.6,17.6
E00092537,12,40.8,21.6,25.6
E00092538,22.2,27.8,25.4,24.6
E00092539,21.6,31.2,20,27.2
E00092540,17.7,38.5,22.3,21.5
E00092541,41.8,33.6,11.9,12.7
E00092542,38.1,31.8,14.2,15.9
E00092543,32.2,32.2,16.5,19.1
E00092544,39.5,37,15.1,8.4
E00092545,23.2,40.2,14.3,22.3
E00092546,43.2,36.4,8.5,11.9
E00092547,14,42.1,20.7,23.1
E00092549,26.3,38.6,19.3,15.8
E00092550,23.9,29.1,20.5,26.5
E00092551,23.6,37.3,20.9,18.2
E00092564,22.1,33.6,23,21.3
E00092565,33.6,23.2,22.4,20.8
E00092566,26.9,26.1,22.4,24.6
E00092567,30.1,27.7,17.3,24.9
E00092568,25.7,34.6,16.9,22.8
E00092569,43.6,34.3,12.9,9.3
E00092570,37.5,25.6,21.3,15.6
E00092571,20,40,20.8,19.2
E00092572,34.3,29.5,24.7,11.4
E00092573,25,35.9,21.9,17.2
E00092574,20.9,36.4,19.1,23.6
E00092575,47.6,24.6,16.7,11.1
E00092576,26.2,41.3,19,13.5
E00092577,23,42.2,19.3,15.6
E00092578,63.4,16.8,12.2,7.6
E00092579,23.4,37.1,23.4,16.1
E00092580,14.1,26.8,26.8,32.2
E00092581,20,36,16.8,27.2
E00092582,31.7,42.1,17.5,8.7
E00092583,28.6,42.9,15,13.5
E00092584,65.5,18,8.6,7.9
E00092602,17.9,40,17.9,24.2
E00092603,20.4,43.4,13.3,23
E00092604,16,40.4,16.7,26.9
E00092605,31.5,37,14.2,17.3
E00092606,20.2,43.9,18.4,17.5
E00092607,21.8,34.5,19.3,24.4
E00092608,24.8,36.4,16.5,22.3
E00092614,26.4,46.6,10.9,16.1
E00092617,32.1,29,16,22.9
E00092618,22.7,31.1,15.1,31.1
E00092619,16.8,30.1,23,30.1
E00092620,37.6,37.6,13.8,11
E00092621,26.2,49.5,13.1,11.2
E00092622,25.5,37.3,20.9,16.4
E00092623,33.8,32.4,20.3,13.5
E00092624,29.8,36,10.5,23.7
E00092625,26.9,33.3,15.8,24
E00092626,40.5,31,12.1,16.4
E00092627,19,26.7,20,34.3
E00092628,41.4,33.1,12.8,12.8
E00092629,40.2,33.9,12.5,13.4
E00092630,17.9,40.2,22.2,19.7
E00092631,29.7,35.9,12.4,22.1
E00092632,25.2,39.5,22.7,12.6
E00092633,49.5,33.2,9.8,7.6
E00092634,50.4,27.6,13.8,8.1
E00092635,30.5,38.1,16.1,15.3
E00092636,66.1,19.5,7.6,6.8
E00092637,28.9,36.4,6.6,28.1
E00092638,35.7,34.9,16.3,13.2
E00092639,19.7,39.3,19.7,21.3
E00092640,28.1,37.7,14.9,19.3
E00092641,42.6,36.9,13.1,7.4
E00092642,29.6,37,20.4,13
E00092643,40.4,25,18.4,16.2
E00092645,28.4,41.1,12.1,18.4
E00092646,22.4,53.9,10.5,13.2
E00092647,20.4,46.9,17,15.6
E00092648,24.7,42,11.1,22.2
E00092652,27.3,33.6,15.6,23.4
E00092653,40.1,30.5,13.8,15.6
E00092654,35.6,37.9,12.1,14.4
E00092677,25.3,28.9,22.9,22.9
E00092696,24.1,50.4,8.8,16.8
E00092697,48.1,30.8,6.4,14.7
E00092698,32.9,38.4,15.9,12.8
E00092699,36.9,31.9,17,14.2
E00092700,40.9,37.7,10.4,11
E00092701,45.3,38,11.7,5.1
E00092702,21.3,38.5,17.2,23
E00092703,38.9,35.4,17.7,8
E00092704,63.4,24.6,6.7,5.2
E00092705,21.8,40.3,17.7,20.2
E00092706,21.6,39.7,19,19.8
E00092707,27.4,35,13.7,23.9
E00092708,15.2,44.6,22.3,17.9
E00092709,18.9,36,19.8,25.2
E00092710,23.1,27.9,17.3,31.7
E00092711,16.7,37.1,19.7,26.5
E00092712,18.7,32.5,17.9,30.9
E00092713,14.5,32.2,25,28.3
E00092715,21.2,47.5,8.5,22.9
E00092716,30.9,37.5,13.2,18.4
E00092717,18.6,31,25.7,24.8
E00092718,27,42.6,16.3,14.2
E00092719,30.6,35.5,17.4,16.5
E00092720,23.9,31.3,25.4,19.4
E00092721,23.3,35,10.8,30.8
