areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00024617,8.5,45.1,46.5
E00024813,12.6,64.1,23.3
E00024838,5.6,74.1,20.3
E00024839,11.5,64.1,24.4
E00024840,7.5,54.2,38.3
E00024841,4.5,70.1,25.4
E00024842,6.1,70.7,23.2
E00024843,7.5,66.7,25.8
E00024844,7.6,76.2,16.2
E00024845,10.5,72.5,17
E00024846,5,75.8,19.2
E00024847,16.8,52.6,30.5
E00024848,8.1,50,41.9
E00024849,8.6,77.3,14.1
E00024850,17.4,43.5,39.1
E00024851,6.6,71.7,21.7
E00024852,16.5,57.3,26.2
E00025226,7.3,72,20.7
E00025229,12,61.4,26.5
E00025251,6.7,76.4,16.9
E00025458,13.2,45.6,41.2
E00025459,13.8,64.4,21.8
E00025463,12.5,55.8,31.7
E00025464,5.8,52.1,42.1
E00025465,15.2,41.4,43.4
E00025466,19.8,58,22.2
E00025468,6.5,42.2,51.3
E00025470,3.6,79.3,17.1
E00025474,16.4,70.1,13.4
E00025475,11.1,62.5,26.4
E00025477,11.5,62.3,26.2
E00025478,8.3,61.9,29.8
E00025479,10.5,67.5,21.9
E00025481,11.8,68.1,20.2
E00025482,12.1,63.6,24.2
E00025483,14.7,62.1,23.2
E00025484,2.8,80.3,16.9
E00025485,9.4,65.9,24.7
E00025488,14.9,55.2,29.9
E00025490,8.3,65.6,26
E00025491,19.6,55.4,25
E00025494,10.9,71.7,17.4
E00025495,9,51.7,39.3
E00025496,9.6,51.2,39.2
E00025497,11.8,67.3,20.9
E00026075,13.1,51.2,35.7
E00026076,11.9,64.4,23.7
E00026077,35.7,50,14.3
E00026080,15,75,10
E00026084,16.1,77.4,6.5
E00026102,15.8,64.9,19.3
E00026106,15.4,61.5,23.1
E00026108,11.7,63.8,24.5
E00026111,24.2,54.8,21
E00026116,28,53,19
E00026117,8.6,74.1,17.2
E00026120,1.8,87.7,10.5
E00028328,15,44.2,40.8
E00028329,7.6,34.7,57.6
E00028330,18.8,60,21.3
E00028331,26.5,53.1,20.4
E00028332,15.8,58.3,25.9
E00028333,13.5,59.6,27
E00028334,10.4,49.6,40
E00028335,14.3,54.1,31.6
E00028336,19,32.9,48.1
E00028338,21.2,50,28.8
E00028339,24,40.4,35.6
E00028340,14.9,50,35.1
E00028342,13.3,54.1,32.7
E00028343,27.1,54.2,18.6
E00028344,18.5,55.6,25.9
E00028345,12.1,53.3,34.6
E00028346,30.6,48.6,20.8
E00028347,12.8,56,31.2
E00028349,21.7,58,20.3
E00028350,20.7,50.6,28.7
E00028351,7.3,68.2,24.5
E00028352,12.8,53.5,33.7
E00028353,17.4,47.8,34.8
E00028354,15,49.7,35.3
E00028355,6.5,58.3,35.2
E00028356,13.2,47.1,39.7
E00028357,8.2,51.9,39.9
E00028358,16.2,45.7,38.1
E00028359,11.1,31.7,57.1
E00028360,30.2,41.5,28.3
E00028361,14.1,48.9,37
E00028362,14.5,50.6,34.9
E00028363,13.1,47.5,39.4
E00028364,16.5,49.5,34
E00028365,18.3,46.2,35.5
E00028366,15.9,51.2,32.9
E00028431,7.6,68.5,23.9
E00028433,12.8,72.3,14.9
E00028434,10.6,64.9,24.5
E00028435,18.7,61.3,20
E00028436,7.2,73.2,19.6
E00028437,10.8,52.3,36.9
E00028438,15.7,65.1,19.3
E00028455,11.5,73.1,15.4
E00028456,11.9,57.1,31
E00028457,11.8,66.4,21.8
E00028458,17.9,54.7,27.4
E00028459,14.9,43,42.1
E00028460,9.5,43.7,46.8
E00028461,18.9,58.5,22.6
E00028462,22.1,62.5,15.4
E00028463,16.1,60.9,23
E00028464,11.1,61.6,27.3
E00028465,21.4,59.2,19.4
E00028466,12.3,70.1,17.6
E00028467,21.1,66.1,12.8
E00028468,4.9,72,23.2
E00028469,10.8,65.6,23.7
E00028470,22.2,59.7,18.1
E00028471,9,54.9,36.1
E00028472,12.9,50.6,36.5
E00028473,11.2,60.3,28.4
E00028474,13,53.3,33.7
E00028475,28.6,51.4,20
E00028476,9.7,54.8,35.5
E00028477,12.5,68.2,19.3
E00028478,7.7,34.6,57.7
E00028479,18.6,46.6,34.7
E00028480,7.3,59.3,33.3
E00028481,8,72.7,19.3
E00028482,3.2,60.5,36.3
E00028483,19.2,57.7,23.1
E00028484,9,75.6,15.4
E00028485,16.5,62.6,20.9
E00028486,10.3,69,20.7
E00028487,16.9,46.5,36.6
E00028488,12.6,62.2,25.2
E00028489,12.2,59.5,28.4
E00028490,25,43.8,31.3
E00028491,12,67.5,20.5
E00028492,10.2,64.3,25.5
E00028493,29,53.6,17.4
E00028494,13.9,67,19.1
E00028495,18,50.6,31.5
E00028496,16.3,71.3,12.5
E00028497,25,43.5,31.5
E00028498,10.1,70.7,19.2
E00028499,10.8,64,25.2
E00028500,5.9,50.3,43.9
E00028501,7.3,55,37.6
E00028502,9.1,81.8,9.1
E00028503,11.3,19.1,69.6
E00028504,9.3,44.4,46.4
E00028505,6.8,55.6,37.6
E00028506,9.3,48.1,42.6
E00028507,13.3,70,16.7
E00028508,13.6,69.9,16.5
E00028509,18.8,63.8,17.5
E00028510,13.8,61.8,24.4
E00028511,21.9,56.1,21.9
E00028512,14.2,46.2,39.6
E00028513,8.3,72.6,19
E00028514,11.3,71.8,16.9
E00028515,10.9,74.5,14.6
E00028516,13.7,46.2,40.2
E00028517,13.9,63.3,22.8
E00028518,12.3,74.6,13
E00028519,16.7,55.6,27.8
E00028520,7.2,50.6,42.2
E00028521,9.3,79.1,11.6
E00028522,17.9,58.9,23.2
E00028523,15.9,52.4,31.7
E00028524,16.5,57.4,26.1
E00028525,16.5,58.2,25.3
E00028526,14.1,61.2,24.7
E00028527,8.5,63.8,27.7
E00028528,6.6,58.6,34.9
E00028529,6.3,61.3,32.4
E00028530,7.6,47.9,44.5
E00028531,20.5,48.7,30.8
E00028532,9.2,50.8,40
E00028534,20.3,39.6,40.1
E00028535,15.8,32.6,51.6
E00028536,17.5,36.7,45.8
E00028537,17.7,50,32.3
E00028539,17.9,46.2,35.8
E00028540,11.3,71.1,17.5
E00028541,9,71.4,19.5
E00028542,3.3,76.9,19.8
E00028543,11.4,65.9,22.7
E00028544,14.7,57.4,27.9
E00028545,10.6,54.8,34.6
E00028546,21.8,44.6,33.7
E00028547,13.9,52.5,33.7
E00028548,12.1,61.5,26.4
E00028549,17.3,54.5,28.2
E00028550,12.3,58.5,29.2
E00028551,12.7,55.6,31.7
E00028552,16.8,46.2,37
E00028553,12.7,68.6,18.6
E00028554,10.7,63.1,26.2
E00028555,11.2,61.2,27.6
E00028556,8.8,58.4,32.7
E00028557,6.9,70,23.1
E00028558,11.1,60.2,28.7
E00028559,3.9,81.3,14.8
E00028560,21.7,53.6,24.6
E00028561,13.2,63.2,23.6
E00028562,6.1,74.5,19.4
E00028563,10.4,77.1,12.5
E00028564,9.1,71.4,19.5
E00028565,12.9,64.3,22.9
E00028566,20.8,56.3,22.9
E00028567,14.9,68.1,17
E00028568,20.8,62.5,16.7
E00028569,14.5,54.7,30.8
E00028570,9.8,68.6,21.6
E00028571,9.1,71.2,19.7
E00028572,14.4,53.6,32
E00028573,12.6,50.5,36.9
E00028579,14.2,53.3,32.5
E00028584,9.4,40.2,50.4
E00028612,23,53,24
E00028613,12,55.4,32.6
E00028616,17.2,44.8,37.9
E00028617,22.6,37.7,39.6
E00028621,20.3,50.6,29.1
E00028622,23.8,38.1,38.1
E00028623,27.2,33,39.8
E00028624,16.7,50.9,32.4
E00028625,18.4,42.4,39.2
E00028626,10.9,38.5,50.6
E00028630,25.6,41.7,32.7
E00028631,17.1,36.8,46.2
E00028632,15.2,45.7,39.1
E00028633,25,43.2,31.8
E00028634,10.6,51.6,37.9
E00028638,32.1,26.4,41.5
E00028639,21.3,39.3,39.3
E00028640,10.7,45.9,43.4
E00028641,9,60.3,30.8
E00028642,11.3,42.7,46
E00028643,6.2,46.9,46.9
E00028644,7.8,44.8,47.4
E00028645,3.8,50,46.2
E00028646,5.2,40.9,53.9
E00028647,10.4,51.9,37.7
E00028648,13.8,59.6,26.6
E00028649,11.7,45.6,42.7
E00028650,15,46.6,38.3
E00028651,13.9,48.4,37.7
