areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00045662,69.1,15.7,8.2,5.8,1.2
E00045663,87.4,8.6,2.8,1,0.3
E00045664,83.4,5.8,3.7,6.4,0.6
E00045665,76.7,15.8,2.8,4,0.6
E00045666,79.5,8.6,5.4,2.7,3.8
E00045667,76.5,9.8,6.5,6.3,0.8
E00045668,72.3,15.7,3.7,4.5,3.7
E00045670,73.7,19.8,3.2,3,0.2
E00045671,69.9,21,5.5,3.1,0.5
E00045672,77.9,8,13.4,0.7,0
E00045673,72.2,13.4,4.6,6.5,3.2
E00045674,82.6,12.5,2.5,1.1,1.4
E00045675,82.5,14.9,0.7,1.1,0.7
E00045676,86.8,10.2,1.2,1.8,0
E00045677,80.4,15,1.2,2.1,1.5
E00045678,63.3,17.8,7.3,8.4,3.3
E00045679,78.4,15.9,3.4,1.9,0.4
E00045680,83,12.6,1.5,0.5,2.3
E00045681,58.4,18.8,12.2,7.1,3.5
E00045682,71.5,12.4,10.2,2.7,3.2
E00045683,84.5,9.3,3.4,0.3,2.5
E00045684,90.6,7.1,1.9,0.5,0
E00045685,88,10.2,1.5,0,0.4
E00045686,84.2,11.8,0.4,1.8,1.8
E00045687,60.6,10.6,11.5,11.7,5.5
E00045688,79.4,11.1,3,4.1,2.4
E00045689,92.9,6.8,0,0.4,0
E00045690,80.9,15.1,2.4,1.5,0.2
E00045691,82.3,12.6,3.8,0.7,0.7
E00045692,80.9,14.2,2.7,1.1,1.1
E00045693,86.7,10.1,1.8,0.7,0.7
E00045694,71.2,12.4,9.8,1.6,4.9
E00045695,80.8,12.3,2.1,4.8,0
E00045696,67.9,10,12,6.7,3.3
E00045697,86.3,5,3.7,4.1,0.8
E00045698,68.7,14.9,7.8,4.9,3.7
E00045699,79.4,15.4,4.2,1,0
E00045700,57.9,19.7,12.8,4.1,5.5
E00045701,77,16.6,2.3,2.3,1.9
E00045702,89.5,8.4,0.9,0.9,0.3
E00045703,79.9,12.4,2.9,1.4,3.3
E00045705,72.5,18.6,4.7,3.1,1
E00045706,74.8,15.7,6.4,1.3,1.8
E00045708,64.4,22.8,6.8,3.1,2.8
E00045710,75.8,18.4,3.3,1.6,0.8
E00045711,70.1,20.7,6.7,1.2,1.2
E00045712,67,19.8,7.2,4.8,1.1
E00045713,73.7,18.7,3.4,3.6,0.6
E00045716,74.3,10.3,11.3,2.4,1.8
E00045718,68.6,19.1,8.2,2.7,1.3
E00045719,73.5,14.7,5.4,3.4,3.1
E00045720,80,10.7,4.5,3.8,0.9
E00045721,92.8,6.5,0.7,0,0
E00045722,84.6,9.5,4.7,1.2,0
E00045724,92.3,7.4,0.3,0,0
E00045726,72.4,15.5,5.2,6.9,0
E00045727,88.2,7.4,3,1.1,0.4
E00045728,77.6,9,5.1,3.8,4.5
E00045729,78.4,15.3,3.8,2.3,0.2
E00045731,77.1,11.3,6.5,3.4,1.7
E00045732,88.5,7.1,0.7,3.7,0
E00045734,74.8,17.6,3.4,3.1,1.1
E00045735,69.1,13.3,12.2,4.4,1.1
E00045736,78.3,15.5,2.2,3.2,0.7
E00045737,84.5,7.4,4.4,2.6,1.1
E00045739,81.1,5.7,5.3,5.7,2.3
E00045740,79.2,10.2,5.8,3.6,1.1
E00045741,58.4,11.5,12.3,12.3,5.6
E00045742,78.5,12.9,5.2,1.8,1.5
E00045743,84.4,11.7,1.5,0.9,1.5
E00045744,82.6,9.6,1.7,3.4,2.8
E00045745,71,9.8,7.8,8.5,2.9
E00046051,79.6,12.4,3.7,2.8,1.4
E00046052,78.4,16.9,3.6,0.3,0.8
E00046053,76.8,15.5,3.4,1,3.4
E00046056,73.9,17.2,3.4,2.9,2.6
E00046057,73.3,22.1,2.1,1.5,1
E00046058,82.9,11.8,3.5,1.6,0.2
E00046059,84.8,7.5,3.6,2.2,1.9
E00046060,75.2,12.6,5.7,3.1,3.5
E00046061,74.3,15.3,2.4,3.3,4.7
E00046062,75.9,10.5,7.2,4.4,2.1
E00046063,67.6,18.5,4.3,4.9,4.6
E00046064,84.1,12.2,2.9,0.5,0.3
E00046065,77.4,9.1,3.4,4.3,5.8
E00046066,84.4,10.8,3.3,1.1,0.3
E00046067,86.8,9.1,1.1,1.9,1.1
E00046068,77.4,13.8,6,2.2,0.6
E00046069,76.4,15.8,5,1.1,1.6
E00046070,70.5,18.3,7.4,2.5,1.4
E00046071,77.1,17.3,2.5,2,1.1
E00046073,71.3,23.6,0.7,3.4,1
E00046074,72.2,15.4,5.8,2.7,3.9
E00046075,71.6,15.2,7.9,1.8,3.6
E00046080,68,16.8,8.2,6.1,0.9
E00046082,75,16.3,3.8,3.8,1.3
E00046083,74.2,16.4,4.2,3.4,1.8
E00046085,77.4,16.4,3.6,2.1,0.5
E00046086,73.3,14.7,7.2,3.6,1.2
E00046087,74.7,19.6,4.4,0.5,0.8
E00046088,77.7,16.2,3.5,1.7,0.9
E00046089,69.8,17.6,6.4,5.2,1
E00046090,67.9,16.3,7.7,4,4
E00046093,70.6,16.6,5.9,4.8,2.1
E00046094,61.7,21.4,11.1,3.7,2.1
E00046095,75.8,21.7,0.5,1.2,0.7
E00046096,77.6,19,1.7,0.6,1.1
E00046097,65,21,7.1,5.3,1.6
