areacd,sex-001,sex-002
E00045662,51.4,48.6
E00045663,52.1,47.9
E00045664,50.2,49.8
E00045665,52.3,47.7
E00045666,50.5,49.5
E00045667,53.8,46.2
E00045668,51.2,48.8
E00045670,49.8,50.2
E00045671,49.8,50.2
E00045672,47.8,52.2
E00045673,46.5,53.5
E00045674,48.9,51.1
E00045675,48.4,51.6
E00045676,52.3,47.7
E00045677,47.2,52.8
E00045678,47.3,52.7
E00045679,56.6,43.4
E00045680,49.7,50.3
E00045681,46.3,53.7
E00045682,43.9,56.1
E00045683,54.5,45.5
E00045684,53.1,46.9
E00045685,50.7,49.3
E00045686,51.1,48.9
E00045687,47.2,52.8
E00045688,49.3,50.7
E00045689,48,52
E00045690,49,51
E00045691,49.3,50.7
E00045692,46.4,53.6
E00045693,49.8,50.2
E00045694,47.3,52.7
E00045695,52.8,47.2
E00045696,41.1,58.9
E00045697,52.3,47.7
E00045698,43.5,56.5
E00045699,49.4,50.6
E00045700,54.1,45.9
E00045701,50.8,49.2
E00045702,50.5,49.5
E00045703,51.7,48.3
E00045705,45.8,54.2
E00045706,52.3,47.7
E00045708,58.4,41.6
E00045710,52.3,47.7
E00045711,50.1,49.9
E00045712,53.8,46.2
E00045713,45.9,54.1
E00045716,56.2,43.8
E00045718,50.9,49.1
E00045719,53.2,46.8
E00045720,50.7,49.3
E00045721,52.9,47.1
E00045722,51.8,48.2
E00045724,50.9,49.1
E00045726,48.9,51.1
E00045727,61,39
E00045728,45.7,54.3
E00045729,51.1,48.9
E00045731,50.5,49.5
E00045732,50.4,49.6
E00045734,49.4,50.6
E00045735,59.8,40.2
E00045736,49.8,50.2
E00045737,49.3,50.7
E00045739,48.7,51.3
E00045740,44.9,55.1
E00045741,48.7,51.3
E00045742,47.7,52.3
E00045743,52.9,47.1
E00045744,52.2,47.8
E00045745,45.8,54.2
E00046051,54.3,45.7
E00046052,52.1,47.9
E00046053,56,44
E00046056,50,50
E00046057,54.4,45.6
E00046058,48.8,51.2
E00046059,56.1,43.9
E00046060,50.9,49.1
E00046061,54.8,45.2
E00046062,47.1,52.9
E00046063,50.5,49.5
E00046064,56.8,43.2
E00046065,51.5,48.5
E00046066,57.2,42.8
E00046067,54.1,45.9
E00046068,52.7,47.3
E00046069,51.7,48.3
E00046070,53.8,46.2
E00046071,46.4,53.6
E00046073,47.8,52.2
E00046074,49.6,50.4
E00046075,51.5,48.5
E00046080,53.5,46.5
E00046082,50.4,49.6
E00046083,48.4,51.6
E00046085,54.2,45.8
E00046086,50.5,49.5
