areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00082187,44.4,4.8,50.8
E00082369,65.8,2.3,31.9
E00082375,60.8,1.9,37.2
E00082377,63.7,4.4,31.9
E00083858,56.7,1.8,41.5
E00083860,63,3.1,34
E00083864,76.5,3.8,19.7
E00083869,51.8,3,45.2
E00083871,74.8,2.4,22.8
E00083872,86.6,1.7,11.6
E00084002,50.2,0.8,49
E00084008,60.9,0.6,38.5
E00084189,68.8,3.1,28.1
E00084195,62.2,2,35.8
E00084196,72.3,2.1,25.5
E00084197,65.1,2.5,32.4
E00084199,62.2,2.5,35.3
E00084232,50.4,1.5,48.1
E00084233,61.7,3.8,34.5
E00084234,57.4,0.8,41.8
E00084235,58.7,2.4,38.9
E00084236,38.7,0.5,60.7
E00084237,58.8,2.7,38.5
E00084238,60,3.3,36.7
E00114351,68.7,2.7,28.6
E00114352,72.1,2.2,25.7
E00114353,62.4,1.7,35.9
E00114358,59.8,0,40.2
E00114361,61.5,2.6,35.9
E00114362,47.1,1.5,51.5
E00114363,55,2.3,42.7
E00114364,58.2,0.9,40.8
E00114365,50.5,3.6,45.9
E00114370,65.2,2.4,32.4
E00114371,58.8,2.1,39.2
E00114373,66.5,1.6,31.8
E00114375,64,2.1,33.9
E00114376,62.5,2.2,35.3
E00114388,64,1.9,34.1
E00114390,68.2,0.6,31.2
E00114391,78.7,0,21.3
E00116150,65.3,5.6,29.2
E00116153,53.3,2.6,44
E00116156,65.7,3.2,31.1
E00116157,60.7,2.5,36.8
E00116158,58.7,0.4,40.9
E00116246,61.7,2.9,35.4
E00116247,57.7,3,39.3
E00116248,58.3,0.4,41.3
E00116249,63.2,2.6,34.2
E00116250,56.1,2.4,41.5
E00116251,64.1,2.2,33.8
E00116253,70.8,1.1,28.1
E00116254,67.3,2.4,30.3
E00116255,57.5,2,40.5
E00116256,42.6,0.7,56.7
E00116257,49.8,3.2,47.1
E00116258,51.9,0,48.1
E00116259,43.8,3.6,52.6
E00116260,35.7,0.8,63.5
E00116261,38.7,2.8,58.5
E00116262,53.8,3.3,42.9
E00116285,57.5,1.3,41.2
E00116286,65.9,2.3,31.8
E00167036,56.6,2.9,40.5
E00167037,82.7,0,17.3
E00167038,78.8,1.7,19.5
E00167043,72.8,2.8,24.4
E00167048,79.3,4.6,16.2
E00167049,81.1,0.5,18.5
E00167893,79.1,3.1,17.8
E00167894,73.5,4.2,22.3
E00167895,76.1,1.1,22.9
E00167896,78.9,0,21.1
E00167897,72,5.1,22.9
E00167899,73.3,1.3,25.4
E00167902,80.4,1.1,18.6
E00172654,63.8,0.6,35.6
E00184842,64.3,3.5,32.2
E00184846,79.4,3.5,17.1
E00184858,55.7,1,43.3
E00184864,75.7,2.7,21.6
E00184892,75.4,2.7,21.9
E00184946,79.7,2.2,18.1
E00184970,62.5,2.6,34.9
E00184986,54.4,1.3,44.3
E00184994,78.9,2,19
E00188347,86.6,0.5,12.9
E00188355,80.1,2.8,17.1
E00188369,85.9,3,11.2
E00188374,85.3,3.4,11.2
E00188397,92.3,1.3,6.4
E00188404,63.7,2.4,33.9
E00188424,79.3,4.1,16.6
E00188449,82.9,3.1,14
E00188461,87.7,0.8,11.4
E00188465,86.7,1.4,11.9
E00188481,70.5,2.4,27.1
E00188482,73.6,2.3,24.2
E00188493,61.7,2.8,35.5
E00188503,73.2,3.5,23.4
E00188516,74.7,2.9,22.4
E00188525,77.1,2.1,20.8
