geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00134648,92.5,0,7.2,0.3
E00134649,91.8,0,7.1,1.2
E00134650,88.8,0.7,7.6,2.9
E00134651,95.8,0,4.2,0
E00134652,87.8,0,11.3,0.9
E00134653,92.9,0.3,6.8,0
E00134654,91.2,0,8.8,0
E00134655,93.2,0.4,6.4,0
E00134656,98.3,0,1.7,0
E00134657,94.2,0,5.8,0
E00134684,90,0.5,9.6,0
E00134686,82.8,0,16.7,0.5
E00134687,88.8,0.5,10.1,0.5
E00134688,92.4,0.3,7.3,0
E00134689,92.1,0,7.9,0
E00134690,75.1,0,24.7,0.2
E00134691,96,0.3,3.3,0.3
E00134692,93.9,0,6.1,0
E00134693,92.5,0,7.5,0
E00134694,94,0,6,0
E00134695,98.1,0.6,1.3,0
E00134696,85.2,0.4,13.5,0.9
E00134697,93,0.5,5.8,0.7
E00134698,91.5,0.5,8,0
E00134699,96.6,0,3.4,0
E00134700,91.9,0,7.3,0.8
E00134701,90.7,0.3,8.8,0.3
E00134702,88.9,0,10.4,0.7
E00134703,92.2,0,7.4,0.4
E00134704,87.6,0.3,12.1,0
E00134705,92.5,1.4,6.2,0
E00134706,92.4,0,6.6,1
E00134707,88.5,0.4,11.2,0
E00134708,91,0,9,0
E00134709,93.7,0.3,6,0
E00134710,93,0.7,6.3,0
E00134711,95.1,0.3,4.3,0.3
E00134713,90.3,0,9.7,0
E00134714,92.8,0.4,6.8,0
E00134715,95.1,0,4.9,0
E00134716,94.9,0,4.6,0.4
E00134717,92.9,0,7.1,0
E00134719,92.5,0.8,5.1,1.6
E00134720,90.8,0,8.3,0.9
E00134721,85.6,0,14.4,0
E00134722,94.6,0,5.4,0
E00134723,96.2,0,3.8,0
E00134724,93.4,0.3,6,0.3
E00134725,90.7,0,9.3,0
E00134726,91.5,0,7.7,0.7
E00134727,93,0,6.4,0.7
E00134728,94.7,0,5.3,0
E00134729,92.3,0.3,7.1,0.3
E00134850,95,0.2,4.6,0.2
E00134851,88.4,0,11.6,0
E00134852,91.4,0,8.6,0
E00134853,95.8,0,3.4,0.8
E00134854,92.9,0,6.7,0.4
E00134855,94.9,0,5.1,0
E00134856,91.1,0.3,8.6,0
E00134857,95.4,0,4.3,0.3
E00134858,90.6,0,9.4,0
E00134890,89.9,0,9.6,0.5
E00134891,93.2,0.3,6.4,0
E00135053,93.4,0,5.3,1.3
E00135054,94.8,0,5.2,0
E00135055,93.3,0,6.7,0
E00135057,86.5,0,13.5,0
E00135060,87.7,0.9,9.1,2.3
E00135065,94,0,6,0
E00135067,95,0.4,4.7,0
E00135068,87.6,0.4,11.6,0.4
E00135069,96.7,0,2.5,0.8
