geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00039835,73.1,26.9,0
E00040307,99,1,0
E00040309,76.8,23.2,0
E00040310,98.9,0,1.1
E00040311,99.2,0.8,0
E00040313,92.5,7.5,0
E00040314,11.5,88.5,0
E00040462,91.9,8.1,0
E00040463,94.3,5.7,0
E00040464,95,5,0
E00040465,92.4,7.6,0
E00040466,98.5,1.5,0
E00040467,80,20,0
E00040468,92.7,7.3,0
E00040469,99.1,0.9,0
E00040470,94.4,5.6,0
E00040471,100,0,0
E00040472,66.7,33.3,0
E00040473,85.6,14.4,0
E00040474,86,14,0
E00040475,97.4,2.6,0
E00040476,100,0,0
E00040477,100,0,0
E00040478,79.7,20.3,0
E00040479,48.3,51.7,0
E00040480,98.7,1.3,0
E00040481,95.5,4.5,0
E00040482,93.8,6.2,0
E00040483,90.8,9.2,0
E00040484,100,0,0
E00040485,83.6,16.4,0
E00040486,96.7,3.3,0
E00040487,82.9,17.1,0
E00040488,95.2,4.8,0
E00040489,87.2,12.8,0
E00040490,100,0,0
E00040491,97.5,2.5,0
E00040492,81.3,18.7,0
E00040493,97,3,0
E00040494,73.9,26.1,0
E00040495,95.5,4.5,0
E00040496,98.2,1.8,0
E00040497,92.9,7.1,0
E00040498,98.3,1.7,0
E00040499,76.8,23.2,0
E00040500,76,24,0
E00040501,99.2,0.8,0
E00040502,100,0,0
E00040503,57,43,0
E00040504,0,100,0
E00040505,98,2,0
E00040506,0,100,0
E00040507,100,0,0
E00040508,97.5,2.5,0
E00040509,100,0,0
E00040510,97.9,2.1,0
E00040511,86.5,13.5,0
E00040512,100,0,0
E00040513,100,0,0
E00040514,95.6,4.4,0
E00040515,89.8,10.2,0
E00040516,80,20,0
E00040517,68.6,31.4,0
E00040518,98.2,1.8,0
E00040519,59.4,40.6,0
E00040520,83,17,0
E00040521,78,22,0
E00040522,83.9,16.1,0
E00040523,98.1,1.9,0
E00040524,81.4,18.6,0
E00040856,54.4,45.6,0
