areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00026945,24,43.4,23.3,9.3
E00026946,32.6,44.7,17,5.7
E00026948,79.5,15.1,4.1,1.4
E00026949,36.2,48.5,8.5,6.9
E00026950,43.5,36.1,14.8,5.6
E00026952,18.4,41.2,25,15.4
E00026957,37.5,45,13.3,4.2
E00026958,38.6,37.1,21.2,3
E00026959,42.8,40.8,14.5,2
E00026961,40,30,25,5
E00026963,57.9,32.7,8.2,1.2
E00026964,49.6,36.1,12.6,1.7
E00026965,42.9,41.8,11.2,4.1
E00026966,40.9,47,10.4,1.7
E00026967,42.2,41.6,10.4,5.8
E00026968,26,42.3,30.1,1.6
E00026969,48.1,39.2,8.9,3.8
E00026970,39.4,43.3,14.4,2.8
E00026971,45.1,40.7,13.6,0.6
E00026972,29.1,51.3,13.3,6.3
E00026973,21,37,27,15
E00026974,27.9,41,20.5,10.7
E00026975,28,34.4,28,9.7
E00026976,27,42.3,15.3,15.3
E00027253,13.3,38.8,38.8,9.1
E00027254,37.8,42.2,18.5,1.5
E00027259,52.5,39.4,7.1,1
E00027260,43.8,39.7,14,2.5
E00027261,8.8,42.1,36.8,12.3
E00027262,18.3,48.7,23.5,9.6
E00027263,39.6,40.6,17,2.8
E00027264,49.1,38.9,10.2,1.9
E00027265,36.1,41.3,21.3,1.3
E00027266,25.4,49.2,22.1,3.3
E00027267,42.2,45,11.9,0.9
E00027268,34.2,45.3,18.8,1.7
E00027269,45.3,39.3,12.8,2.6
E00027270,41.5,45.3,13.2,0
E00027271,45.5,39.4,12.1,3
E00027272,47.8,41.7,9.6,0.9
E00027281,20.6,51.8,21.3,6.4
E00027282,23.4,48,22.2,6.5
E00027283,28.6,54.8,15.9,0.8
E00027285,36.4,47.5,14.1,2
E00027286,32.3,44.4,20.2,3.2
E00027287,56,35.1,7.5,1.5
E00027288,23.6,47.1,25.7,3.6
E00027359,4.2,31.7,45,19.2
E00027360,10.7,58.5,25.2,5.6
E00027361,13.8,33,42.6,10.6
E00027375,31.2,40.9,20.4,7.5
E00027376,12.1,31,43.1,13.8
E00027379,8.5,33.3,48.7,9.4
E00027380,13.8,37.1,36.2,12.9
E00027381,14.5,43.4,31.7,10.4
E00027382,11.3,35.1,42.4,11.3
E00027383,8.3,38.3,44.2,9.2
E00027384,5.2,33.9,43.5,17.4
E00027385,23.4,41.4,29,6.2
E00027386,44.5,27.3,23.6,4.5
E00027387,4.1,23.3,54.1,18.5
E00027388,8.6,27.6,45.7,18.1
E00027389,8.5,51.3,31.7,8.5
E00027390,4.3,35.9,30.8,29.1
E00027391,15.6,48.1,27.4,8.9
E00027392,12.9,38.7,41.9,6.5
E00027393,10.9,36.1,42.9,10.1
E00027394,11.4,44.3,32.9,11.4
E00027411,26.7,45.5,19.4,8.5
E00027412,17,39,36.2,7.8
E00027414,26.1,43.5,24.3,6.1
E00027415,11.5,44.6,35.7,8.3
E00027416,6.6,33.8,46.3,13.2
E00027417,17.9,45.3,23.1,13.7
E00027418,6.6,33.1,43.8,16.5
E00027419,5.4,34.9,43.4,16.3
E00027420,6.2,34.9,38.8,20.2
E00027443,77.8,17.2,4,1
E00027444,19.4,53.1,22.4,5.1
E00027445,10.9,39.8,38.3,10.9
E00027479,26.2,46.9,22.3,4.6
E00027483,29.4,45.8,19.6,5.2
E00027488,20,49.7,24.1,6.2
E00027489,40.5,48.9,8.4,2.3
E00027490,35.4,42.5,16.8,5.3
E00027491,29.7,48.3,16.1,5.9
E00027493,17.7,50.4,29.2,2.7
E00027495,22.5,53.6,18.8,5.1
E00027496,24.4,43.9,25.2,6.5
E00027497,25.5,49.7,20,4.8
E00027498,33.1,41.7,18.7,6.5
E00027499,18.5,41.7,25.9,13.9
E00027500,23.9,47.1,25.8,3.2
E00027501,24.2,42.9,24.2,8.8
E00027502,37.4,48.9,12.2,1.5
E00027517,24.2,43.9,26.1,5.7
E00027518,6,36,44,14
E00027519,46.1,42.8,10.5,0.7
E00027520,20.9,37.2,33.7,8.1
E00027521,29.7,45.8,23.2,1.3
E00027620,19.5,38.1,30.5,11.9
E00027621,25,52.3,19.7,3
E00030046,11.2,50.3,30.8,7.7
E00030047,8.9,51.9,31.6,7.6
E00030048,44.3,39.3,10.7,5.7
E00030049,14.5,36.3,35.5,13.7
E00030050,23.8,43.4,23.8,9
E00030051,37.6,44,14.4,4
E00030052,5.9,27.4,45.2,21.5
E00030053,11,33.9,37.3,17.8
E00030054,14.3,40.6,34.6,10.5
E00030055,6.4,43.6,37.3,12.7
E00030056,5.8,43.3,32.5,18.3
E00030057,50.9,33.3,14,1.8
E00030058,19.8,34.2,34.2,11.7
E00030059,13.1,38.5,37.7,10.8
E00030060,8.7,45.2,43.5,2.6
E00030061,18.4,51.5,20.6,9.6
E00030062,13.3,40.7,30.1,15.9
E00030063,8.3,39.7,42.1,9.9
E00030064,13.2,40.6,34,12.3
E00030065,29.7,41.4,20,9
E00030066,34.4,46.4,14.4,4.8
E00030067,32.9,48,12.5,6.6
E00030068,40.3,33.8,18,7.9
E00030069,27.6,44.1,22.8,5.5
E00030070,36.8,40.6,17.3,5.3
E00030071,34.7,48.2,12.4,4.7
E00030072,13.6,44,30.4,12
E00030073,48.6,38,10.6,2.8
E00030074,30.5,37.3,22.9,9.3
E00030075,57.8,34.4,3.9,3.9
E00030076,40.8,36.2,19.2,3.8
E00030077,61.2,33.3,4.7,0.8
E00030078,37.6,48.1,12,2.3
E00030079,13.3,55,24.2,7.5
E00030080,29.5,46.2,21.2,3
E00030081,18,34.4,35.2,12.3
E00030082,13.2,55.9,27.9,2.9
E00030083,20.3,53.4,20.3,6
E00030084,44.7,37.3,12.4,5.5
E00030085,25,48.9,22.8,3.3
E00030086,26.7,52.6,20,0.7
E00030087,31.4,44.3,19.3,5
E00030088,50.7,33.3,12.3,3.6
E00030089,35.5,49.3,12.3,2.9
E00030090,39.7,47.5,9.2,3.5
E00030091,50,43.9,6.1,0
E00030092,61.9,36.1,1.9,0
E00030093,43,46.9,9.4,0.8
E00030095,32.5,43.8,21.3,2.5
E00030096,6.7,36.7,42.5,14.2
E00030097,23.8,40.2,26.2,9.8
E00030098,21.4,47.9,21.4,9.4
E00030099,11.1,53.7,29.6,5.6
E00030100,13.4,49.6,29.4,7.6
E00030101,24.2,38.3,25.8,11.7
E00030102,21,52.4,21,5.7
E00030103,23.4,45.2,28.2,3.2
E00030104,22.9,57.9,15,4.3
E00030105,26.9,53.1,16.6,3.4
E00030106,26.6,47.7,20.3,5.5
E00030107,36.8,43.9,16.7,2.6
E00030108,30.7,49.6,17.3,2.4
E00030109,51.5,37.7,9.2,1.5
E00030110,31.5,46.8,17.7,4
E00030111,26.2,36.1,29.5,8.2
E00030113,14.2,44.5,31.6,9.7
E00030114,32.7,45.6,19,2.7
E00030115,17.1,50,30.5,2.4
E00030116,46.6,45.7,6,1.7
E00030117,54.5,37.2,7.4,0.8
E00030118,47.4,37.8,11.9,3
E00030119,50.7,41.3,6.7,1.3
E00030121,56.8,33.3,9.8,0
E00030123,55.3,37.1,6.9,0.6
E00030128,38.3,43,15.4,3.4
E00030129,71.7,27.5,0.7,0
E00030130,66,29.9,4.2,0
E00030131,44.7,38,14.9,2.4
E00030135,53.8,33.1,8.5,4.6
E00030141,21.3,44,22.7,12
E00030142,19.2,55.6,22.2,3
E00030143,50,38.1,11.2,0.7
E00030144,30.3,47,18.2,4.5
E00030145,30.5,54.6,14.2,0.7
E00030146,60.1,32,6.5,1.3
E00030148,39.3,42.6,14.8,3.3
E00030149,51.2,33.3,14,1.6
E00030150,74.8,23.8,1.5,0
E00030151,62.2,28.5,7.2,2
E00030153,29.1,47.5,18.4,5.1
E00030154,62.3,31.1,6,0.6
E00030155,65.9,30.4,2.9,0.7
E00030156,44.9,39.9,7.2,8
E00030157,72.6,24,3.4,0
E00030159,26.7,39.7,26,7.6
E00030160,9,43.4,38.6,9
E00030162,46.5,40.2,8.7,4.7
E00030163,35.5,35.5,21,8.1
E00030164,38.9,47.6,6.3,7.1
E00030165,41.3,39.7,11.6,7.4
E00030166,15.8,56.7,23.3,4.2
E00030167,14.7,24.5,45.1,15.7
E00030168,7.4,27.7,46.8,18.1
E00030169,9.6,50,32.9,7.5
E00030170,42,36.6,17.9,3.6
E00030172,29.1,48.5,17.9,4.5
E00030173,37.6,48,12,2.4
E00030174,29.3,45.7,17.9,7.1
E00030175,35.2,39.3,22.1,3.4
E00030176,34.5,51.3,10.1,4.2
E00030177,28.6,46.2,20.2,5
E00030178,16.9,39,29.4,14.7
E00030183,57.6,32,8.8,1.6
E00030184,44.2,42,12.3,1.4
E00030185,25.5,40.9,23.4,10.2
E00030186,28.2,42.7,21.8,7.3
E00030187,23.9,40.3,31.3,4.5
E00030188,18.6,40.7,31.4,9.3
E00030190,53.7,36.4,6.6,3.3
E00030191,23,43.4,28.3,5.3
E00030192,39.2,47.7,10.8,2.3
E00030193,35.7,43.5,14.8,6.1
