areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00027920,6.4,20.2,62.6,10.8
E00027921,5.7,18.1,58.6,17.6
E00027922,7.5,21.7,61.7,9.2
E00027924,11.1,17.8,65.2,5.9
E00027925,8.3,18.3,57.8,15.6
E00027926,5.4,16.3,68.5,9.8
E00027929,8.3,16,63.1,12.6
E00027930,4.5,23.2,67.1,5.2
E00027931,5.6,15.7,70.4,8.3
E00027932,8.1,16.9,67.7,7.3
E00027934,7,13.2,74.4,5.4
E00027950,6.3,21,58.5,14.2
E00027951,8.6,19.8,59.5,12.1
E00027952,8.5,18.5,57.7,15.4
E00027953,7,15.2,66.1,11.7
E00027954,10.3,19.3,64.1,6.2
E00027955,5.1,15.9,68.1,10.9
E00027956,4,19.3,72,4.7
E00027957,8.4,27.4,58.9,5.3
E00027958,12.8,26.6,54.3,6.4
E00027959,6.8,14.3,66,12.9
E00027960,4.7,20.1,68,7.1
E00054845,6.6,23.5,56,13.9
E00054846,12.4,24.2,50.5,12.9
E00054847,16.3,27.5,51,5.2
E00054848,13.1,19.2,53.5,14.1
E00054849,5.6,21.1,64.8,8.5
E00054850,18.3,21.1,53.5,7
E00054851,14,25.7,52.9,7.4
E00054852,10.6,18.3,64.4,6.7
E00054853,13.2,25.6,52.7,8.5
E00054854,10.1,31.6,50.6,7.6
E00054855,2.8,22.7,60.3,14.2
E00054856,11.4,22.9,54.3,11.4
E00054857,10.6,35.1,48.9,5.3
E00054858,15.7,22.6,51.3,10.4
E00054859,7.8,29.6,53.9,8.7
E00054860,9.1,26.4,58.2,6.4
E00054861,11.3,22.7,57.7,8.2
E00054865,11.7,20.8,59.2,8.3
E00054866,11.2,18.7,59,11.2
E00054867,11.3,21,61.3,6.5
E00054868,10,18.8,56.5,14.7
E00054869,10.9,21.8,55.4,11.9
E00054870,10.8,19.6,57.4,12.2
E00054871,11.1,21,63.6,4.3
E00054872,13.9,16.8,56.1,13.3
E00054873,9.9,23.9,59.2,7
E00054874,7.8,22.2,59.5,10.5
E00054875,11.4,21.1,60.2,7.3
E00054876,14.9,22.7,47.5,14.9
E00054877,13.8,15.8,56.6,13.8
E00054878,15.9,16.6,58.6,9
E00054879,10.8,18.3,61.3,9.7
E00054880,10.7,26.2,54.9,8.3
E00054882,12.7,31,46,10.3
E00055030,9.7,22.2,54.9,13.2
E00055031,14.7,20.1,55.4,9.8
E00055033,11.6,17.2,55.1,16.2
E00055034,9.7,20.6,63.2,6.5
E00055035,8.9,14.3,69,7.7
E00055037,13,17,61,9
E00055038,8.7,21.3,59.1,10.9
E00055039,13,19.7,56.7,10.6
E00055043,8.9,20,61.5,9.6
E00055044,8,21.7,58.7,11.6
E00055045,15.1,20.9,52.9,11
E00055046,8,28.3,55.8,8
E00055047,11.1,30.2,55.6,3.2
E00055048,14.1,21.9,53.6,10.4
E00055049,8.4,24.7,56,10.8
E00055050,15.4,27.8,45,11.8
E00055051,13.7,27.3,48.4,10.6
E00055052,18.2,20.2,56.6,5.1
E00055053,11.1,24.4,52.2,12.2
E00055054,14,15.4,54.8,15.8
E00055055,15.6,19.7,59.9,4.8
E00055056,13.3,18.9,58.9,8.9
E00055057,15.2,25,55.4,4.3
E00055058,12.7,21.8,56.3,9.2
E00055059,5.4,25.4,60,9.2
E00055060,8.8,23.5,61.8,5.9
E00055061,12.7,23.5,53.9,9.8
E00055062,11.4,20,60.7,7.9
E00055063,8.9,20,64.4,6.7
E00055064,10.9,24,46.9,18.3
E00055065,10.8,15.6,53.9,19.8
E00055066,9.6,27,54.8,8.7
E00055208,11.5,24,58.3,6.3
E00055209,14.3,25,48.8,11.9
E00055210,7.8,19.8,61.7,10.8
E00055213,10.9,23,55.7,10.3
E00055215,13.2,22.1,50,14.7
E00055219,9.3,26.7,53.5,10.5
E00055220,6.9,21.6,58.6,12.9
E00055222,8.6,21.9,64.8,4.7
E00055225,12.8,17.3,62.4,7.5
E00055226,12.2,30,45.6,12.2
E00055228,8.5,15.9,61.2,14.4
E00055229,9,16.8,61.1,13.2
E00055230,8.5,24.8,52.1,14.5
E00055231,13.1,18.5,51.2,17.3
E00055233,10,17.3,60.3,12.3
E00055234,7.7,20.8,49.7,21.9
E00055236,10.5,17,57,15.4
E00055238,7.3,19.8,62.5,10.4
