geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00082187,53.5,25.7,12.5,8.3
E00082369,40.7,35.8,6.5,17.1
E00082375,38,40.2,4.9,16.8
E00082377,38.3,21.3,4.3,36.2
E00083858,29.4,36.4,24.5,9.8
E00083860,41.4,42,2.5,14.2
E00083864,13.9,48.7,18.3,19.1
E00083869,56.9,29.4,4.9,8.8
E00083871,20,65.8,10,4.2
E00083872,8,52.5,1.2,38.3
E00084002,58.5,29.2,0,12.3
E00084008,51.4,37.3,0,11.3
E00084189,37,48,0,15
E00084195,31.1,42.4,16.7,9.8
E00084196,36.2,47.8,7.2,8.7
E00084197,17.7,70,6.9,5.4
E00084199,35.4,34.5,4.4,25.7
E00084232,36.2,41.4,6,16.4
E00084233,38.3,36.2,4.7,20.8
E00084234,48.3,32.5,7.5,11.7
E00084235,35.9,43.8,11.1,9.2
E00084236,83.3,11.7,1.7,3.3
E00084237,50,33.3,0,16.7
E00084238,48.4,35.7,5.6,10.3
E00114351,41.9,47.3,0.8,10.1
E00114352,41.7,50.4,0.7,7.2
E00114353,21.9,46.2,22.4,9.5
E00114358,40,30.5,4.2,25.3
E00114361,39,35.4,4.1,21.5
E00114362,40.8,34.7,0,24.5
E00114363,53.7,33.3,0.6,12.3
E00114364,62.4,29.1,0.9,7.7
E00114365,27,21.1,46.1,5.9
E00114370,25.2,12.2,9.9,52.7
E00114371,49.5,33.9,0.9,15.6
E00114373,41.9,38.7,2.4,16.9
E00114375,43.8,40,2.3,13.8
E00114376,50.7,42.7,0,6.7
E00114388,43.8,50.7,1.4,4.2
E00114390,24.3,31.8,25.2,18.7
E00114391,25,44.7,0.8,29.5
E00116150,27.2,23.5,2.5,46.9
E00116153,40.5,42.5,7.8,9.2
E00116156,21.4,39.9,11,27.7
E00116157,44.9,40.7,11,3.4
E00116158,45.6,42.1,3.5,8.8
E00116246,39.7,29.1,15.6,15.6
E00116247,38,45.5,6.6,9.9
E00116248,21.8,24.2,48.4,5.6
E00116249,37.8,39.5,6.7,16
E00116250,25.8,20.5,42.4,11.4
E00116251,38.8,37.2,5,19
E00116253,18.2,28.6,17.2,35.9
E00116254,32.8,45.4,7.4,14.4
E00116255,45.3,37.3,0,17.3
E00116256,62.2,35.4,0,2.4
E00116257,54,29.8,2.4,13.7
E00116258,59.4,34.6,0.8,5.3
E00116259,61.1,31,0,7.9
E00116260,31.9,13.7,37.4,17
E00116261,59.4,17.5,8.4,14.7
E00116262,53.9,39.8,0,6.3
E00116285,46.7,42.9,5.7,4.8
E00116286,37.7,42.5,6.6,13.2
E00167036,24,34,33,9
E00167037,28.7,53.5,0,17.8
E00167038,17.2,62.5,10.9,9.4
E00167043,24.2,42.2,6.3,27.3
E00167048,7,33.9,4.1,55
E00167049,19.5,55.3,13,12.2
E00167893,13.4,55.6,18,13
E00167894,18.7,46.5,10.2,24.6
E00167895,41.7,54.8,1.2,2.4
E00167896,13.1,46.4,21.4,19
E00167897,18.9,63.1,9,9
E00167899,31.4,49.4,8.3,10.9
E00167902,30.2,54,11.1,4.8
E00172654,36.8,40,1.9,21.3
E00184842,43.5,54.8,0,1.6
E00184846,14.2,65.5,4,16.4
E00184858,23.5,25.5,45.1,5.9
E00184864,7,39.5,34.9,18.6
E00184892,17.3,57.3,17.3,8.2
E00184946,10,64.3,19.5,6.2
E00184970,50,41.5,3.2,5.3
E00184986,26.4,26.4,40.3,6.9
E00184994,23.9,45.1,7,23.9
E00188347,10.6,83.2,0.9,5.3
E00188355,15.8,54.5,19.8,9.9
E00188369,6.1,84.7,6.1,3.1
E00188374,2.9,22.1,0.7,74.3
E00188397,1.5,77,14.1,7.4
E00188404,41.4,40.6,5.5,12.5
E00188424,2.8,3.5,7,86.7
E00188449,6.6,82.4,2.9,8.1
E00188461,7.4,64.7,19.9,8.1
E00188465,9.8,80.3,2.5,7.4
E00188481,18.8,35.3,37.6,8.3
E00188482,32.3,56.9,0.8,10
E00188493,31.1,54.1,8.1,6.7
E00188503,23.4,51.4,21.6,3.6
E00188516,10.4,66.7,17,5.9
E00188525,15.9,50.8,1.5,31.8
