areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00092757,67.8,26.3,1.7,4.2
E00092758,65,31.7,0.8,2.5
E00092759,61.9,36.4,0.8,0.8
E00092760,48.4,43.2,4.2,4.2
E00092761,63.6,34.1,0.8,1.5
E00092763,68.3,23.8,0,7.9
E00092764,65.3,28,0.8,5.9
E00092765,39.8,28.9,0,31.3
E00092766,64.8,28.9,1.6,4.7
E00092767,15.4,23.1,52.4,9.1
E00092768,36.6,53.5,4.1,5.8
E00092769,57.5,16.7,2.5,23.3
E00092770,57.3,33.9,2.4,6.5
E00092771,47.1,34.1,0,18.8
E00092772,51.5,26.5,4.4,17.6
E00092773,52,21.4,19.4,7.1
E00092774,46.6,34.4,9.2,9.9
E00092775,55.8,37.2,1.6,5.4
E00092776,61.2,35.3,0.9,2.6
E00092777,60.2,33.1,5.1,1.7
E00092778,67.6,27,0.9,4.5
E00092779,35.2,35.2,16.4,13.3
E00092780,16.3,23.7,45.9,14.1
E00092781,24.2,16.9,50.8,8.1
E00092782,8.4,16,58.8,16.8
E00092783,6.7,10.9,63,19.3
E00092784,32.3,35.3,4.5,27.8
E00092785,54.4,28.1,0,17.5
E00092786,66.9,27.9,0,5.1
E00092787,60.6,36.4,0,3
E00092788,45.5,42.5,0,11.9
E00092790,54.8,36.3,1.6,7.3
E00092791,24.7,37.1,30.4,7.7
E00092792,57.8,26.6,0,15.6
E00092793,49.2,39.4,0.8,10.6
E00092794,28.7,40.7,2.8,27.8
E00092795,30.1,14.2,44.2,11.5
E00092796,28.3,35,26.7,10
E00092797,25.8,49.6,12.5,12.1
E00092937,60.2,32.2,0.8,6.8
E00092938,69.3,25.3,0,5.3
E00092943,52.3,34.6,3.7,9.3
E00092986,49.7,39.9,0.7,9.8
E00092992,35,35,19,10.9
E00092993,45.7,41.4,3.6,9.3
E00092998,42.1,37.9,1.4,18.6
E00093002,51.4,41.4,1.4,5.7
E00093003,52.6,35.5,2,9.9
E00093071,22.6,30.1,4.5,42.9
E00093072,31.6,30.5,1.1,36.7
E00093073,50,39.3,0.7,10
E00093074,22,33.9,2.6,41.4
E00093075,35.4,36.9,1.5,26.2
E00093076,52.3,34.4,0,13.3
E00093077,16.5,20.7,0.5,62.2
E00093078,19.8,19,47.6,13.5
E00093080,14.5,36.3,35.2,14
E00093081,21,41.1,23.4,14.5
E00093082,10.8,16.9,63.8,8.5
E00093083,14.8,12.3,59,13.9
E00093084,7.2,8.5,10.5,73.9
E00093085,22.7,11.9,1.1,64.2
