geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00063413,21.7,78.3
E00063416,35.2,64.8
E00063716,29.9,70.1
E00063717,39.8,60.2
E00063718,45.1,54.9
E00063719,35.3,64.7
E00063720,34.5,65.5
E00126160,49.6,50.4
E00126161,31.5,68.5
E00126162,38.1,61.9
E00126163,29.6,70.4
E00126164,27.6,72.4
E00126165,22.3,77.7
E00126166,28.2,71.8
E00126167,19,81
E00126168,43.6,56.4
E00126169,46.5,53.5
E00126170,39.4,60.6
E00126171,51.1,48.9
E00126172,50.3,49.7
E00126173,8.3,91.7
E00126174,39.8,60.2
E00126175,56.9,43.1
E00126176,31.7,68.3
E00126177,22.4,77.6
E00126178,34.2,65.8
E00126179,20.8,79.2
E00126180,20.6,79.4
E00126181,30.7,69.3
E00126182,54.6,45.4
E00126183,50.2,49.8
E00126184,63.7,36.3
E00126185,51.9,48.1
E00126186,47.8,52.2
E00126187,59.9,40.1
E00126188,45.3,54.7
E00126189,55.3,44.7
E00126190,59.7,40.3
E00126191,57.8,42.2
E00126192,34.1,65.9
E00126193,44.3,55.7
E00126194,36.9,63.1
E00126195,27.2,72.8
E00126196,31.8,68.2
E00126197,45.4,54.6
E00126198,46.5,53.5
E00126199,64.1,35.9
E00126200,41.2,58.8
E00126201,29.2,70.8
E00126202,36.4,63.6
E00126203,41.7,58.3
E00126204,39.2,60.8
E00126205,35.6,64.4
E00126206,24.4,75.6
E00126207,22.6,77.4
E00126208,35.2,64.8
E00126209,32.2,67.8
E00126210,30.5,69.5
E00126211,27.6,72.4
E00126212,41,59
E00126213,27.6,72.4
E00126214,39.1,60.9
E00126215,34.2,65.8
E00126216,41.8,58.2
E00126217,24.4,75.6
E00126218,42.8,57.2
E00126219,39.8,60.2
E00126220,31.4,68.6
E00126221,12.4,87.6
E00126222,55.6,44.4
E00126223,41.3,58.7
E00126224,61.7,38.3
E00126225,56.9,43.1
E00126226,63.8,36.2
E00126227,50.6,49.4
E00126228,59.8,40.2
E00126229,69.2,30.8
E00126230,40.3,59.7
E00126231,58.5,41.5
E00126232,60.6,39.4
E00126233,55.1,44.9
E00126234,56.6,43.4
E00126235,55,45
E00126236,54.1,45.9
E00126237,55,45
E00126238,62.5,37.5
E00126239,34.9,65.1
E00126240,51.9,48.1
E00126241,49.6,50.4
E00126242,24.1,75.9
E00126243,38.3,61.7
E00126244,39.8,60.2
E00126245,47.9,52.1
E00126246,33.2,66.8
E00126247,39,61
E00126248,45,55
E00126249,49.1,50.9
E00126250,64,36
E00126251,37.4,62.6
E00126252,18.5,81.5
E00126253,48.4,51.6
E00126254,58.5,41.5
E00126255,54.7,45.3
E00126256,63.8,36.2
E00126257,50.2,49.8
E00126258,54.3,45.7
E00126260,46.1,53.9
E00126262,41.5,58.5
E00126265,50.8,49.2
E00126266,50.4,49.6
E00126267,44.5,55.5
E00126268,53.2,46.8
E00126269,56.8,43.2
E00126270,57.5,42.5
E00126271,56.7,43.3
E00126272,47.6,52.4
E00126274,20,80
E00126275,49.7,50.3
E00126276,36.4,63.6
E00126277,47.4,52.6
E00126278,22.9,77.1
E00126279,28.7,71.3
E00126280,33.5,66.5
E00126281,17.4,82.6
E00126282,48.5,51.5
E00126283,23.4,76.6
E00126284,31.8,68.2
E00126285,27.2,72.8
E00126286,45.9,54.1
E00126287,33.8,66.2
E00126288,27.9,72.1
E00126289,55,45
E00126290,43.3,56.7
E00126291,39.1,60.9
E00126292,34.7,65.3
E00126293,35.6,64.4
E00126294,36.8,63.2
E00126295,28.7,71.3
E00126296,19.6,80.4
E00126297,57.8,42.2
E00126298,18.1,81.9
E00126299,29.5,70.5
E00126300,38.3,61.7
E00126301,24.6,75.4
E00126302,58.2,41.8
E00126303,13.7,86.3
E00126304,26.6,73.4
E00126305,31,69
E00126306,33.2,66.8
E00126307,29.7,70.3
E00126308,39.1,60.9
E00126309,21.1,78.9
E00126310,50.6,49.4
E00126311,34.6,65.4
E00126312,23.3,76.7
E00126313,59.8,40.2
E00126314,43.7,56.3
E00126315,41,59
E00126316,30.8,69.2
E00126317,29.6,70.4
E00126318,60.8,39.2
E00126319,35.4,64.6
E00126320,61.7,38.3
E00126321,48,52
E00126323,63.8,36.3
E00126324,63.9,36.1
E00126325,33.5,66.5
E00126326,28.2,71.8
E00126327,40.6,59.4
E00126328,45.7,54.3
E00126329,26.7,73.3
E00126330,30.4,69.6
E00126331,29.8,70.2
E00126332,30.8,69.2
E00126333,30,70
E00126334,47,53
E00126335,46.7,53.3
E00126336,61.4,38.6
E00126337,41.1,58.9
E00126338,37.2,62.8
E00126339,59.6,40.4
E00126340,56.8,43.2
E00126341,53.5,46.5
E00126342,48.6,51.4
E00126343,40,60
E00126344,47.8,52.2
E00126345,41,59
E00126346,41.1,58.9
E00126347,50,50
E00126348,40.2,59.8
E00126349,64.3,35.7
E00126350,36.4,63.6
E00126351,25.2,74.8
E00126352,59.2,40.8
E00126353,59.2,40.8
E00126354,40.3,59.7
E00126355,40.6,59.4
E00126356,40.6,59.4
E00126357,49.8,50.2
E00126358,60.5,39.5
E00126359,46.5,53.5
E00126360,37.2,62.8
E00126361,49.2,50.8
E00126362,53,47
E00126363,37.1,62.9
E00126364,29.7,70.3
E00126365,46.8,53.2
E00126366,41.4,58.6
E00126367,43.1,56.9
E00126368,28.2,71.8
E00126369,27.5,72.5
E00126370,34.2,65.8
E00126371,57,43
E00126372,47.2,52.8
E00126373,57.9,42.1
E00126374,54.5,45.5
E00126375,38.2,61.8
E00126376,31.6,68.4
E00126377,39.8,60.2
E00126378,42.9,57.1
E00126380,19.6,80.4
E00126381,36.7,63.3
E00126382,29.5,70.5
E00126383,43,57
E00126384,24.4,75.6
E00126385,34.3,65.7
E00126386,39.4,60.6
E00126387,47,53
E00126388,27.8,72.2
E00126389,34.1,65.9
E00126390,34.8,65.2
E00126391,33,67
E00126392,57.1,42.9
E00126393,59.2,40.8
E00126394,25.6,74.4
E00126395,13.1,86.9
E00126396,31.1,68.9
E00126397,38.8,61.2
E00126398,34.6,65.4
E00126399,39.4,60.6
E00126400,57.9,42.1
E00126401,49.6,50.4
E00126402,29.3,70.7
E00126403,24.2,75.8
E00126404,25.3,74.7
E00126405,53.1,46.9
E00126406,32.8,67.2
E00126407,29.4,70.6
E00126409,37.3,62.7
