geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00063413,81,11.1,0.8,7.1
E00063416,87.3,7.6,0.8,4.2
E00063716,90.9,2.5,1.7,5
E00063717,70.4,9.9,7.2,12.5
E00063718,68.7,12.7,8.2,10.4
E00063719,77.8,4.9,3.8,13.5
E00063720,81.8,6.3,4.9,7
E00126160,57.1,19.5,6,17.3
E00126161,76.4,8.7,2.6,12.3
E00126162,68,10.7,1.9,19.4
E00126163,61.3,11.7,0,27
E00126164,94.2,2.9,0,2.9
E00126165,92.9,1.6,0.8,4.8
E00126166,92.9,1.6,0.8,4.8
E00126167,97.9,0.7,0,1.4
E00126168,55.1,16.5,3.9,24.4
E00126169,48.4,22.6,6.5,22.6
E00126170,63.9,13.6,0,22.4
E00126171,64,16.2,3.6,16.2
E00126172,59.7,8.3,4.9,27.1
E00126173,97.4,0,0,2.6
E00126174,74.8,20.7,0.9,3.6
E00126175,99.3,0.7,0,0
E00126176,97.4,0.9,0,1.7
E00126177,93.6,0.8,1.6,4
E00126178,61.3,8.8,3.6,26.3
E00126179,84.5,3.4,2,10.1
E00126180,94.7,0.8,0,4.5
E00126181,100,0,0,0
E00126182,99.3,0,0,0.7
E00126183,100,0,0,0
E00126184,97.9,0,0.7,1.4
E00126185,98.4,0.8,0,0.8
E00126186,98.3,1.7,0,0
E00126187,92.1,6.6,0,1.3
E00126188,97.7,2.3,0,0
E00126189,98.1,0.5,0.5,0.9
E00126190,100,0,0,0
E00126191,98.6,0.7,0,0.7
E00126192,99.3,0,0,0.7
E00126193,99.1,0,0,0.9
E00126194,99.2,0,0,0.8
E00126195,99.3,0,0,0.7
E00126196,100,0,0,0
E00126197,99.3,0.7,0,0
E00126198,99.3,0,0.7,0
E00126199,100,0,0,0
E00126200,98.3,1.7,0,0
E00126201,99.2,0,0,0.8
E00126202,95.9,2.4,0.8,0.8
E00126203,97.8,0.7,1.4,0
E00126204,96.7,0.8,0.8,1.7
E00126205,94.9,2.2,0,2.9
E00126206,95.7,3.4,0,0.9
E00126207,99.1,0,0,0.9
E00126208,99.3,0,0,0.7
E00126209,100,0,0,0
E00126210,95.5,3.6,0.9,0
E00126211,99.2,0,0,0.8
E00126212,98.5,1.5,0,0
E00126213,93.4,3.3,0.8,2.5
E00126214,98.9,0,1.1,0
E00126215,99.2,0,0,0.8
E00126216,95.2,0,2.4,2.4
E00126217,95.7,0.7,0,3.6
E00126218,99.5,0,0,0.5
E00126219,97.6,0.8,0.8,0.8
E00126220,97.6,0,0.8,1.6
E00126221,96.5,0.7,0,2.8
E00126222,100,0,0,0
E00126223,98.5,0.7,0,0.7
E00126224,100,0,0,0
E00126225,100,0,0,0
E00126226,100,0,0,0
E00126227,100,0,0,0
E00126228,100,0,0,0
E00126229,99,0,0,1
E00126230,100,0,0,0
E00126231,96.9,3.1,0,0
E00126232,100,0,0,0
E00126233,98.1,0,0,1.9
E00126234,100,0,0,0
E00126235,98.4,1.6,0,0
E00126236,100,0,0,0
E00126237,100,0,0,0
E00126238,100,0,0,0
E00126239,100,0,0,0
E00126240,100,0,0,0
E00126241,99.3,0,0,0.7
E00126242,73.8,4.5,4.5,17.3
E00126243,96.7,2.5,0,0.8
E00126244,94.5,0.8,0,4.7
E00126245,97.7,0.8,0.8,0.8
E00126246,96.9,0,0.8,2.3
E00126247,90.5,1.6,4.8,3.2
E00126248,97.3,1.8,0,0.9
E00126249,99.1,0,0.9,0
E00126250,98.3,0.9,0,0.9
E00126251,96.9,1.6,0,1.6
E00126252,88.7,0.7,4.3,6.4
E00126253,97.7,0,0,2.3
E00126254,98.3,0.8,0,0.8
E00126255,99.1,0.9,0,0
E00126256,99.1,0.9,0,0
E00126257,99.3,0.7,0,0
E00126258,99.2,0.8,0,0
E00126260,44.6,27.3,4.1,24
E00126262,61.3,21.8,0,16.9
E00126265,38.8,34.7,5,21.5
E00126266,44.2,24,5.8,26
E00126267,52.7,17.1,5.4,24.8
E00126268,40.9,31.7,6.1,21.3
E00126269,28.7,36.7,6,28.7
E00126270,49.4,31.8,7.1,11.8
E00126271,32.8,37.1,6,24.1
E00126272,38.2,30.5,6.9,24.4
E00126274,94.9,1.5,0,3.6
E00126275,95.2,3.2,0,1.6
E00126276,97.8,1.1,0,1.1
E00126277,99.3,0,0,0.7
E00126278,95.5,1.8,0,2.7
E00126279,98.3,0,0,1.7
E00126280,96.6,0,0.7,2.7
E00126281,92.8,1.6,0,5.6
E00126282,100,0,0,0
E00126283,98.5,0.8,0,0.8
E00126284,100,0,0,0
E00126285,94.9,0.6,0,4.5
E00126286,97.3,1.8,0.9,0
E00126287,99.2,0,0.8,0
E00126288,98.1,1.9,0,0
E00126289,98.4,1.6,0,0
E00126290,98.7,0.4,0,0.9
E00126291,98.4,0,0,1.6
E00126292,99.3,0,0,0.7
E00126293,100,0,0,0
E00126294,93.1,4.6,0,2.3
E00126295,95.7,1.4,0,2.9
E00126296,100,0,0,0
E00126297,98.9,1.1,0,0
E00126298,99.2,0,0,0.8
E00126299,98.1,0.6,0,1.2
E00126300,97.8,0,0.7,1.5
E00126301,95.9,0,0,4.1
E00126302,98.7,0.7,0,0.7
E00126303,98.1,0.6,0,1.3
E00126304,98.3,1.7,0,0
E00126305,95.4,0.8,0,3.8
E00126306,97.6,0.8,0,1.6
E00126307,98.2,0,0,1.8
E00126308,96.4,0.9,0.9,1.8
E00126309,98.5,0.7,0,0.7
E00126310,96.9,2.3,0,0.8
E00126311,100,0,0,0
E00126312,97.2,1.7,1.1,0
E00126313,100,0,0,0
E00126314,99.2,0.8,0,0
E00126315,97.4,0.7,0.7,1.3
E00126316,97.1,0.7,0,2.2
E00126317,98.2,0.9,0,0.9
E00126318,97.5,0.8,0.8,0.8
E00126319,99.1,0.9,0,0
E00126320,99.2,0.8,0,0
E00126321,97.9,2.1,0,0
E00126323,99.2,0.8,0,0
E00126324,97.7,2.3,0,0
E00126325,99.2,0,0.8,0
E00126326,100,0,0,0
E00126327,99.1,0,0,0.9
E00126328,100,0,0,0
E00126329,96.6,1.7,0,1.7
E00126330,97.9,0.7,0,1.4
E00126331,100,0,0,0
E00126332,98.1,0.5,1.4,0
E00126333,98.3,0,1.7,0
E00126334,100,0,0,0
E00126335,88.9,10.3,0,0.8
E00126336,89.8,10.2,0,0
E00126337,90.7,1.9,1.9,5.6
E00126338,82.2,8.1,1.5,8.1
E00126339,100,0,0,0
E00126340,94.4,1.6,0.8,3.2
E00126341,99.2,0,0,0.8
E00126342,89.3,8.4,1.5,0.8
E00126343,91.9,4.4,0.7,3
E00126344,78.4,8.5,3,10.1
E00126345,74.6,7.9,2.4,15.1
E00126346,81.9,9,3.5,5.6
E00126347,72.4,19,1.7,6.9
E00126348,65.6,13,3.8,17.6
E00126349,93.5,3.2,0.8,2.4
E00126350,96.9,0.8,0.8,1.5
E00126351,97.6,0.8,0,1.6
E00126352,98.5,0.7,0,0.7
E00126353,81.1,15.6,2.5,0.8
E00126354,81.6,11.7,1.5,5.3
E00126355,72.8,11.2,1.6,14.4
E00126356,54.3,15.9,4,25.8
E00126357,90.7,8.4,0.9,0
E00126358,72,27.1,0,0.9
E00126359,91.8,3.5,1.2,3.5
E00126360,87.2,7.3,0,5.5
E00126361,93.5,3.9,1.3,1.3
E00126362,97.9,2.1,0,0
E00126363,73,12.3,3.3,11.5
E00126364,86.1,2,0,11.9
E00126365,64.2,11.9,1.8,22
E00126366,71.7,8.3,2.5,17.5
E00126367,70.1,14.2,1.6,14.2
E00126368,72.1,2.9,1.4,23.6
E00126369,67.7,9.2,2.3,20.8
E00126370,62.4,11.2,2.4,24
E00126371,58.5,17,4.4,20
E00126372,66.7,10.6,4.5,18.2
E00126373,54.5,18.8,2.7,24.1
E00126374,100,0,0,0
E00126375,97.9,0.5,0,1.5
E00126376,98.8,0.6,0.6,0
E00126377,98.8,0.6,0,0.6
E00126378,98.5,0.5,0,1
E00126380,90.2,1,0,8.8
E00126381,97.8,0.7,1.4,0
E00126382,99.2,0,0,0.8
E00126383,98.6,0,0,1.4
E00126384,90.4,0,0.7,8.8
E00126385,84.3,2.1,3.6,10
E00126386,99.1,0.9,0,0
E00126387,97,2.3,0.8,0
E00126388,89.6,4.2,0.7,5.6
E00126389,76.8,3.2,4.5,15.5
E00126390,88.2,2.5,0.8,8.4
E00126391,78.8,1.1,2.2,17.9
E00126392,99.1,0.9,0,0
E00126393,98,0,0,2
E00126394,79.7,4.9,2.1,13.3
E00126395,86.8,1.4,2.1,9.7
E00126396,90.9,3.8,0.8,4.5
E00126397,96.8,2.4,0,0.8
E00126398,97.6,2.4,0,0
E00126399,96.2,0.9,2.8,0
E00126400,100,0,0,0
E00126401,100,0,0,0
E00126402,92.1,4.8,0,3.2
E00126403,97.8,0,0,2.2
E00126404,91.4,1.4,2.9,4.3
E00126405,100,0,0,0
E00126406,98.5,0,1.5,0
E00126407,87.6,2.2,0.7,9.5
E00126409,96.4,0.7,0,2.9
E00126411,99.2,0.8,0,0
E00126412,93.8,2.8,1.4,2.1
E00126413,98.4,0.8,0.8,0
E00126414,96.6,3.4,0,0
E00126415,98.5,0.8,0,0.8
E00126416,92.2,1.7,0.9,5.2
E00126417,93.2,1.5,0,5.3
E00126418,87.5,3.6,1.8,7.1
E00126419,91.7,0,0.8,7.5
E00126420,83.6,5.5,0.8,10.2
E00126421,95.2,2.4,0.8,1.6
E00126422,86.2,5.4,2.3,6.2
E00126423,90.1,1.5,3.1,5.3
E00126424,97.7,0.8,0,1.5
E00126425,91.5,3.3,0,5.2
E00126426,94.9,0,0,5.1
E00126427,92.1,3.6,0,4.3
E00126428,97.7,2.3,0,0
E00126429,90.7,1.3,0,8
E00126431,88.5,2.3,1.5,7.7
E00126432,92.8,2.2,1.1,3.9
E00126433,91.7,2.1,2.1,4.2
E00126434,90.2,0.9,0,8.9
E00126435,99.1,0,0,0.9
E00126437,100,0,0,0
E00126438,97.4,0.9,0,1.8
E00126439,96.3,0.7,0.7,2.2
E00126440,98.6,0,1.4,0
E00126441,97,2.2,0,0.7
E00126442,98.4,0,0.8,0.8
E00126443,96.2,3.3,0,0.5
E00126444,100,0,0,0
E00126445,91.4,0.8,1.6,6.3
E00126446,98,1,1,0
E00126447,94.9,2.5,0.8,1.7
E00126448,97.6,0,0.8,1.6
E00126449,99.1,0.9,0,0
E00126450,99.3,0.7,0,0
E00126451,98.2,1.8,0,0
E00126452,99.2,0,0,0.8
E00126453,95.9,1.7,0,2.5
E00126454,100,0,0,0
E00126455,99.1,0,0,0.9
E00126456,99.2,0,0,0.8
E00127050,97.3,1.8,0,0.9
