areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00001605,92.3,3.9,2.9,1
E00001607,90.3,4.1,2.6,2.9
E00001799,91.7,4,1.5,2.8
E00001804,89.9,2.9,1.9,5.3
E00001805,91.7,4.2,2.4,1.7
E00001813,92.8,2,0.9,4.3
E00001814,87.9,6.8,2.1,3.2
E00001821,97.1,1,1,1
E00001822,89.8,4.5,2.2,3.5
E00001826,93.8,2.7,2.7,0.7
E00001827,93.3,4,0.7,2
E00001828,91.4,2.2,2.5,4
E00001831,91.7,3.8,2.1,2.5
E00001832,90.7,5,1.7,2.7
E00001833,91.1,4.6,2.9,1.4
E00001834,90.8,4.9,2.5,1.8
E00001835,91.5,4.7,2.7,1.2
E00001836,93.1,1.2,2.1,3.7
E00001837,89.8,6,1.2,3
E00001838,91.4,4.7,1.9,1.9
E00001839,90,4.5,3.6,1.8
E00001840,90.3,3.9,4.3,1.6
E00001841,90.4,4.5,1.7,3.4
E00001844,94.3,3.7,0.7,1.3
E00001847,91.1,4.9,1.1,2.9
E00001851,91.6,4.2,0.8,3.4
E00001852,85.6,7.7,1.6,5.1
E00001853,92.5,4.2,1,2.3
E00001854,89.5,3.2,2.8,4.6
E00001855,88.3,3.3,2.9,5.5
E00001856,88.1,3.2,3.5,5.1
E00001857,89.8,5.4,2.9,1.9
E00001858,91.8,3.7,2,2.4
E00001859,90.5,7.6,0.5,1.4
E00001860,93.6,2.5,1.7,2.1
E00001861,85.7,6.9,4.1,3.3
E00001862,86.8,3.9,2.9,6.3
E00001864,91.2,3.2,2.3,3.2
E00001865,86.3,3.1,4.2,6.4
E00001866,93.8,2.2,0.7,3.3
E00001980,93.3,4.6,1.8,0.3
E00002108,91.7,3,1.5,3.8
E00002109,92.9,1.9,1.6,3.6
E00002110,85.8,6.8,2.9,4.5
E00002111,94,2.7,0.6,2.7
E00002112,91.6,2.7,2.7,3.1
E00002114,91.8,3.9,3.4,0.9
E00002115,92,3,1.1,3.9
E00002117,95.4,2.2,1.1,1.3
E00002118,91.6,4.2,1,3.2
E00002120,92.4,2,1.6,4
E00002121,90.1,2.6,4.2,3.1
E00002123,89.5,5.5,1.8,3.2
E00002124,90.3,2.2,4,3.5
E00002125,91.5,4.1,1.4,3.1
E00002126,90.6,2.3,3,4.1
E00002127,92.5,1.9,2.8,2.8
E00002128,92.8,2.2,1.3,3.8
