geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00097971,0.7,26.4,40.3,32.6
E00097972,0,13.5,39.2,47.3
E00097973,5.4,18,46.8,29.7
E00097974,4,25,43.5,27.4
E00097980,5.6,25,52.8,16.7
E00097981,2.7,24.8,44.2,28.3
E00097982,2.6,18.8,46.2,32.5
E00097983,0.8,17.4,57,24.8
E00127314,9.3,17.1,48.8,24.8
E00127315,3.5,24.8,54,17.7
E00127316,25.8,47,15.9,11.3
E00127317,10.2,43.5,26.5,19.7
E00127318,2.3,75.8,18.2,3.8
E00127319,0.8,25.2,18.1,55.9
E00127320,71.2,12.8,6.4,9.6
E00127321,14.2,57.5,17.3,11
E00127322,27.6,29.9,22,20.5
E00127323,11.6,22.5,38.8,27.1
E00127324,17.3,54.7,19.3,8.7
E00127325,13.6,31.2,24.8,30.4
E00127326,4.1,41.2,34,20.6
E00127327,4.5,26.9,46.3,22.4
E00127328,11,33.1,36,19.9
E00127382,4.7,18,49.3,28
E00127383,2.1,63.8,32.6,1.4
E00127385,0,4.7,38.6,56.7
E00127386,0.8,3.8,55.3,40.2
E00127387,2.2,0.7,19.6,77.5
E00127389,14.7,48.5,19.1,17.6
E00127390,12.8,73.5,12,1.7
E00127393,29.5,40.2,20.5,9.8
E00127394,14.1,40,34.1,11.9
E00127397,13.2,37.2,47.1,2.5
E00127398,0.8,20.2,71.8,7.3
E00127412,0,29.8,33.8,36.4
E00127424,9.3,33.3,44.7,12.7
E00127425,1.7,18.5,38.7,41.2
E00127434,0,52.4,43.7,4
E00127435,7.5,15,69.9,7.5
E00127436,45.9,22.2,20,11.9
E00127437,24.8,32.7,13.3,29.2
E00127438,28.3,51.5,11.1,9.1
E00127439,5.3,12.4,69.9,12.4
E00127440,36.4,22.7,11.4,29.5
E00127441,20.6,54,16.7,8.7
E00127442,37.1,27.6,19,16.2
E00127443,0.8,28.8,61.6,8.8
E00127444,3.1,42.7,48.9,5.3
E00127445,8,18.2,54,19.7
E00127446,2.5,8.5,83.1,5.9
E00127447,37.5,31.6,29.4,1.5
E00127448,7.5,10,70.8,11.7
E00127449,1.6,11.7,81.3,5.5
E00127450,11.5,15.6,60.7,12.3
E00127451,35.4,45.1,4.4,15
E00127452,1.6,23.8,67.5,7.1
E00127453,0,20.2,69.3,10.5
E00127454,21.4,31.6,22.4,24.5
E00127455,23.1,30.8,22.2,23.9
E00127456,17.2,14.7,57.8,10.3
E00127457,28,5.4,37.6,29
E00127458,1,53.3,35.2,10.5
E00127459,18.1,17.3,23.6,40.9
E00127460,6.5,20.3,55.1,18.1
E00127461,36.4,47.3,7,9.3
E00127462,12.4,24.8,37.1,25.7
E00127463,28.8,22,30.5,18.6
