geography_code,heating_type_3a-001,heating_type_3a-002
E00097971,3.5,96.5
E00097972,2,98
E00097973,4.5,95.5
E00097974,1.6,98.4
E00097980,0,100
E00097981,0.9,99.1
E00097982,1.7,98.3
E00097983,0,100
E00127314,1.6,98.4
E00127315,0,100
E00127316,2,98
E00127317,0.7,99.3
E00127318,0.8,99.2
E00127319,0,100
E00127320,4,96
E00127321,0,100
E00127322,3.2,96.8
E00127323,2.3,97.7
E00127324,2.7,97.3
E00127325,1.6,98.4
E00127326,1.1,98.9
E00127327,3,97
E00127328,1.5,98.5
E00127382,1.3,98.7
E00127383,0.7,99.3
E00127385,0,100
E00127386,0,100
E00127387,0.7,99.3
E00127389,1.5,98.5
E00127390,0,100
E00127393,0,100
E00127394,1.5,98.5
E00127397,3.4,96.6
E00127398,4.9,95.1
E00127412,2,98
E00127424,6,94
E00127425,1.7,98.3
E00127434,1.6,98.4
E00127435,0,100
E00127436,3,97
E00127437,5.1,94.9
E00127438,6.1,93.9
E00127439,2.7,97.3
E00127440,4.5,95.5
E00127441,5.5,94.5
E00127442,4.8,95.2
E00127443,4,96
E00127444,0,100
E00127445,2.2,97.8
E00127446,0,100
E00127447,0,100
E00127448,2.6,97.4
E00127449,0.8,99.2
E00127450,2.5,97.5
E00127451,0,100
E00127452,3.3,96.7
E00127453,6.1,93.9
E00127454,3.3,96.7
E00127455,3.5,96.5
E00127456,5,95
E00127457,7.6,92.4
E00127458,0,100
E00127459,1.6,98.4
E00127460,0,100
E00127461,0.8,99.2
E00127462,0,100
E00127463,0.8,99.2
E00127464,0,100
E00127465,1.7,98.3
E00127466,0.8,99.2
E00127467,0,100
E00127468,0.8,99.2
E00127469,1.3,98.7
E00127470,0.9,99.1
E00127471,1.7,98.3
E00127472,1.6,98.4
E00127473,1.6,98.4
E00127474,4.2,95.8
E00127475,6.8,93.2
E00127476,0.9,99.1
E00127477,0,100
E00127478,0.8,99.2
E00127479,6,94
E00127480,1,99
E00127481,1.8,98.2
E00127482,3.1,96.9
E00127483,3,97
E00127484,1.8,98.2
E00127485,1.9,98.1
E00127486,4.1,95.9
E00127487,2.5,97.5
E00127488,0,100
E00127489,5.8,94.2
E00127490,3.7,96.3
E00127491,11.1,88.9
E00127492,8.6,91.4
E00127493,0.9,99.1
E00127494,1.5,98.5
E00127495,0.8,99.2
E00127496,1.7,98.3
E00127497,2.4,97.6
E00127499,3.1,96.9
E00127500,4.2,95.8
E00127501,2.3,97.7
E00127502,0,100
E00127503,0.9,99.1
E00127504,0,100
E00127505,0.8,99.2
E00127506,1.5,98.5
E00127507,3,97
E00127508,1.6,98.4
E00127509,0,100
E00127512,0,100
E00127513,0.8,99.2
E00127514,1.5,98.5
E00127560,1.2,98.8
E00127561,4.1,95.9
E00127564,2.6,97.4
E00127565,0,100
E00127566,12.3,87.7
E00127567,0.8,99.2
E00127568,0.9,99.1
E00127569,3.9,96.1
E00127570,1.9,98.1
E00127571,4.3,95.7
E00127572,1.7,98.3
E00127573,5.5,94.5
E00127574,2.3,97.7
E00127575,2.9,97.1
E00127576,0.8,99.2
E00127577,0.9,99.1
E00127578,3.1,96.9
E00127579,2.4,97.6
E00127580,0.8,99.2
E00127581,0.9,99.1
E00127582,2.5,97.5
E00127583,1.9,98.1
E00127584,0.9,99.1
E00127585,1.9,98.1
E00127586,1.5,98.5
E00127587,0.9,99.1
E00127588,3.5,96.5
E00127589,0.9,99.1
E00127590,3,97
E00127591,2.1,97.9
E00127592,2.7,97.3
E00127593,3.5,96.5
E00127594,1,99
E00127595,1.6,98.4
E00127596,2.7,97.3
E00127666,0,100
E00127667,1.6,98.4
E00127668,2.2,97.8
E00127669,2.3,97.7
E00127671,0,100
E00127673,2.9,97.1
E00127674,2.4,97.6
E00127675,1.5,98.5
E00127677,0,100
E00127678,0.7,99.3
E00127679,1.8,98.2
E00127681,1.8,98.2
E00127686,2.1,97.9
E00127694,0,100
E00127697,0,100
E00127702,2.5,97.5
E00127703,1.6,98.4
E00127704,0.8,99.2
E00127705,0,100
E00127706,3.8,96.2
E00127707,1.5,98.5
E00127708,0.9,99.1
E00127709,2.6,97.4
E00127710,0.9,99.1
E00127711,0,100
E00127712,0,100
E00127713,0,100
E00127714,1.6,98.4
E00127715,0.7,99.3
E00127716,1.6,98.4
E00127717,1.7,98.3
E00127718,1.6,98.4
E00127719,0,100
E00127720,0,100
E00127721,0,100
E00127722,0,100
E00127723,0.5,99.5
E00127724,0.8,99.2
E00127725,1,99
E00127726,1.4,98.6
E00127745,0.8,99.2
E00127746,0.9,99.1
E00127747,0,100
E00127748,5.3,94.7
E00127749,0.8,99.2
E00127750,0,100
E00127751,2.5,97.5
E00127752,0,100
E00127753,0,100
E00127754,1.6,98.4
E00127755,0,100
E00127756,0.8,99.2
E00127757,0,100
E00127758,0,100
E00127760,0.9,99.1
E00127761,0,100
E00127762,0,100
E00127763,1.5,98.5
E00127764,1.6,98.4
E00127765,0.8,99.2
E00127766,4.8,95.2
E00127767,0.7,99.3
E00127768,3.7,96.3
E00170164,1.6,98.4
E00170166,2.8,97.2
E00170167,0.9,99.1
E00170172,0.7,99.3
E00185574,0.8,99.2
E00185592,0,100
E00185593,0,100
E00185598,4.3,95.7
E00185610,0.7,99.3
E00185613,0.5,99.5
E00185619,2.1,97.9
E00185624,0.9,99.1
E00185637,1.5,98.5
E00185639,1.2,98.8
E00185649,1.1,98.9
E00185657,0,100
