areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
W00007124,2.6,41.4,50.9,5.2
W00007125,2.4,29.6,62.4,5.6
W00007126,0,10.5,66.1,23.4
W00007127,1.6,2.4,94.3,1.6
W00007197,8,41.4,48.8,1.9
W00007198,20.6,29.8,38.9,10.7
W00007199,6.1,14.5,58,21.4
W00007200,16.9,49.2,30.5,3.4
W00007201,26.5,24.8,41.6,7.1
W00007202,8.1,30.9,56.1,4.9
W00007203,1.8,14.4,68.5,15.3
W00007204,20.2,41.9,31.5,6.5
W00007205,2.5,49.2,46.7,1.6
W00007206,2.3,15.2,67.4,15.2
W00007207,4.5,6.3,83,6.3
W00007208,1.6,16.4,73.4,8.6
W00007209,3.7,36.7,56.9,2.8
W00007210,0.9,13.2,79.8,6.1
W00007211,0.8,13,65.6,20.6
W00007212,17.6,45.1,30.4,6.9
W00007355,7.3,32.3,50.8,9.7
W00007356,6.9,40.3,34.6,18.2
W00007357,3.2,15.1,69.8,11.9
W00007358,14.3,14.3,68.3,3.2
W00007359,3.3,20.4,73.5,2.8
W00007360,0,13.9,78.5,7.6
W00007468,8.3,19.5,69.9,2.3
W00007469,8,38.4,49.6,4
W00007470,12.6,43,37,7.4
W00007471,2.5,12.4,81,4.1
W00007472,7.9,24.5,59.7,7.9
W00007473,1.5,24.2,43.2,31.1
W00007474,3.6,0.7,94.2,1.5
W00007475,7.5,19.4,71.6,1.5
W00007517,10.6,13.5,73.1,2.9
W00007518,1.7,5,89.2,4.2
W00007519,17.6,22.3,53.4,6.7
W00007520,1.1,8.6,82.8,7.5
W00007521,1.2,12.4,55,31.4
W00007522,0.8,22,66.7,10.6
W00007523,1.7,2.5,85.1,10.7
W00007524,6.9,9.2,78.6,5.3
W00007525,3.6,15.3,59.1,21.9
W00007526,0.8,19.7,76.4,3.1
W00007527,2.3,25.2,55,17.6
W00007528,4.2,31.1,63.9,0.8
W00007529,0.8,8.1,65.9,25.2
W00007530,0,34.1,57.8,8.1
W00007531,33.6,3.6,47.3,15.5
W00007532,5,28.3,56.7,10
W00007533,6.6,25.4,66.4,1.6
W00007534,1.7,28.2,62.4,7.7
W00007535,0.8,17.5,64.3,17.5
W00007536,9.4,30.5,57.8,2.3
W00007537,19.1,23.6,49.1,8.2
W00007538,3.4,21.2,66.1,9.3
W00007539,0,17.3,72.1,10.6
W00007556,7.7,20.6,58.1,13.5
W00007557,21.6,43.2,30.6,4.5
W00007558,1.8,17,60.7,20.5
W00007559,9,53.5,31.3,6.3
W00007560,15.6,42.2,32.1,10.1
W00007561,13.1,25.4,51.6,9.8
W00007562,12.3,38.5,45.1,4.1
W00007563,0.8,27,69.7,2.5
W00007564,3.8,27.5,51.9,16.8
W00007565,19.1,42,30.5,8.4
W00007566,32.2,35.6,24.6,7.6
W00007567,0.9,22.2,68.4,8.5
W00007568,4.6,19.8,72.5,3.1
W00007569,43.5,35.9,14.1,6.5
W00007570,0,21.8,73.9,4.2
W00007571,0.8,11.6,74.4,13.2
W00007572,8,27.4,58.4,6.2
W00007573,1.9,41.3,46.2,10.6
W00007574,22.9,10.7,60.3,6.1
W00007575,8.2,28.7,50.8,12.3
W00007576,12.4,24.8,59.6,3.1
W00007577,14.1,19.3,64.4,2.2
W00007578,1.6,26.4,68,4
W00007579,0,47.5,47.5,4.9
W00007580,0.9,45.6,48.2,5.3
W00007581,5.2,32.8,54.5,7.5
W00007582,1.6,32.5,60.2,5.7
W00007583,0.8,46.8,47.6,4.8
W00007584,0,8.1,56.1,35.8
W00007585,0.8,6.3,61.4,31.5
W00007586,23.8,38.1,32.5,5.6
W00007587,0.8,14,76,9.1
W00007588,1.4,17.2,71.7,9.7
W00007589,1.5,28,65.9,4.5
W00007606,0.9,33.3,64.1,1.7
W00007607,1.8,17,62.9,18.3
W00007609,0.8,31.9,62.2,5
W00007610,12.8,36.8,48.7,1.7
W00007611,0,31,65.1,4
W00007612,0.8,35.9,60.2,3.1
W00007613,4,31.5,58.5,6
W00007614,1.4,19,68.7,10.9
W00007615,6.1,26.5,58.3,9.1
W00007616,0,41.4,50.5,8.1
W00007618,1.6,19.4,57.3,21.8
W00007619,3.2,25.8,69.4,1.6
W00007620,4.4,66.7,24.6,4.4
W00007621,6.2,20.9,72.1,0.8
W00007622,0.8,8.6,85.9,4.7
W00007623,3.4,28.4,51,17.2
W00007624,57.5,17,15.1,10.4
W00007625,2.2,25.2,69.1,3.6
W00007626,4.3,20.6,63.8,11.3
W00007627,36.8,36.8,17.9,8.5
W00007628,9.8,41.1,41.1,8
W00007629,1.6,15.5,78.3,4.7
W00007630,2.4,35,57.7,4.9
W00007631,3.9,5.5,73.4,17.2
W00007632,19.5,28.9,40.6,10.9
W00007633,2.5,26.9,66.4,4.2
W00007634,7.8,22.2,63.5,6.5
W00007635,17.3,25.5,54.1,3.1
W00007636,0,11.6,55,33.3
W00007637,0,48,51,1
W00007638,0.8,50,45,4.2
W00007640,0,17.7,67.4,14.9
W00007641,0,32.9,58.7,8.4
W00007642,2.6,20.5,60.9,15.9
W00007643,0,47.3,49.1,3.6
W00007644,0.9,25,66.4,7.8
W00007645,2.6,40.4,54.4,2.6
W00007646,1.7,43.2,48.3,6.8
W00007647,9,4.5,84.2,2.3
W00007665,14.6,28,51.6,5.7
W00007666,0.7,17.9,76.9,4.5
W00007668,8.1,27.6,45.4,18.9
W00007672,38.5,22.9,38.5,0
W00007673,6.7,16.3,74.1,3
W00007674,1.7,22.7,52.1,23.5
W00007675,0,30,66.4,3.6
W00007676,2.5,19.5,70.3,7.6
W00007677,2.4,42.7,47.6,7.3
W00007678,5.8,29.9,62.8,1.5
W00007679,0,11.4,75.6,13
W00007680,0,17.3,71.7,11
W00007681,0,8.9,60.5,30.6
W00007682,0.7,36,54.7,8.6
W00007683,1.8,14.7,72.5,11
W00007684,0,3.3,89.3,7.4
W00007685,4.3,31,58.6,6
