geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00025149,27.7,37,0.8,34.5
E00025150,23.4,30.3,2.1,44.1
E00025153,14.2,27.4,47.8,10.6
E00025154,27.1,26.2,38.3,8.4
E00025155,42.6,40.9,4.3,12.2
E00025158,16.3,31.7,39.4,12.5
E00025159,16.5,32.2,40,11.3
E00025160,56.2,36.4,0.8,6.6
E00025161,44.6,45.4,0,10
E00025162,29.4,34.9,15.1,20.6
E00025163,49.1,31.6,0.9,18.4
E00025164,46.2,41.7,4.5,7.6
E00025165,2.4,6.3,64.3,27
E00025166,26.4,36.8,0.7,36.1
E00025167,30.1,44.4,4.5,21.1
E00025168,39.5,38.7,4,17.7
E00025169,20.9,34.3,20.9,23.9
E00025170,40.5,38.8,1.7,19
E00025171,42.7,45.3,0.9,11.1
E00025172,38.7,44.4,0.8,16.1
E00025173,33.3,35,13.7,17.9
E00025460,26,40,0,34
E00025461,15.7,32.8,3,48.5
E00025462,14.3,33.8,39.6,12.3
E00025467,41.5,46.3,0,12.2
E00025469,48.4,42.9,0.8,7.9
E00025471,3.4,0.9,82.8,12.9
E00025472,5.4,7.4,66.2,20.9
E00025476,44,36.2,1.4,18.4
E00025480,28.5,29.9,13.2,28.5
E00025486,62.8,28.9,1.7,6.6
E00025487,61.9,31,0.8,6.3
E00025489,35.5,28.1,5.8,30.6
E00025492,53,40,2.6,4.3
E00025493,43.7,47.9,0,8.4
E00025498,34.3,27,27,11.7
E00025499,21,32.3,31.5,15.3
E00025500,28.1,48.4,0,23.4
E00025501,61.4,16.3,10.9,11.4
E00025502,28.6,33,12.5,25.9
E00025503,46.5,31.8,0.8,20.9
E00025504,42.9,36.5,8.7,11.9
E00025505,40.8,53.6,0,5.6
E00025506,41,44.6,0,14.4
E00025507,37,38.6,0,24.4
E00025508,40.8,35.9,0,23.3
E00025509,40.9,37.9,1.5,19.7
E00025510,36.6,47.2,0,16.3
E00025511,39.7,44.3,0,16
E00025512,26.9,24.4,0.8,47.9
E00025513,30.3,36.9,0.8,32
E00025514,32.5,41.7,2.5,23.3
E00025515,21.4,38.4,0.9,39.3
E00025516,21.2,45.8,0.8,32.2
E00025517,25.6,38.8,1.7,33.9
E00025518,19,19,24.1,37.9
E00025519,29.5,53,0.8,16.7
E00025520,29.5,34.1,15.2,21.2
E00025521,31.6,30.3,13.5,24.5
E00025522,39.5,36.1,12.2,12.2
E00025523,31.4,51.4,0.7,16.4
E00025524,16,12,52.8,19.2
E00025525,43.4,41.5,0,15.1
E00025526,30.7,35.4,29.1,4.7
E00025527,26.7,24.2,37.5,11.7
E00025528,36.1,47.5,0.8,15.6
E00025529,24,24,38.7,13.3
E00025530,41.8,25.3,2.2,30.8
E00025794,7.4,11.8,71.3,9.6
E00025795,11.8,16.9,64.7,6.6
E00025796,10.4,9,68.7,11.8
