geography_code,in_full_time_education-001,in_full_time_education-002
E00159680,22,78
E00159681,18.5,81.5
E00159682,9.3,90.7
E00159683,11,89
E00159684,10.3,89.7
E00159687,16.9,83.1
E00159688,22.3,77.7
E00159689,18.8,81.2
E00159694,23,77
E00159700,13.1,86.9
E00159701,17.3,82.7
E00159702,19.6,80.4
E00159703,17.1,82.9
E00159704,16.9,83.1
E00159714,16.3,83.7
E00159729,15.5,84.5
E00159730,18.7,81.3
E00159739,20.9,79.1
E00159740,21.1,78.9
E00159741,15.4,84.6
E00159742,16.9,83.1
E00159743,17,83
E00159744,12.5,87.5
E00159745,14.3,85.7
E00159760,44.4,55.6
E00159761,9.8,90.2
E00159762,19.4,80.6
E00159763,15,85
E00159764,37.7,62.3
E00159765,13.5,86.5
E00159766,20.2,79.8
E00159767,15.5,84.5
E00159769,28.8,71.2
E00159770,23.3,76.7
E00159771,19.2,80.8
E00159772,20.4,79.6
E00159773,16.8,83.2
E00159774,14.2,85.8
E00159775,23.2,76.8
E00159776,30.4,69.6
E00159777,22.2,77.8
E00159778,60.5,39.5
E00159779,28.5,71.5
E00159780,57.8,42.2
E00159781,26.3,73.7
E00159782,45.3,54.7
E00159783,20.4,79.6
E00159784,40.9,59.1
E00159785,24.1,75.9
E00159786,50.2,49.8
E00159787,17.5,82.5
E00159788,13,87
E00159789,21,79
E00172151,17.8,82.2
E00172167,22.2,77.8
E00172302,28.9,71.1
E00172303,46.8,53.2
E00172304,24,76
E00172305,16.9,83.1
E00172307,40.8,59.2
E00172308,13.6,86.4
E00172309,13.7,86.3
E00172310,25.8,74.2
E00172311,19.6,80.4
E00172314,11.8,88.2
E00172319,56.7,43.3
E00172320,20.4,79.6
E00172321,50,50
E00186865,27.4,72.6
E00186867,19.5,80.5
E00186870,32,68
E00186875,22.1,77.9
E00186877,21.5,78.5
E00186881,29.3,70.7
E00186883,9.7,90.3
E00186895,14.7,85.3
E00186904,17.7,82.3
E00186927,9.6,90.4
E00186935,16.1,83.9
E00186944,23.9,76.1
E00186948,0.5,99.5
E00186962,23.8,76.2
E00186964,30.8,69.2
E00186978,17.8,82.2
E00186980,20.7,79.3
E00186989,14.2,85.8
E00186993,23.4,76.6
E00187014,28.9,71.1
E00187015,23.8,76.2
E00187018,24.7,75.3
