areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00069124,29.2,41.3,7.5,19.2,2.9
E00069135,38.4,39.4,4.3,13.6,4.3
E00069145,34.8,44.7,4.3,13,3.2
E00069146,23.4,40.7,6.7,24.4,4.8
E00069151,27.6,47.3,5,18.8,1.3
E00069453,30.2,39.6,3.5,23.9,2.8
E00069457,26.7,48.4,6.2,17.8,0.9
E00069458,31.2,41.6,2,17.1,8.1
E00069459,36,43.1,5.7,13.7,1.4
E00069461,27.4,46.1,4.6,18.7,3.3
E00069464,30.2,41,3.6,21.6,3.6
E00069466,24.7,46.9,5.9,20.5,2.1
E00069478,38.6,41.6,1.5,12.9,5.4
E00069479,29.4,42.2,5.7,17.5,5.2
E00069480,33.7,38.3,5,19.2,3.8
E00069547,11.5,32.6,4.5,47.9,3.5
E00069548,8,34.4,4.2,52.6,0.7
E00069549,8.8,35.3,7.6,47.6,0.6
E00069550,9.3,42.1,3.7,43.5,1.4
E00069578,11.8,34.8,4.3,47,2.2
E00069579,15.1,34.9,6.8,40.4,2.7
E00069580,20.3,31.9,9.9,33.8,4.1
E00069581,11.2,37.7,6.9,42,2.2
E00069583,12.8,41.6,6,38.4,1.2
E00069585,6.6,29.9,6.3,57.3,0
E00069600,12.6,38.6,5.5,39.4,3.9
E00069601,27.1,39.9,5.9,24.5,2.7
E00069602,16,42.4,2.6,37.9,1.1
E00069603,15.5,41.3,2.8,40.5,0
E00069604,8.8,37.9,3.2,48.4,1.8
E00069607,8.6,41,4.1,46,0.3
E00069609,17.7,45.1,5.1,30.2,1.9
E00069610,18.5,45.7,7.9,24.5,3.4
E00069611,26.1,40.8,3.8,26.9,2.5
E00069612,12.2,37,3.7,43.4,3.7
E00069613,19.6,43.2,2.8,28.5,6
E00069614,25.2,43.3,8.1,21.5,2
E00069615,13.8,49.2,6.6,29.8,0.6
E00069616,19.2,42.8,7.6,27.2,3.3
E00069617,19.7,46,3.6,28.7,2.1
E00069618,13.2,47.8,4.4,32,2.6
E00069619,24.2,45.7,6.4,19.2,4.5
E00069620,20.7,47.1,5.7,23.8,2.6
E00069621,7.3,35.3,3.1,51.5,2.8
E00069622,18.8,30.8,4.8,41.6,4
E00069623,9,33.8,3.5,50.7,3
E00069625,8.9,31.2,2.4,55.8,1.6
E00069626,15.3,43.6,7.3,30.7,3.1
E00069627,14.5,42.4,8.8,30.9,3.4
E00069628,26,47.3,4.4,19.9,2.4
E00069629,6.8,39.8,6.5,44.4,2.5
E00069630,16.2,39.6,9.4,33.5,1.4
E00069631,16.2,45.1,5.5,33.2,0
E00069632,12.2,33.5,9,41.2,4.1
E00069642,23.1,46.7,7.2,20,3.1
E00069643,12.5,34.3,9.6,41.3,2.2
E00069645,10.7,42.3,7,37.6,2.3
E00069646,10.1,36.2,2.8,48.6,2.3
E00069647,21.2,34.6,3.4,36.9,3.9
E00069649,13.4,35.3,6.5,42.3,2.5
E00069650,15.9,41.4,7,35.2,0.4
E00069651,9.4,30.4,4,54.7,1.4
E00069652,11.6,44.5,7,33.7,3.2
E00069653,18.2,46.7,6.7,27.1,1.3
E00130553,11,38.6,4.8,45.2,0.4
E00130743,14.9,34.5,5.9,43.5,1.2
