geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00060999,48.1,7.1,44.8
E00061000,37.4,5,57.5
E00061001,54.8,4.2,41
E00061002,36,9,55
E00061003,52,3.3,44.7
E00061004,42.1,0.9,57
E00061005,55.8,1.7,42.5
E00061007,56.7,2.2,41.1
E00061008,46.3,3.3,50.4
E00061009,42,2.9,55
E00061010,42.2,8.2,49.6
E00061011,54.7,4.1,41.2
E00061012,34.8,2.6,62.6
E00061013,45,5.2,49.8
E00061014,47.4,3.6,49
E00061015,43.1,4.3,52.6
E00061018,46.2,2.4,51.4
E00061019,59.8,2.4,37.8
E00061020,51.6,2.2,46.2
E00061115,42.2,1.5,56.3
E00061116,41.3,0,58.7
E00061117,48.7,1.8,49.6
E00061119,42.2,0.9,56.9
E00061120,37.3,3.1,59.6
E00061126,37,3.7,59.3
E00061127,32.5,6.1,61.4
E00061131,43.2,5.4,51.4
E00061183,54.4,1.6,44
E00061184,44.9,3.4,51.7
E00061185,41.1,2.6,56.3
E00061186,35.1,6.9,57.9
E00061187,32.6,5.8,61.6
E00061188,48.4,3.5,48.1
E00061189,45.1,5.6,49.4
E00061190,41.9,1.3,56.8
E00061191,40.8,0.9,58.4
E00061192,59.5,1.8,38.6
E00061193,44.6,5,50.4
E00061194,50.5,5.9,43.6
E00061195,48.8,4.3,46.9
E00061196,46.6,5.1,48.3
E00061198,30.2,2.3,67.6
E00061199,38.4,3,58.6
E00061200,46.4,0.5,53.1
E00061201,40.9,4.3,54.9
E00061202,45.1,4.9,50
E00061203,54.5,2,43.5
E00061204,45.7,6.2,48.1
E00061205,33.8,6.5,59.7
E00061206,51.5,6.8,41.7
E00061207,53,0,47
E00061210,60,1.6,38.4
E00061211,40.9,3.7,55.5
E00061336,53.2,0,46.8
E00061337,40.9,3.6,55.5
E00061338,52.3,0.6,47.2
E00061339,53.9,3.9,42.2
E00061340,51.1,0.9,48
E00061341,43.9,3.6,52.5
E00061342,52.6,6.1,41.3
E00061343,48.7,2.3,49
E00061344,58.2,2.3,39.5
E00061345,53.2,5.4,41.4
E00061346,52.2,2,45.8
E00061348,47.8,0.7,51.5
E00061349,37.7,1.7,60.7
E00061350,46,3.7,50.3
E00061351,54.5,4.2,41.3
E00061353,39,6.9,54.1
E00061354,41.2,4.8,53.9
E00061355,55.1,1.8,43.2
E00061356,28.6,6.5,65
E00061430,48.4,1.4,50.2
E00061432,49.8,2.2,48
E00061433,43.5,0.3,56.2
E00061434,39.5,0.9,59.6
E00061436,32,1,67
E00061437,62.3,2.7,35
E00061439,65.1,0.4,34.4
E00061440,46.3,2.9,50.8
E00061441,49.1,4.9,45.9
E00061442,51.5,3.5,45
E00061443,59.8,4.6,35.6
E00061444,57.3,5.2,37.5
E00141682,55.9,4.2,39.8
E00141683,44.7,1.9,53.3
E00141684,45.7,1,53.3
E00141685,43.1,0.4,56.5
E00141686,53.6,3.6,42.7
E00141687,52.4,0,47.6
E00141688,59.7,0,40.3
E00141726,60.8,1.7,37.6
E00141727,57.8,0.5,41.7
E00141736,57.5,0,42.5
E00141737,61.3,1.7,37
E00141738,50.7,1.4,47.9
E00141739,52.4,0,47.6
E00141740,52.2,1.9,45.9
E00141828,50,3.5,46.5
E00141829,48.1,0.4,51.5
E00141830,50.3,2.2,47.5
E00141831,38.1,1.8,60.1
E00141832,35,0.4,64.5
E00141833,44.6,1.4,54
E00141834,52.1,2.9,45
E00141837,49.8,0.9,49.3
E00141839,57.5,3,39.5
E00141840,64.2,1,34.8
E00174121,50,3.8,46.2
E00174126,48.6,3.2,48.2
E00174127,60.2,3,36.8
E00174135,43.7,4.4,51.9
E00188173,44,4.7,51.3
E00188175,67.3,1.3,31.4
E00188178,43.9,3.8,52.3
E00188182,34.7,3.7,61.6
E00188208,70.3,2.4,27.3
E00188251,67.5,0.9,31.6
E00188268,67.3,3.7,28.9
E00188270,84.2,1.3,14.5
E00188278,73.9,0.6,25.6
E00188280,69,2.5,28.4
E00188333,41,4.9,54.1
