areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00088611,87,2.8,10.1
E00088612,70,19,11.1
E00088613,79.3,11.3,9.4
E00088615,62.6,6.8,30.6
E00088616,78.9,8.3,12.8
E00088617,82.4,5.9,11.8
E00088618,86.3,5.9,7.8
E00088619,74.8,10.7,14.5
E00088620,76.5,10,13.5
E00088621,72.5,11.2,16.3
E00088622,63.2,11.4,25.5
E00088623,86.7,3.7,9.6
E00088624,86.9,4.9,8.2
E00088625,73.5,8.7,17.8
E00088626,81.1,8.2,10.7
E00088627,86.8,6.5,6.8
E00088663,81.3,9.4,9.4
E00088664,82.7,6.8,10.5
E00088665,89.3,4.9,5.8
E00088666,88.5,6.2,5.2
E00088668,84,6.5,9.6
E00088669,89.1,4.3,6.6
E00088670,86.7,4.8,8.6
E00088673,85.6,5.7,8.7
E00088674,56.4,19.6,24
E00088675,80.2,7.2,12.6
E00088679,66.9,20.1,13
E00088680,68.5,11.3,20.2
E00088682,80.5,4.7,14.8
E00088688,68.6,19.2,12.3
E00088690,64,21.3,14.7
E00088692,67.5,16.3,16.3
E00088693,59.8,22,18.2
E00088694,93,1.6,5.4
E00088695,86.3,0.7,13
E00088696,87.4,4.1,8.5
E00088697,78.9,12.5,8.6
E00088698,78.1,4.7,17.3
E00088699,89.6,1.6,8.8
E00088700,86.5,1.6,12
E00088701,84.4,2.7,13
E00088702,89.1,4.2,6.7
E00088704,75.1,11.5,13.4
E00088705,82.3,3.9,13.8
E00088706,78.7,5.7,15.6
E00088707,75.5,10.7,13.8
E00088708,85.8,6.1,8.1
E00088709,81.6,7,11.4
E00088710,83.8,5.1,11.1
E00088711,82.7,1.1,16.2
E00088712,78.5,8.5,13.1
E00088713,78.8,5.8,15.5
E00088714,81.8,8.8,9.5
E00088715,89,5.8,5.2
E00088717,90.9,2.3,6.8
E00088718,90.3,3.4,6.3
E00088719,72.5,6.1,21.4
E00088720,82.6,7.9,9.5
E00088723,87.7,2.2,10.1
E00088725,83.6,5.1,11.3
E00088726,82.5,5.1,12.4
E00088734,78.3,12.5,9.1
E00088738,79.9,13.8,6.4
E00088777,88.1,0.7,11.2
E00088778,85.9,2.5,11.6
E00088779,84.1,2.2,13.7
E00088780,79.9,4.3,15.8
E00088781,85.9,1.3,12.8
E00088783,64.9,2,33.1
E00088785,86.7,5.3,8
E00088786,91.1,3.1,5.8
E00088787,73.3,6.7,20
E00088788,77.9,8.8,13.2
E00088789,84.6,3.8,11.5
E00088790,89.1,3.1,7.8
E00088791,74.3,10.7,15.1
E00088792,76.5,13,10.4
E00088793,80.9,9.1,9.9
E00088794,78.2,13.6,8.1
E00088795,83.2,9,7.8
E00088796,78,7.7,14.4
E00088797,91.5,2.6,5.9
E00088798,63.9,8.2,27.9
E00088816,70.7,6.2,23.1
E00088817,83.2,5.8,11
E00088818,69.4,12.4,18.2
E00088819,84.1,8.1,7.8
E00088820,70.6,11.9,17.5
E00088821,67.1,12.5,20.3
E00088822,70.9,8.7,20.4
E00088823,72.6,13.3,14.1
E00088824,63.5,23.1,13.5
E00088825,84.8,3.3,11.9
E00088828,64.9,23.5,11.6
E00088829,68.2,5.5,26.3
E00088830,72.1,9.2,18.7
E00088831,75,7.4,17.6
E00088832,66.9,19.9,13.2
E00088833,77.4,4.8,17.9
E00088834,66.6,18.8,14.7
E00088835,72,10.9,17.1
E00088836,74.3,12,13.7
E00088837,73.2,8.6,18.2
E00088854,72.9,13.9,13.2
E00088855,84.9,4.3,10.8
E00088856,77,5.9,17.1
E00088857,77.5,11.4,11.1
E00088858,89.6,2.4,8
E00088859,80.5,3.8,15.6
E00088860,82.1,6,12
E00088861,86.3,0.7,13.1
E00088862,82.8,3.6,13.5
E00088863,85.2,6,8.8
E00088864,56.1,7,36.9
E00088865,73.2,3.3,23.5
E00088866,74.9,5.8,19.3
