areacd,in_full_time_education-001,in_full_time_education-002
E00096526,16.6,83.4
E00096527,16.9,83.1
E00096528,19.8,80.2
E00096529,20.5,79.5
E00096530,10.2,89.8
E00096531,9.7,90.3
E00096532,13.9,86.1
E00096533,15.3,84.7
E00096534,6.1,93.9
E00096536,12.3,87.7
E00096537,13.2,86.8
E00096538,13.1,86.9
E00096539,17.8,82.2
E00096540,14.9,85.1
E00096570,17.3,82.7
E00096571,15.2,84.8
E00096572,11.6,88.4
E00096573,20.5,79.5
E00096574,26.1,73.9
E00096575,14.3,85.7
E00096576,18.6,81.4
E00096577,32.7,67.3
E00096578,23,77
E00096579,15.3,84.7
E00096580,17.6,82.4
E00096581,21.6,78.4
E00096582,21.5,78.5
E00096583,23.1,76.9
E00096584,27.3,72.7
E00096585,12.4,87.6
E00096586,17.2,82.8
E00096587,24.3,75.7
E00096588,20.8,79.2
E00096590,19,81
E00096591,11.6,88.4
E00096592,13.8,86.2
E00096593,19.3,80.7
E00096594,7,93
E00096595,18.3,81.7
E00096596,28.6,71.4
E00096597,31,69
E00096598,23.9,76.1
E00096599,16.1,83.9
E00096600,20.6,79.4
E00096601,19.4,80.6
E00096602,21.3,78.7
E00096614,12.3,87.7
E00096615,13.3,86.7
E00096616,10,90
E00096617,10.2,89.8
E00096618,15.4,84.6
E00096619,15.8,84.2
E00096620,11.8,88.2
E00096621,9.7,90.3
E00096622,20.3,79.7
E00096623,11.9,88.1
E00096624,14.2,85.8
E00096625,11.3,88.7
E00096626,7.9,92.1
E00096627,16.7,83.3
E00096628,5.4,94.6
E00096629,9.5,90.5
E00096630,13.5,86.5
E00096631,11.8,88.2
E00096632,15,85
E00096633,3.3,96.7
E00096634,16.3,83.7
E00096635,17.7,82.3
E00096636,12.5,87.5
E00096637,14.8,85.2
E00096638,14.2,85.8
E00096639,12.3,87.7
E00096640,16.4,83.6
E00096641,8.3,91.7
E00096642,14.5,85.5
E00096643,8.4,91.6
E00096644,17,83
E00096645,11.7,88.3
E00096646,17.8,82.2
E00096647,7.9,92.1
E00096648,16.7,83.3
E00096649,23.6,76.4
E00096650,14.5,85.5
E00096651,16.5,83.5
E00096653,17.7,82.3
E00096654,13.3,86.7
E00096655,17.3,82.7
E00096656,12.9,87.1
E00096657,15.3,84.7
E00096658,14.2,85.8
E00096659,21.5,78.5
E00096660,19.6,80.4
E00096661,16,84
E00096662,16.7,83.3
E00096663,21.5,78.5
E00096664,19.9,80.1
E00096665,9.2,90.8
E00096666,13.6,86.4
E00096667,11.7,88.3
E00096668,13.5,86.5
E00096686,7.6,92.4
E00096687,11.4,88.6
E00096688,14.3,85.7
E00096690,21.2,78.8
E00097387,10.2,89.8
E00097388,16.9,83.1
E00097389,9.5,90.5
E00097390,18.8,81.2
E00097392,22,78
E00097393,7.3,92.7
E00097394,8,92
E00097395,21.3,78.7
E00097396,15.8,84.2
E00097530,14.6,85.4
E00179312,20.9,79.1
E00179313,22.5,77.5
E00179315,11.2,88.8
E00179317,31.1,68.9
E00179326,19.3,80.7
E00179328,27,73
E00179332,10.2,89.8
