areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00027923,5.3,38.9,38.9,16.8
E00028304,11.2,39.2,39.2,10.4
E00028305,9.2,41.2,36.1,13.4
E00028321,22.3,59.7,12.2,5.8
E00028322,13.2,45.6,28.9,12.3
E00028323,7.9,52.6,33.6,5.9
E00028324,14.1,43,34.2,8.7
E00028325,10.3,34.1,39.7,15.9
E00028327,14.9,40.4,37.7,7
E00055355,22.9,52.1,21.4,3.6
E00055362,8,35.5,39.9,16.7
E00055373,10,53.6,30,6.4
E00055375,9.6,29.8,39.4,21.2
E00055376,26.7,39.8,22.4,11.2
E00055377,31.4,49,15,4.6
E00055378,24.7,43.2,24.7,7.5
E00055379,17.5,49.2,28.4,4.9
E00055380,14,57.4,20.6,8.1
E00055381,10.9,44.5,34.3,10.2
E00055382,35.8,43.9,17.9,2.4
E00128685,7.5,30.8,45.8,15.8
E00128686,23.9,41.5,27.5,7
E00128705,25,39.5,27.6,7.9
E00128706,29,40.2,23.1,7.7
E00128707,9.9,49.1,29.8,11.2
E00128708,11.5,50,29.5,9
E00128709,17,40.4,38.3,4.3
E00128710,25.2,44.4,20.7,9.6
E00128711,23.4,36.7,29.7,10.2
E00128712,14.7,40.3,35.7,9.3
E00128713,13.9,38.2,31.9,16
E00128714,17.6,52,22.4,8
E00128715,23,45.2,21.4,10.3
E00128716,10.4,31.2,42.4,16
E00128717,11.2,34.3,40.3,14.2
E00128720,19.1,47.8,27.9,5.1
E00128723,11.8,40.4,38.2,9.6
E00128724,3.1,21.5,56.9,18.5
E00128726,33.3,37.4,23.6,5.7
E00128730,10.5,40.4,39.5,9.6
E00128748,24.3,51.5,18.4,5.9
E00128749,11.3,35.8,35.1,17.9
E00128750,22.2,56.1,13.9,7.8
E00128751,9.3,37.2,33.3,20.2
E00128752,5.2,25.7,44,25.1
E00128753,6.1,35.4,46.9,11.6
E00128754,14.2,42.5,33.6,9.7
E00128755,27.2,48.3,18.4,6.1
E00128756,9.6,39.7,38.2,12.5
E00128757,11.6,45.5,32.8,10.1
E00128758,43.2,37.9,15.2,3.8
E00128759,24.8,43.8,22.3,9.1
E00128760,30.7,47.3,17.3,4.7
E00128761,27.6,48,21.3,3.1
E00128762,35.2,35.8,18.9,10.1
E00128763,2.9,44.1,41.2,11.8
E00128764,20.8,42.3,28.2,8.7
E00128765,7.9,42.9,39.7,9.5
E00128766,24.3,50.7,18.1,6.9
E00128767,21.8,45.1,28.2,4.9
E00128768,18.5,57.1,16,8.4
E00128769,34.7,37.1,21,7.3
E00128770,10,40,39.3,10.7
E00128771,19.1,37.7,35.2,8
E00128772,47.5,29.7,18.6,4.2
E00128773,24.1,44.8,26.2,4.8
E00128774,17,46.8,31.2,5
E00128775,28.7,45.6,16.9,8.8
E00128776,8.8,27.7,49.6,13.9
E00128777,18.5,36.3,34.2,11
E00128778,30.3,50,14.4,5.3
E00128779,14.9,47.5,30.5,7.1
E00128780,5.3,40.4,41.7,12.6
E00128781,15.1,44.1,27,13.8
E00128782,25.2,35.5,32.7,6.5
E00128783,22,44,26.6,7.3
E00128784,2.3,37.9,42.4,17.4
E00128786,25.8,48.4,20,5.8
E00128787,30.2,45,18.8,6
E00128788,4.9,33.1,45.1,16.9
E00128790,36.6,48.8,13.8,0.8
E00128791,25.9,48.3,21.1,4.8
E00128792,15.2,47.7,31.8,5.3
E00128793,30.5,50,11.9,7.6
E00128794,26,45.8,21.4,6.9
E00128795,5.9,43,35.6,15.6
E00128815,19.7,42.8,30.1,7.5
E00128816,10.6,33.3,39,17
E00128817,39.3,40.2,17,3.6
E00128818,20.2,44.5,26.1,9.2
E00128819,43.1,46.2,7.7,3.1
E00128820,47.5,39.4,7.1,6.1
E00128821,37,48.8,11,3.1
E00128822,23.3,48.9,23.3,4.5
E00128823,34.2,37.5,21.7,6.6
E00128824,41,38,15.1,6
E00128826,54,33.3,11.1,1.6
E00128827,7.3,53.3,29.2,10.2
E00128829,16.2,48.7,26.5,8.5
E00128830,8.1,41.1,37,13.8
E00128842,25.1,46.6,21.9,6.4
E00128849,32.8,42,19.1,6.1
E00128850,21,52,22,5
E00128851,15.9,42.4,23.8,17.9
E00128852,31.1,38.5,24.6,5.7
E00128853,35.2,44.8,17.6,2.4
E00128854,31.7,50.8,14.3,3.2
E00128855,25.5,45,24.2,5.4
E00128856,25.5,44.5,23.6,6.4
E00128857,37.7,47.1,10.9,4.3
E00128858,22.6,41.4,30.1,6
E00128859,22.4,50,22.4,5.1
E00128860,15.7,51.5,24.6,8.2
E00128861,18.9,50.5,21.6,9
E00128862,9.4,46.5,31.5,12.6
E00128863,8.3,24.8,40.5,26.4
E00128864,9.1,41.5,36.9,12.5
E00128865,7.4,50,31.5,11.1
E00128866,18.5,44.6,27.2,9.8
E00128867,6.1,33.3,42.9,17.7
E00128868,9.8,44.3,33.6,12.3
E00128869,9.3,37.1,30.7,22.9
E00128870,19.7,41,29.9,9.4
E00128871,11.4,46.5,27.2,14.9
E00128872,30.4,47.8,19.6,2.2
E00128873,22.4,49.1,20.7,7.8
E00128874,35.7,36.5,21.4,6.3
E00128875,40.5,34.1,16.7,8.7
E00128876,21.3,48.5,18.4,11.8
E00128877,13.6,44.3,31.4,10.7
E00128878,19.9,41.9,30.1,8.1
E00128879,40.1,43.4,11.8,4.6
E00128880,29.2,41.6,24.9,4.3
E00172554,4.5,34.4,44.8,16.2
E00172555,3,25.9,59.4,11.7
E00181509,50,30,16.7,3.3
E00181525,20.7,40.5,28.9,9.9
E00181554,3.4,28.1,56.2,12.3
E00181561,5.4,37.9,46,10.7
E00181745,9.3,41.5,40.7,8.5
