geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00078252,8.4,42.7,7.3,39.4,2.2
E00078253,23.9,39.9,3.7,27.1,5.3
E00078254,18.4,48.3,4.2,25.7,3.4
E00078255,15.9,45.6,7.1,31.3,0
E00078289,8.1,56.1,6.3,29.4,0
E00078290,11,55.1,5.3,25.9,2.7
E00078291,18.1,51.8,7.4,20.4,2.3
E00078292,12.9,53.2,6,24,3.9
E00078293,29.3,33,9.9,24.1,3.7
E00078294,25.6,46.1,8.7,19.7,0
E00078295,21,45.8,11.1,19.8,2.3
E00078296,14.8,51.7,7.8,23,2.6
E00078297,27.4,39.9,8.5,17.5,6.7
E00078298,16.5,46,7.6,24.6,5.4
E00078299,18.6,50,4.9,24.6,1.9
E00078300,16.9,45.7,12.2,23.4,1.8
E00078301,23.4,44.4,8.9,20.2,3.2
E00078302,21,40.3,10.3,24.7,3.7
E00078303,28,45.7,6.7,15.9,3.7
E00078304,26.5,39.8,7.5,17.3,8.8
E00078305,18.3,34.5,9.8,31.5,6
E00078306,15.5,46.4,8.2,23.6,6.4
E00078307,17.8,50.8,8,22.3,1.1
E00078308,26.2,43.5,7.5,15.4,7.5
E00078310,17.6,53.9,9.4,14.8,4.3
E00078311,23,43.5,8.3,21.3,3.9
E00078312,17.6,45.6,6.8,25.4,4.6
E00078313,19.7,49.2,8.8,18.1,4.2
E00078314,18.3,55.6,7.8,16.3,1.9
E00078315,28.6,39,10.3,19.7,2.3
E00078316,17.6,48.9,9,20.4,4.1
E00078317,16.4,55.6,6.5,19.4,2.2
E00078318,21.3,52.3,3.6,20.8,2
E00078319,17,43.8,8.9,26.3,4
E00078320,20.8,47.5,9.4,19.6,2.7
E00078321,13,50.5,7.9,24.1,4.6
E00078323,19.7,51.7,4.7,20.9,3
E00078324,17.8,41.5,15.6,20,5.2
E00078325,25.6,47.2,6,19.1,2
E00078326,23.6,43.7,7,21.4,4.4
E00078327,24,44.8,8.1,19.5,3.6
E00078328,25.3,51.2,4,14.5,5.1
E00078329,13.8,51.4,4.5,25.1,5.3
E00078330,36.9,39.3,8.9,11.9,3
E00078331,28,56.1,1.2,10.4,4.3
E00078332,19.1,49.6,5.3,20.9,5
E00078333,19.1,46.6,7.6,23.9,2.8
E00078334,23.4,46.9,8.1,20.1,1.4
E00078335,22,44.5,6.3,22.4,4.7
E00078336,18.1,50.7,6.9,22.5,1.8
E00078337,33.1,45.3,5.8,11.9,4
E00078338,23.8,48.3,5.3,18.1,4.5
E00078339,10.9,35.8,5.7,44.6,3.1
E00078340,17.7,47,3,29.3,3
E00078341,17.1,39.7,5.8,35.8,1.6
E00078342,36,41.2,5.9,16.9,0
E00078343,10.1,60.7,6.4,19.5,3.4
E00078344,16.4,48.9,5.2,25.8,3.6
E00078345,15.3,41.8,8.4,29.7,4.8
E00078540,9.5,40.7,4.7,42.5,2.5
E00078543,24.5,37.8,5.6,28.5,3.6
E00078548,17.2,41.6,8.2,32.6,0.4
E00078570,27.4,44.4,1.9,22.6,3.8
E00078571,26.3,48.4,4.4,17.4,3.5
E00078572,36.6,40.1,4.7,15.5,3.2
E00078573,30.9,46.4,4,15.1,3.6
E00078574,32.8,37.9,10.1,14.6,4.5
E00078575,23.2,47.4,3.9,18.6,7
E00078576,25.4,46,8,17.4,3.1
E00078577,28.9,46.6,4.7,16.4,3.4
E00078578,26,49.2,5.1,14.6,5.1
E00078579,33.1,44.1,4,14.7,4
E00078580,17,52.8,5.7,20.4,4.2
E00078581,26.3,47,5.3,17.8,3.6
E00078582,29.1,47.3,3.2,16.8,3.6
E00078583,27.9,52.2,2.4,12,5.6
E00078584,29.1,49.4,2.8,15.5,3.2
E00078585,21,52.7,6.1,17.2,3.1
