geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00078252,52,40.8,0,7.2
E00078253,30.2,36.8,22.6,10.4
E00078254,37,43.7,11.8,7.6
E00078255,33,33,11.7,22.3
E00078289,30.1,53.1,0,16.8
E00078290,21.3,45.8,5.2,27.7
E00078291,54.7,38.7,0.7,5.8
E00078292,30.1,41.9,0,27.9
E00078293,64.9,21.6,1.8,11.7
E00078294,44.5,27.7,19,8.8
E00078295,56.4,32.3,1.5,9.8
E00078296,53.4,34.5,1.7,10.3
E00078297,59.2,29.6,4,7.2
E00078298,30.4,43.2,1.6,24.8
E00078299,48.8,42.4,1.6,7.2
E00078300,54.4,34.7,2.7,8.2
E00078301,55.4,28.5,3.8,12.3
E00078302,63.7,26.7,3.7,5.9
E00078303,22.5,29.4,36.3,11.8
E00078304,59,24.8,1.7,14.5
E00078305,52.9,37,1.7,8.4
E00078306,55.7,23,0.8,20.5
E00078307,64.9,30.5,0.8,3.8
E00078308,68.3,26.7,0.8,4.2
E00078310,68.8,28.1,0,3.1
E00078311,53.2,36.5,1.6,8.7
E00078312,44.8,44.1,0.7,10.3
E00078313,54.9,30.3,2.5,12.3
E00078314,53.2,38.1,1.6,7.1
E00078315,60.3,27.3,0,12.4
E00078316,31.1,18.9,27,23
E00078317,37.8,46.2,0.8,15.1
E00078318,15.3,16.8,58,9.9
E00078319,56,33.9,2.8,7.3
E00078320,47.9,44.5,1.7,5.9
E00078321,29.5,41,17.2,12.3
E00078323,22.3,41.1,27.7,8.9
E00078324,44.8,34.5,1.1,19.5
E00078325,8.9,12.2,65,13.8
E00078326,17.8,29,38.3,15
E00078327,52.9,36.5,0,10.6
E00078328,15,30.7,44.9,9.4
E00078329,53.1,33.6,0.9,12.4
E00078330,8,16.8,69.9,5.3
E00078331,7.6,8.6,77.1,6.7
E00078332,29.3,40.6,17.3,12.8
E00078333,46.2,46.2,0,7.7
E00078334,38.6,41.6,10.9,8.9
E00078335,56.5,32.3,0.8,10.5
E00078336,61.3,29.8,0,8.9
E00078337,20,17,54.1,8.9
E00078338,28,36.4,22,13.6
E00078339,65.5,28.7,2.3,3.4
E00078340,59,41,0,0
E00078341,43.6,32.1,18.6,5.7
E00078342,4.4,1.8,82.3,11.5
E00078343,36.2,46.5,0.8,16.5
E00078344,51.3,34.8,5.1,8.9
E00078345,44,38.8,0.7,16.4
E00078540,52.3,43.8,0,3.9
E00078543,40.2,30.4,1,28.4
E00078548,53.6,33.9,1.8,10.7
E00078570,25.9,18.9,44.8,10.5
E00078571,17.5,33.8,35.1,13.6
E00078572,9.1,23.6,49.1,18.2
E00078573,21.5,28.5,38.5,11.5
E00078574,9.4,12.5,71.9,6.3
E00078575,17.7,26.2,36.9,19.2
E00078576,23.9,22.6,45.8,7.7
E00078577,14.4,25.8,46.2,13.6
E00078578,16.2,33.1,40.1,10.6
E00078579,24.8,22,44,9.2
E00078580,3.6,22.9,60.8,12.7
E00078581,23.3,30.2,34.1,12.4
E00078582,18.9,19.8,51.4,9.9
E00078583,11.6,13.8,68.8,5.8
E00078584,15.1,33.3,37.3,14.3
E00078585,15.1,28.6,46,10.3
E00078586,9.6,13,67.8,9.6
E00078587,16.6,25.4,35.5,22.5
E00078588,26.7,33.3,25,15
E00078589,21.5,33.1,35.4,10
E00078590,21.9,29.7,36.1,12.3
E00078591,15,28.8,47.5,8.8
E00078592,20.6,11.9,61.1,6.3
E00078593,25,31.5,27.8,15.7
E00078594,18.7,33.3,31.6,16.4
E00078595,23.6,24.4,40.9,11
E00078596,41.4,34.5,18.1,6
E00078597,17.9,24.5,49.1,8.5
E00078598,20,15.6,51.1,13.3
E00078599,5.9,10.9,76.2,6.9
E00078600,25.9,32.6,27.4,14.1
E00078622,42.6,37.6,3,16.8
E00078623,38.4,43.6,7.6,10.5
E00078624,46.9,37.5,1.6,14.1
E00078625,27.3,54.5,8.7,9.5
E00078626,31.9,31,29.3,7.8
E00078627,42.7,36.9,3.2,17.2
E00078628,54,23,5.7,17.2
E00078629,57.9,35.9,0,6.2
E00078630,49.7,37.8,4.9,7.7
E00078631,54.1,43.7,2.2,0
E00078632,70.1,23.1,0,6.8
E00078633,50.8,43,0.8,5.5
E00078634,32.3,51.6,0,16.1
E00078635,38.8,38.1,0,23.1
E00078636,24.3,8.4,63.6,3.7
E00078637,53.6,40,0.8,5.6
E00078638,22.9,37.4,17.8,22
E00078639,35.6,37,0.7,26.7
E00078640,35.3,43.1,1.8,19.8
E00078641,28.9,48.1,3,20
E00078642,22,11.4,61.8,4.9
E00078643,48.4,36.9,7.4,7.4
E00078644,56.3,32.5,5.6,5.6
E00078645,35.3,41.8,11.4,11.4
E00078646,47.4,43.9,0,8.8
E00078647,42.9,44.8,0,12.3
E00078648,54.6,41.5,0,3.8
E00078649,36.1,36.1,2.7,25.2
E00078650,54.4,38.4,1.6,5.6
E00078651,54.2,30.6,6.3,9
E00078652,62.5,20.8,2.8,13.9
E00078654,54.4,37.6,1.6,6.4
E00078655,56.6,34.5,1.8,7.1
E00078656,37.5,43.3,1.7,17.5
E00078658,59.8,30.8,0,9.3
E00078660,42.6,44.3,2.6,10.4
E00078661,29.7,33.3,22.5,14.4
E00078662,41,43.3,0.7,14.9
E00078687,49.2,43.6,0.6,6.7
E00078751,11,22.8,57.5,8.7
E00078753,13,13.7,67.2,6.1
E00078768,16.5,14.3,63.9,5.3
E00078769,14.3,20.6,54.8,10.3
E00078771,12.6,18.9,59.8,8.7
E00078805,55,29.3,6.4,9.3
E00078807,54.3,30.2,3.4,12.1
E00078808,66.4,25,1.7,6.9
E00078809,35.6,51.9,0,12.6
E00078810,13.2,10.5,72.8,3.5
E00078811,27.5,25.7,44,2.8
E00078812,55.6,36.8,3.4,4.3
E00082277,30.3,30.3,1.5,37.9
E00082315,50.5,31.7,2,15.8
E00082316,29.5,25,36.4,9.1
E00082317,31.6,27.2,10.3,30.9
E00082318,47.5,42.4,0.8,9.3
E00082319,37.4,27.8,4.3,30.4
E00082320,20.5,21.3,16.4,41.8
E00082321,29,28.3,18.8,23.9
E00082322,54.8,29,6.5,9.7
E00082323,40,29.6,5.2,25.2
E00082324,34.9,26.2,24.6,14.3
E00082325,18.4,17.7,61.2,2.7
E00082326,32.6,17.7,39,10.6
E00082327,42.9,27.1,18.8,11.2
E00082328,43,19.3,4.4,33.3
E00082329,47.5,16.5,3.8,32.3
E00082330,39.2,34.5,4.1,22.3
E00082331,18.4,22.4,12,47.2
E00082332,29.6,21.3,12.4,36.7
E00082333,35.8,19.4,1.5,43.3
E00082334,47.3,17.1,20.2,15.5
E00082341,53.4,17.7,1.6,27.3
E00082342,55.6,15.3,10.5,18.5
E00082348,38.7,23.6,29.2,8.5
E00082349,22.9,25.7,0,51.4
E00082351,53.5,31.5,0,15
E00082352,38.1,21,27.6,13.3
E00082353,46.2,31.8,0.8,21.2
E00082354,29.7,32.8,26.6,10.9
E00082355,36.2,30.4,9.4,23.9
E00082356,34.7,27.3,23.1,14.9
E00082357,24.6,24.6,40.2,10.7
E00082358,39.9,35.4,1.3,23.4
E00082359,30.1,24.7,2.7,42.5
E00082360,46.4,26.1,12.3,15.2
E00082361,23.5,30.3,23.5,22.7
E00082362,41.8,30.6,14.2,13.4
E00082363,34.1,23,30.4,12.6
E00082364,48.1,28.6,13.5,9.8
E00082365,21.9,16.3,33.8,28.1
E00082366,21.7,30.9,32.9,14.5
E00082367,31.8,25.7,32.4,10.1
E00082368,31.2,16.2,6.5,46.1
E00146239,34.3,24.5,4.9,36.3
E00146240,36.2,29.5,22.8,11.4
E00146241,32.6,37.2,2.3,27.9
E00146243,42,27,8,23
E00146244,36.4,37.2,9.3,17.1
E00146245,40.6,36,6.3,17.1
