areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00142669,8.3,45,33.3,13.3
E00142670,6.3,41.4,37.5,14.8
E00142671,4.5,24.7,47.2,23.6
E00142672,6.2,35.4,40,18.5
E00142673,5.1,39.5,42.9,12.4
E00142674,8.9,34.7,43.6,12.9
E00142675,19.3,45.9,28.4,6.4
E00142676,33.3,43.4,14.7,8.5
E00142677,48.7,39.8,9.7,1.8
E00142678,35.3,40.2,15.7,8.8
E00142679,7.5,43.3,27.6,21.6
E00142680,23.8,48.4,22.1,5.7
E00142681,17.5,50,26.7,5.8
E00142682,15.9,48.4,27.8,7.9
E00142683,15.7,53.9,20.9,9.6
E00142684,13.6,38.4,36,12
E00142685,14.2,40.3,31.3,14.2
E00142686,12,47.9,26.5,13.7
E00142687,11.8,39.5,37.8,10.9
E00142786,33.3,39.3,24.4,3
E00142787,18.3,41.3,32.5,7.9
E00142788,39.2,43.3,15,2.5
E00142790,18.6,46.5,26.4,8.5
E00142791,14.6,32.5,43.9,9
E00142792,6.5,38.7,40.2,14.6
E00142794,23,40,24,13
E00142796,40.7,40.7,9.9,8.8
E00142797,15.2,39.7,35.8,9.3
E00142798,21.7,42.8,26.8,8.7
E00142800,8.8,41.2,41.9,8.1
E00142803,31,43.7,21.5,3.8
E00142804,33.6,42.6,17.2,6.6
E00142805,16.2,42.4,31.8,9.6
E00142806,22.7,47.7,24.2,5.5
E00142807,23.5,41.9,25.7,8.9
E00142810,16.4,45.1,29.5,9
E00142811,17.9,40.8,28.8,12.5
E00142812,16.5,53.5,23.6,6.3
E00142813,13.3,43,31.3,12.5
E00142814,19.1,47.8,26.5,6.6
E00142815,15.2,46.4,30.4,8
E00142816,19.7,47.5,27,5.7
E00142817,26,47,19.3,7.7
E00142910,0.6,22.8,57.2,19.4
E00142911,1.4,31,45.1,22.5
E00168773,6.2,36.6,43.8,13.4
E00168774,13.5,46.8,32.7,7.1
E00173385,0,25.2,52.3,22.5
E00176787,3.4,32.8,56.9,6.9
E00176812,17.8,39.9,34.4,8
E00176827,0.7,42.4,44.4,12.5
E00176832,4,41.9,46.8,7.3
E00176836,4.7,45.3,44.8,5.2
E00176842,16.1,41.1,34.7,8.1
E00176860,0,17.3,54.6,28.1
E00176885,0.7,22.9,66,10.5
E00176888,0,51.3,45,3.8
