geography_code,heating_type_3a-001,heating_type_3a-002
E00082128,0,100
E00082129,0.5,99.5
E00082131,0.9,99.1
E00082132,0,100
E00082133,0.8,99.2
E00082134,0,100
E00082135,3.5,96.5
E00082136,0.7,99.3
E00082137,0.8,99.2
E00082138,0,100
E00082139,0,100
E00082140,0,100
E00082141,0.6,99.4
E00082151,0,100
E00082158,0,100
E00082163,0.8,99.2
E00082166,1.4,98.6
E00082167,0.7,99.3
E00082168,0,100
E00082169,1.9,98.1
E00082170,2.6,97.4
E00082171,0.5,99.5
E00082172,4,96
E00082173,0.7,99.3
E00082174,0,100
E00082175,3.1,96.9
E00082176,1.6,98.4
E00082177,0,100
E00082178,0,100
E00082179,0.6,99.4
E00082180,0.8,99.2
E00082182,1.1,98.9
E00082183,0,100
E00082184,0,100
E00082185,1.3,98.7
E00082186,0,100
E00082196,0,100
E00082197,2.4,97.6
E00082198,1.4,98.6
E00082200,0.7,99.3
E00082210,2,98
E00082228,2.8,97.2
E00082229,0.8,99.2
E00082230,1.5,98.5
E00082231,0,100
E00082232,2.7,97.3
E00082233,1,99
E00082234,3.3,96.7
E00082235,1.4,98.6
E00082236,0.8,99.2
E00082237,0,100
E00082238,1.3,98.7
E00082239,1.1,98.9
E00082240,0.7,99.3
E00082241,1.4,98.6
E00082242,1,99
E00082243,4.1,95.9
E00082244,1.3,98.7
E00082245,1,99
E00082247,0.7,99.3
E00082248,2,98
E00082249,1.6,98.4
E00082250,0.8,99.2
E00082251,1.7,98.3
E00082252,0.6,99.4
E00082253,0,100
E00082254,0,100
E00082255,1.4,98.6
E00082256,0,100
E00082257,0.6,99.4
E00082258,0,100
E00082259,1.6,98.4
E00082261,0.8,99.2
E00082262,0.7,99.3
E00082263,1.7,98.3
E00082264,1.3,98.7
E00082265,0,100
E00082266,1.1,98.9
E00082267,2.6,97.4
E00082268,1.6,98.4
E00082269,2.3,97.7
E00082270,4,96
E00082271,2.2,97.8
E00082272,0,100
E00082273,1.5,98.5
E00082274,0,100
E00082275,0,100
E00082276,0,100
E00082278,0.7,99.3
E00082279,2.5,97.5
E00082280,1.5,98.5
E00082386,0,100
E00082388,2.7,97.3
E00082389,1.8,98.2
E00082390,3.7,96.3
E00082391,0,100
E00082394,3.6,96.4
E00082395,0,100
E00082396,3,97
E00082397,3.2,96.8
E00082398,2.5,97.5
E00082399,0.6,99.4
E00082400,1.7,98.3
E00082405,1.1,98.9
E00082406,0,100
E00082407,0,100
E00082408,0,100
E00082409,0,100
E00082410,0,100
E00082411,0.5,99.5
E00082412,1.7,98.3
E00082413,0,100
E00082414,0,100
E00082415,0,100
E00082427,0,100
E00082428,1,99
E00082429,0,100
E00082453,0.8,99.2
E00082454,0,100
E00082455,0,100
E00082456,0,100
E00082457,0.8,99.2
E00082458,4.1,95.9
E00082459,0,100
E00082460,1.4,98.6
E00082461,0,100
E00082462,1.9,98.1
E00082463,0,100
E00082464,1,99
E00082465,2.4,97.6
E00082466,1.8,98.2
E00082467,0,100
E00082468,0,100
E00082469,0.8,99.2
E00082470,1.1,98.9
E00082471,1.5,98.5
E00082472,1.9,98.1
E00082473,0.8,99.2
E00082474,1,99
E00082475,1.4,98.6
E00082476,0,100
E00082477,0,100
E00082478,0.9,99.1
E00082480,0.8,99.2
E00082483,0.8,99.2
E00082484,0,100
E00082486,2.6,97.4
E00082487,0.9,99.1
E00082488,0.8,99.2
E00082489,0.8,99.2
E00082490,1.6,98.4
E00082491,0.7,99.3
E00082492,0,100
E00082493,0,100
E00082494,0,100
E00082495,0,100
E00082503,0,100
E00082505,2.4,97.6
