areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00004120,66.9,3.3,29.7
E00004121,56.2,2.6,41.2
E00004122,65.3,2.9,31.8
E00004123,60.2,4.5,35.3
E00004124,64.9,4.6,30.5
E00004125,80.5,0.9,18.6
E00004126,68.3,4,27.7
E00004127,64.9,3.2,31.9
E00004128,69.8,3.1,27.1
E00004129,71,3.2,25.8
E00004130,70.2,5.6,24.2
E00004131,66.3,2.4,31.3
E00004132,75.2,3.5,21.3
E00004133,72.1,4.1,23.8
E00004134,69.6,1.4,29
E00004135,76,2.4,21.6
E00004136,72.9,1.8,25.3
E00004137,73.5,1.5,25
E00004138,60.4,3.8,35.7
E00004140,75.6,2.9,21.5
E00004141,53.8,1.8,44.4
E00004142,65.8,3,31.2
E00004143,61,1.1,37.9
E00004145,72.4,4.6,23
E00004146,73.7,3.5,22.7
E00004147,73.1,3.4,23.4
E00004148,63.6,4.5,31.8
E00004149,65.3,3.8,30.9
E00004150,80.7,1.5,17.8
E00004151,78.2,2.5,19.3
E00004152,65.2,2.5,32.3
E00004153,71.2,4.5,24.3
E00004154,73.1,2.4,24.6
E00004155,74,3.1,23
E00004156,67,3.9,29.1
E00004157,65.6,6.5,28
E00004158,56.3,3.6,40.1
E00004159,47.2,7.7,45.1
E00004160,40.4,6.8,52.8
E00004161,69.4,2.5,28.1
E00004162,85.9,2,12.1
E00004163,58.5,3.7,37.8
E00004164,53.3,6.6,40.1
E00004165,45.8,6,48.2
E00004166,42.1,6,51.8
E00004167,66,2.1,31.9
E00004168,64.4,1.2,34.4
E00004201,68.5,3.6,27.9
E00004202,11.5,3.2,85.4
E00004203,54.9,4.2,40.8
E00004204,63.6,3.2,33.2
E00004205,70.3,1.6,28.2
E00004206,48.4,5.2,46.4
E00004207,44.1,7.3,48.6
E00004208,46.7,8,45.3
E00004209,55.1,4.3,40.6
E00004210,55.2,6.2,38.6
E00004211,64.3,8,27.7
E00004212,62.4,3.4,34.2
E00004213,52,9.2,38.9
E00004215,65.8,1,33.2
E00004216,66.8,1.8,31.3
E00004217,68.5,3.4,28.1
E00004218,54.9,10.2,34.8
E00004219,69.5,8.7,21.8
E00004220,45,5,50
E00004221,68.3,0,31.7
E00004222,66.1,1.7,32.2
E00004223,53.1,4.6,42.3
E00004224,73.7,5.3,21.1
E00004225,51.9,11.5,36.6
E00004226,60.7,3.6,35.7
E00004227,66.4,2.8,30.8
E00004228,64.8,2.1,33.1
E00004229,64,3.3,32.7
E00004230,57.2,5,37.8
E00004231,60.4,1.9,37.7
E00004232,39.9,2.8,57.3
E00004233,58.5,2.5,39
E00004234,68.3,2.8,28.9
E00004235,52.5,10.4,37
E00004236,61.3,7.5,31.3
E00004237,57.7,7.4,34.9
E00004238,72,1.3,26.8
E00004239,48.1,3.8,48.1
E00004240,56.9,7.3,35.8
E00004241,65.8,1.6,32.5
E00004242,72.5,4.6,22.9
E00004243,64.6,2.6,32.8
E00004245,57.3,4.7,38
E00004246,60.3,3,36.7
E00004247,56,6.5,37.5
E00004248,53.4,5.3,41.3
E00004250,66.8,4.6,28.6
E00004251,62.4,4.6,33
E00004253,68.9,5,26
E00004254,50,4.9,45.1
E00004256,48.7,9.7,41.6
E00004259,39.4,10.6,50
E00004261,43.5,9.8,46.7
E00004264,59.6,7,33.4
E00004265,66.1,4.9,29
E00004266,51.9,6.2,41.9
E00004268,56.5,7.8,35.7
E00004269,64.1,2.5,33.3
E00004272,63,2.6,34.4
E00004273,73.7,1.8,24.6
E00004274,77.3,4.2,18.5
E00004276,61,2.1,36.9
E00004320,65,1.9,33
E00004333,66.7,1.9,31.4
E00004335,73.6,3.8,22.6
E00004337,58.3,4.9,36.8
E00004338,70.1,3,26.9
E00004341,77.8,4.2,18
E00004342,59.6,4,36.4
E00004343,72.4,2,25.6
E00004344,71.1,3.9,25
E00004362,51.9,6.9,41.1
E00004363,49.2,7.7,43.1
E00004364,50.7,5,44.3
E00004365,78.1,3.2,18.7
E00004366,42.4,5.3,52.3
E00004367,57,4.5,38.6
E00004368,67.2,4.7,28
E00004369,48.5,4.9,46.6
E00004370,43.7,5.5,50.8
E00004371,43.1,9.8,47.1
E00004372,54.4,6.3,39.2
E00004373,41.1,7.8,51.2
E00004374,49.4,9.5,41.1
E00004375,71.1,1.1,27.8
E00004376,54.4,6,39.6
E00004377,46.1,7.9,46.1
E00004378,64.8,4.5,30.7
E00004379,67.3,2.4,30.3
E00004380,56.8,6.4,36.8
E00004381,67.8,3.3,28.9
E00004382,68.2,1.4,30.3
E00004383,68,5.2,26.7
E00004384,63.9,3.8,32.2
E00004385,70.6,3.7,25.8
E00004386,59.5,2.3,38.2
E00004387,75.9,2.5,21.5
E00004388,61.3,7.1,31.5
E00004389,72.8,3.8,23.5
E00004390,68.6,6.9,24.5
E00004391,67.1,3.4,29.5
E00004392,55.9,4,40.1
E00004393,49.8,6.6,43.7
E00004394,66.2,7,26.8
E00004395,67.6,2.1,30.3
E00004396,46.3,5.3,48.5
E00004397,48.9,8.2,42.9
E00004398,61.6,4.9,33.5
E00004399,47.8,8.5,43.7
E00004400,47.4,5.6,47
E00004401,57,3.6,39.4
E00004402,68.1,5.9,25.9
E00004404,57.6,1.5,41
E00004408,56.3,1.5,42.2
E00004409,49.8,6.9,43.3
E00004411,60,2.9,37.1
E00004412,71,2.4,26.6
E00004414,66.7,4.6,28.7
E00004416,68,1.5,30.5
E00004417,57.8,1.5,40.7
E00004418,68.4,3.2,28.3
E00004420,69.1,2.4,28.5
E00004423,68.6,0,31.4
E00004424,70.6,1.7,27.7
E00004425,64.5,2.8,32.7
E00004426,72.6,0.5,26.9
E00004427,57.8,3.3,38.9
E00004428,73.6,3.7,22.7
E00004429,71.4,0.5,28.1
E00004431,60.4,3.6,35.9
E00004432,68,3.2,28.8
E00004433,72.4,0.9,26.7
E00004435,48.8,3.7,47.5
E00004436,61,2.8,36.2
E00004437,60.9,1.6,37.5
E00004438,62.4,3.3,34.3
E00004439,69.1,0.5,30.3
E00004440,72.3,0,27.7
E00004441,70.7,3.7,25.6
E00004442,40.8,5.6,53.6
E00004444,53.8,3.8,42.4
E00004445,65.8,4.5,29.7
E00004446,52.9,6.1,41.1
E00004448,59.3,6.1,34.6
E00004450,66.3,4.9,28.8
E00004451,57.2,6.1,36.7
E00004452,56.3,4.9,38.8
E00004453,55.6,5.4,39
E00004454,52,6.9,41.1
E00004455,53,8.2,38.8
