areacd,heating_type_3a-001,heating_type_3a-002
E00065452,2.1,97.9
E00065453,0.8,99.2
E00065454,2.5,97.5
E00065455,0.8,99.2
E00065456,3.7,96.3
E00065457,6.3,93.7
E00065458,1.3,98.7
E00065459,0,100
E00065460,0.6,99.4
E00065461,2,98
E00065462,0,100
E00065463,0.9,99.1
E00065464,2.8,97.2
E00065465,1.1,98.9
E00065466,3.1,96.9
E00065467,0.8,99.2
E00065469,3.2,96.8
E00065470,3,97
E00065471,4.8,95.2
E00065472,2.3,97.7
E00065473,1.7,98.3
E00065474,0.9,99.1
E00065475,0.7,99.3
E00065476,0,100
E00065477,3.7,96.3
E00065478,5,95
E00065479,0.7,99.3
E00065480,1.1,98.9
E00065481,1.2,98.8
E00065482,0.6,99.4
E00065483,0,100
E00065484,1.5,98.5
E00065485,0.9,99.1
E00065487,0,100
E00065488,1.3,98.7
E00065489,1,99
E00065490,1.5,98.5
E00065491,0,100
E00065492,5.3,94.7
E00065493,0,100
E00065494,0,100
E00065495,2,98
E00065497,1.4,98.6
E00065498,3.7,96.3
E00065499,0,100
E00065515,0,100
E00065516,0,100
E00065520,2.2,97.8
E00065521,0,100
E00065523,0.6,99.4
E00065524,0,100
E00065525,0,100
E00065526,2,98
E00065527,1.9,98.1
E00065528,0.8,99.2
E00065529,0,100
E00065530,1.8,98.2
E00065531,1.5,98.5
E00065532,1.7,98.3
E00065533,0.5,99.5
E00065534,0,100
E00065535,0.7,99.3
E00065539,0,100
E00065542,0,100
E00065545,2.1,97.9
E00066205,1.4,98.6
E00066210,1.5,98.5
E00066234,2.2,97.8
E00066245,2.6,97.4
E00141580,1.3,98.7
E00141581,1.4,98.6
E00141582,0,100
E00141583,0,100
E00141585,2.2,97.8
E00141627,0,100
E00141628,0.8,99.2
E00141629,2.3,97.7
E00141631,1.4,98.6
E00141632,3.4,96.6
E00175333,0.7,99.3
E00175351,0.7,99.3
E00175352,0,100
E00175353,0,100
E00175355,0,100
E00175356,0,100
E00175357,0,100
E00175358,7.1,92.9
E00175359,0,100
