geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00108432,90.6,0.3,8.3,0.8
E00108433,85.4,0,14,0.6
E00108434,90.7,0,8.4,0.9
E00108435,94.9,0.2,4.5,0.4
E00108436,86.4,0,13.2,0.3
E00108442,90.8,0.4,8.8,0
E00108443,90.1,0,9.4,0.6
E00108444,92.7,0,6.7,0.6
E00108445,86.2,0,12.9,0.9
E00108446,90.5,0,9.5,0
E00108447,83.8,0.4,15.6,0.2
E00108449,89.8,0,10.2,0
E00108450,92.3,0.3,7.4,0
E00108451,94.9,0,5.1,0
E00108452,91,0,9,0
E00108453,92.5,0,7.5,0
E00108454,90.4,0.7,7.9,1
E00108455,96.1,0,3.3,0.7
E00108456,94,0,6,0
E00108457,85.4,0,12.8,1.8
E00108458,91.8,0.5,6.5,1.2
E00108459,88.9,0,9.6,1.5
E00108460,96.8,0,3.2,0
E00108461,81.3,0,18.4,0.3
E00108462,90,0,9.6,0.3
E00108463,92.7,0.2,7,0
E00108464,87.4,0,12.6,0
E00108465,76.9,0,23.1,0
E00108466,93.5,0,6.5,0
E00108467,90.3,0,9.5,0.2
E00108468,86.5,0,13.5,0
E00108469,93.7,0,6.3,0
E00108470,94,1.4,4.6,0
E00108471,96.5,0,3.5,0
E00108472,91.2,0,8.8,0
E00108474,93.5,0.7,5.4,0.4
E00108475,93.7,0,6.3,0
E00108476,94,0.3,5.4,0.3
E00108477,93.4,0,6.6,0
E00108478,91.4,0,7.9,0.7
E00108479,93.7,0.4,5.1,0.8
E00108480,90.5,0,9.5,0
E00108481,93.1,0.3,6.6,0
E00108482,94.1,0,5.9,0
E00108484,88.2,0,11.8,0
E00108485,86.3,0,13.7,0
E00108486,76.2,0,23.5,0.3
E00108488,93.8,0,5.6,0.6
E00108489,91.2,0.3,8.5,0
E00108490,86.1,0,13.9,0
E00108491,92.8,0.3,6.9,0
E00108492,93.3,0.3,6.4,0
E00108493,93.5,0.3,6.1,0
E00108494,94.8,0,5.2,0
E00108495,96.2,0,1.7,2.1
E00108496,95.8,0.6,3.6,0
E00108497,92.6,0,7.4,0
E00108501,95,0.6,4.4,0
E00108502,89.3,0,10.7,0
E00108503,94,0,6,0
E00108504,94.7,0,5.3,0
E00108505,89.7,0,9.9,0.4
E00108506,81.4,0,18.3,0.2
E00108508,94.9,0,4.2,0.9
E00108509,91.9,0,8.1,0
E00108510,91.5,0,8.5,0
E00108511,96.4,0,3.6,0
E00108512,93.4,0.5,6.1,0
E00108513,94.3,0,5.7,0
E00108514,90.2,0.3,8.6,0.9
E00108515,95.6,0,4.4,0
E00108516,91.8,0,7.4,0.8
