areacd,quad
E00000001,4093_2723_13
E00000003,4093_2723_13
E00000005,4093_2723_13
E00000007,4093_2723_13
E00000010,4093_2723_13
E00000013,4093_2723_13
E00000018,4093_2723_13
E00000019,4093_2723_13
E00000020,4093_2723_13
E00000021,4093_2723_13
E00000022,4093_2723_13
E00000023,4093_2723_13
E00000024,4093_2723_13
E00000025,4093_2723_13
E00000028,4093_2723_13
E00000029,4094_2723_13
E00000030,4094_2723_13
E00000031,4094_2723_13
E00000032,4094_2723_13
E00000037,2048_1361_12
E00000038,2048_1361_12
E00000039,2048_1361_12
E00000040,2048_1361_12
E00000041,2048_1361_12
E00000042,2048_1361_12
E00000043,2048_1361_12
E00000045,2048_1361_12
E00000046,2048_1361_12
E00000048,2048_1361_12
E00000049,2048_1361_12
E00000050,2048_1361_12
E00000051,2048_1361_12
E00000052,2048_1361_12
E00000053,2048_1361_12
E00000054,2048_1361_12
E00000055,2049_1361_12
E00000056,2048_1361_12
E00000057,2048_1361_12
E00000059,2049_1361_12
E00000060,2049_1361_12
E00000061,2048_1361_12
E00000063,2048_1361_12
E00000064,2048_1361_12
E00000066,2048_1361_12
E00000067,2048_1361_12
E00000068,2048_1361_12
E00000069,2048_1361_12
E00000070,2049_1361_12
E00000071,2049_1361_12
E00000072,2049_1361_12
E00000073,2049_1361_12
E00000074,2049_1361_12
E00000075,2049_1361_12
E00000076,2049_1361_12
E00000077,2049_1361_12
E00000078,2049_1361_12
E00000079,2049_1361_12
E00000080,2049_1361_12
E00000081,2049_1361_12
E00000082,2049_1361_12
E00000083,2049_1361_12
E00000084,2049_1361_12
E00000085,2049_1361_12
E00000086,2049_1361_12
E00000087,2049_1361_12
E00000088,2049_1361_12
E00000089,2049_1361_12
E00000090,2049_1361_12
E00000091,2049_1361_12
E00000092,2049_1361_12
E00000093,2049_1361_12
E00000094,2049_1361_12
E00000095,2049_1361_12
E00000096,2049_1361_12
E00000097,2049_1361_12
E00000098,2049_1361_12
E00000099,2049_1361_12
E00000100,2049_1361_12
E00000101,2049_1361_12
E00000102,2049_1361_12
E00000103,2049_1361_12
E00000104,2049_1361_12
E00000106,2049_1361_12
E00000107,2049_1361_12
E00000108,2049_1361_12
E00000109,2049_1361_12
E00000110,2049_1361_12
E00000111,2049_1361_12
E00000112,2049_1361_12
E00000113,2049_1361_12
E00000114,2049_1361_12
E00000115,2049_1361_12
E00000116,2049_1361_12
E00000117,2049_1361_12
E00000118,2049_1361_12
E00000119,2049_1361_12
E00000120,2049_1361_12
E00000121,2049_1361_12
E00000122,2049_1361_12
E00000123,2049_1361_12
E00000124,2049_1361_12
E00000125,2049_1361_12
E00000128,2049_1361_12
E00000129,2049_1361_12
E00000130,2049_1361_12
E00000131,2049_1361_12
E00000132,2049_1361_12
E00000133,2049_1361_12
E00000134,2049_1361_12
E00000135,2049_1360_12
E00000136,2049_1360_12
E00000137,2049_1360_12
E00000138,2049_1360_12
E00000139,2049_1360_12
E00000140,2049_1360_12
E00000141,2049_1360_12
E00000142,2049_1360_12
E00000143,2049_1360_12
E00000144,2049_1360_12
E00000145,2049_1360_12
E00000146,2049_1360_12
E00000147,2049_1360_12
E00000148,2049_1360_12
E00000149,2049_1360_12
E00000150,2049_1360_12
E00000151,2049_1360_12
E00000152,2049_1360_12
E00000153,2049_1360_12
E00000154,2049_1360_12
E00000155,2049_1360_12
E00000156,2049_1360_12
E00000157,2049_1360_12
E00000158,2049_1360_12
E00000159,2049_1360_12
E00000160,2049_1360_12
E00000161,2049_1360_12
E00000162,2049_1360_12
E00000163,2049_1360_12
E00000164,2049_1360_12
E00000165,2049_1360_12
E00000166,2049_1360_12
E00000167,2049_1361_12
E00000168,2049_1361_12
E00000169,2049_1361_12
E00000170,2049_1361_12
E00000171,2049_1361_12
E00000172,2049_1361_12
E00000173,2049_1361_12
E00000174,2049_1361_12
E00000175,2049_1361_12
E00000176,2049_1361_12
E00000177,2049_1361_12
E00000178,2049_1361_12
E00000179,2049_1361_12
E00000180,2049_1361_12
E00000181,1025_680_11
E00000182,2049_1361_12
E00000183,2049_1360_12
E00000184,1025_680_11
E00000185,1025_680_11
E00000186,2049_1360_12
E00000187,2049_1361_12
E00000188,2049_1361_12
E00000189,1025_680_11
E00000190,2049_1361_12
E00000191,1025_680_11
E00000192,1025_680_11
E00000193,1025_680_11
E00000194,1025_680_11
E00000195,1025_680_11
E00000196,1025_680_11
E00000197,1025_680_11
E00000198,2049_1361_12
E00000199,2049_1361_12
E00000200,2049_1361_12
E00000201,2049_1361_12
E00000202,2049_1361_12
E00000203,2049_1361_12
E00000204,2049_1361_12
E00000205,2049_1361_12
E00000206,2049_1361_12
E00000207,2049_1361_12
E00000208,2049_1361_12
E00000209,2049_1361_12
E00000210,2049_1361_12
E00000211,2049_1361_12
E00000212,2049_1361_12
E00000213,2049_1361_12
E00000214,2049_1361_12
E00000215,2049_1361_12
E00000216,2049_1361_12
E00000217,2049_1361_12
E00000218,2049_1361_12
E00000219,2049_1361_12
E00000220,2049_1361_12
E00000221,2049_1361_12
E00000222,2049_1361_12
E00000223,2049_1361_12
E00000224,2049_1361_12
E00000225,2049_1361_12
E00000226,2049_1361_12
E00000227,2049_1361_12
E00000228,2049_1361_12
E00000229,2049_1361_12
E00000230,2049_1361_12
E00000231,2049_1361_12
E00000232,2049_1361_12
E00000234,2049_1361_12
E00000236,2048_1361_12
E00000237,2049_1361_12
E00000238,2048_1361_12
E00000240,2048_1361_12
E00000243,2048_1361_12
E00000244,2048_1361_12
E00000245,2048_1361_12
E00000246,2048_1361_12
E00000247,2048_1361_12
E00000249,2048_1361_12
E00000251,2048_1361_12
E00000252,2049_1361_12
E00000253,2048_1361_12
E00000255,2049_1361_12
E00000256,2048_1361_12
E00000257,2048_1361_12
E00000258,2048_1361_12
E00000259,2049_1361_12
E00000260,2048_1361_12
E00000261,2049_1361_12
E00000263,2048_1361_12
E00000265,2049_1361_12
E00000266,2049_1361_12
