geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00069660,27.8,34.6,21.1,15.8,0.8
E00069661,43.7,37,16.3,3,0
E00069672,29.6,39.5,28.4,2.5,0
E00069674,41.2,38.6,13.2,7,0
E00069675,41.7,41.7,9.8,5.3,1.5
E00069677,43.5,37,14.1,5.4,0
E00069679,35.7,35.7,19.3,7.9,1.4
E00069681,44.7,26.3,18.4,7.9,2.6
E00069682,51.5,39.3,8.6,0.6,0
E00069684,30.5,41.5,22,5.9,0
E00069914,53.1,31.9,11.5,3.5,0
E00069963,51.1,33.7,12,3.3,0
E00069964,50.5,35.8,12.8,0.9,0
E00069965,47,30,15,8,0
E00069967,52.3,22.5,20.7,4.5,0
E00069968,53,35.7,10.4,0.9,0
E00069970,32.6,38,19.4,8.5,1.6
E00069971,28.6,39.5,25.2,5.9,0.8
E00069972,40.1,38.1,17,4.8,0
E00069973,29.8,34.6,28.8,5.8,1
E00069974,25.6,38.8,25.6,10.1,0
E00069975,40.8,39.2,14.6,5.4,0
E00069977,25.5,39.3,29,5.5,0.7
E00069978,48.5,33.1,13.8,4.6,0
E00069980,24.7,48.1,19.5,7.8,0
E00069981,46.3,39,8.5,6.1,0
E00069983,33.5,35.4,27.2,3.8,0
E00069984,40.7,44.9,6.8,6.8,0.8
E00069985,42,27.7,24.1,6.3,0
E00069986,46.1,34.4,16.4,3.1,0
E00069987,55.5,33.6,8.2,2.7,0
E00069992,69.6,22.3,7.1,0.9,0
E00069993,54.8,33.5,9.7,1.9,0
E00069994,31.9,37.8,25.2,5,0
E00069995,32.2,38.3,25.2,3.5,0.9
E00069996,35.8,43.9,14.6,5.7,0
E00069997,29.5,30.2,27.1,13.2,0
E00069999,28.8,44.1,19.5,7.6,0
E00070001,31.3,43.8,17.9,6.3,0.9
E00070104,46.3,37.2,14.9,1.7,0
E00070105,45.7,40.9,12.6,0.8,0
E00070106,19.7,41.9,29.1,9.4,0
E00070107,42.9,32.1,22.9,2.1,0
E00070111,50.8,42.4,4.2,2.5,0
E00070112,58.2,34.2,6.2,1.4,0
E00070113,62.2,25.9,7.7,3.5,0.7
E00070114,44.5,37.8,15.1,2.5,0
E00070115,46.6,39.8,11.7,1.9,0
