geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00056968,99.3,0.7,0
E00056969,96,4,0
E00056970,100,0,0
E00056971,59.8,40.2,0
E00056974,76.2,23.8,0
E00056975,98.7,1.3,0
E00056976,97.3,2.7,0
E00056978,78.9,21.1,0
E00057360,99.3,0.7,0
E00057371,65.8,33.3,0.8
E00058234,100,0,0
E00058235,63.5,36.5,0
E00058236,47.5,52.5,0
E00058237,83.3,16.7,0
E00058238,95.5,4.5,0
E00058239,84.1,15.9,0
E00058240,95,5,0
E00058241,100,0,0
E00058242,100,0,0
E00058244,100,0,0
E00058246,90.5,9.5,0
E00058247,99.1,0.9,0
E00058248,100,0,0
E00058249,89.1,10.9,0
E00058251,99.1,0.9,0
E00058252,66.7,33.3,0
E00058266,96.1,3.9,0
E00058267,90,10,0
E00058268,90.7,9.3,0
E00058269,90.1,9.9,0
E00058270,93,7,0
E00058271,38.5,61.5,0
E00058272,100,0,0
E00058273,3.3,96.7,0
E00058274,96.7,3.3,0
E00058275,97.6,2.4,0
E00058276,72.9,27.1,0
E00058277,26.8,73.2,0
E00058278,98.3,1.7,0
E00058279,100,0,0
E00058280,100,0,0
E00058281,77.3,22.7,0
E00058282,100,0,0
E00058283,100,0,0
E00058284,100,0,0
E00058285,9.4,90.6,0
E00058286,48.5,51.5,0
E00058287,86,14,0
E00058288,93.5,6.5,0
E00058289,100,0,0
E00058290,98.2,1.8,0
E00058292,100,0,0
E00058293,100,0,0
E00058294,94.9,5.1,0
E00058295,96.6,3.4,0
E00058296,93.4,6.6,0
E00058297,100,0,0
E00058298,80.6,19.4,0
E00058299,99.2,0,0.8
E00058300,100,0,0
E00058301,78.3,21.7,0
E00058302,93.9,6.1,0
E00058303,100,0,0
E00058734,100,0,0
E00058735,96.4,3.6,0
E00058736,83.7,16.3,0
E00058738,100,0,0
E00058739,100,0,0
E00058740,100,0,0
E00058961,86.6,13.4,0
E00058962,100,0,0
E00058963,98.6,1.4,0
E00058964,99.4,0.6,0
E00058965,99.1,0.9,0
E00058966,93.2,6.8,0
E00058967,97.4,2,0.7
E00058994,100,0,0
E00058995,99.3,0.7,0
E00058996,99.2,0.8,0
E00058997,99.2,0,0.8
E00058998,86.9,13.1,0
E00058999,75.7,24.3,0
E00059000,90.4,9.6,0
E00059001,89.9,10.1,0
E00059002,99.2,0.8,0
E00059003,85.8,14.2,0
E00059004,99.1,0.9,0
E00059005,100,0,0
E00059006,91.7,8.3,0
E00059007,90.3,9.7,0
E00059037,100,0,0
E00059039,100,0,0
E00141070,93.8,6.3,0
E00141186,87.5,2.1,10.4
E00141187,92.5,7.5,0
E00141188,92.9,7.1,0
E00141189,96.4,2.4,1.2
E00141190,93.5,6.5,0
E00141191,91.2,7.5,1.4
E00141192,98.4,1.6,0
E00141193,93.4,5.8,0.8
E00141194,89.7,10.3,0
E00141196,97.5,1.3,1.3
E00141244,99.5,0.5,0
