geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00049317,9.8,28.6,56.3,4.5,0.9
E00049318,15.2,32.5,44.4,7.3,0.7
E00049319,12.4,51.7,34.5,1.4,0
E00049320,52.9,39.4,6.7,1,0
E00049321,14.9,23.1,55.2,6.7,0
E00049322,19.7,29.2,48.2,2.9,0
E00049323,56.8,24.8,16,2.4,0
E00049324,48.6,32.4,12.4,5.7,1
E00049325,37.4,40.7,17.9,4.1,0
E00049326,44,29.3,26,0.7,0
E00049327,46,24.6,27,2.4,0
E00049328,67.6,26.5,4.4,1.5,0
E00049329,24.2,28.3,40,6.7,0.8
E00049330,28.8,36.8,30.4,4,0
E00049331,22.1,35.3,38.2,4.4,0
E00049332,28.3,35.5,31.9,3.6,0.7
E00049333,17,34,47.7,1.3,0
E00049334,9.6,45.6,39.5,5.3,0
E00049335,15.9,21.4,54.8,7.9,0
E00049336,32.8,36.6,26.7,3.8,0
E00049337,24.2,37.5,33.3,2.5,2.5
E00049338,18.1,28.4,44,7.8,1.7
E00049339,9.6,24.3,52.2,14,0
E00049340,25.2,28.1,41,5,0.7
E00049341,28.8,28.8,36.4,5.9,0
E00049342,10.7,44.3,37.9,7.1,0
E00049343,20.8,35.2,35.2,8.8,0
E00049344,15.3,50,33.1,1.7,0
E00049345,37.9,40.5,19,2.6,0
E00049346,15.3,37.1,42.7,4.8,0
E00049347,28.2,33.3,32.5,4.3,1.7
E00049348,11.5,31.5,46.9,7.7,2.3
E00049349,27.7,30,37.7,3.1,1.5
E00049350,16.8,50.3,25.9,7,0
E00049351,28.3,49.3,21.7,0,0.7
E00049352,26.1,37.6,30.9,4.8,0.6
E00049353,13.4,24.6,59.2,1.4,1.4
E00049354,18.3,30.2,44.4,7.1,0
E00049355,11.8,24.8,60.1,2.6,0.7
E00049356,20.3,39.8,27.1,9.8,3
E00049357,19.1,42.7,35.1,3.1,0
E00049358,21,34.8,34.1,8,2.2
E00049359,17.1,37.7,41.8,3.4,0
E00049362,47.3,33.9,18.8,0,0
E00049438,29.8,41.1,28.2,0,0.8
E00049441,15.1,45.3,32.1,7.5,0
E00049442,46.8,33.3,16.7,1.6,1.6
E00049443,25.5,34.4,34.4,5.7,0
E00049445,29,25.2,43.5,2.3,0
E00049450,40.2,33.6,21.3,4.9,0
E00049451,29,33.1,30.6,6.5,0.8
E00049452,31.8,34.4,31.1,2,0.7
E00049453,35.9,38.2,22.1,3.1,0.8
E00049454,23,42.6,27,6.6,0.8
E00049455,32.8,35.2,29.6,2.4,0
E00049456,41.3,33.9,20.7,4.1,0
E00049457,31.3,20.1,43.3,4.5,0.7
E00049458,48.7,29.4,17.6,4.2,0
E00049459,54.1,35.6,9.6,0,0.7
E00049462,23.7,40.2,30.8,4.7,0.6
E00049464,42.2,44.5,12.5,0.8,0
E00049465,58.7,28.3,13,0,0
E00049472,13.3,49.5,33.3,3.8,0
E00049478,53.1,34.7,11.2,1,0
E00049479,19.1,39,41.9,0,0
E00049480,32.8,32,31.3,3.9,0
E00049481,14.5,35.9,45.3,3.4,0.9
E00049483,63.5,26.9,7.7,1.9,0
E00049484,74.8,22.5,2.7,0,0
E00049485,60.7,30.4,8.1,0,0.7
E00049486,63.4,25,10.7,0.9,0
E00049487,17.6,30.7,49,2.6,0
E00049488,28,44.1,22.9,5.1,0
E00049489,35.4,42.5,19.5,2.7,0
E00049490,31.2,40,24.8,4,0
E00049492,43.1,32.1,21.9,2.9,0
E00049493,22,27.3,46,4.7,0
E00049494,51,34.3,12.7,2,0
E00049495,25.8,42.2,28.9,3.1,0
E00049496,26.1,45.7,26.1,2.2,0
E00049497,29.8,41.2,29,0,0
E00049498,31.5,26,41.7,0.8,0
E00049499,3.1,18.9,76.1,1.9,0
E00049500,35.3,47.5,16.5,0.7,0
E00049501,30,45,25,0,0
E00049502,46.6,42.7,9.7,1,0
E00049503,62.7,29.9,6.7,0.7,0
E00049504,35.7,25.7,38.6,0,0
E00049505,67.8,21.1,10,1.1,0
E00049506,50.3,40,9,0,0.6
E00049507,25.7,33.6,37.2,3.5,0
E00049508,57.3,35.9,6,0.9,0
E00049509,19.1,33.9,47,0,0
E00049510,50,37.7,11.6,0.7,0
E00049511,64.4,24,11.5,0,0
E00049513,19.6,36.4,37.8,5.6,0.7
E00049514,50,36.2,13,0.7,0
E00049515,35.2,39.8,21.1,3.9,0
E00049516,47.7,38.7,13.5,0,0
E00049517,4.2,38,54.2,3.5,0
E00049518,17.9,42.4,34.4,4.6,0.7
E00049519,24.8,37.2,32.2,5.8,0
E00049520,30.7,41.3,26.7,1.3,0
E00049521,28.9,40,28.1,3,0
E00049522,54.3,37.1,8.6,0,0
E00049523,34.4,44.5,21.1,0,0
E00049524,26.8,41.8,30,1.4,0
E00049525,33.1,33.1,32.3,1.5,0
E00049527,21.4,50.6,27.9,0,0
E00049528,32.2,39.7,26.7,0.7,0.7
E00049529,21.1,50,25.4,3.5,0
E00049530,18.5,33.3,43.7,4.4,0
E00049531,29.3,26.5,42.2,1.4,0.7
E00049532,41,36.9,22.1,0,0
E00049533,30.4,31.2,36.8,1.6,0
E00049534,21.4,37.8,37.3,3.5,0
E00049535,18.5,37.7,36.4,6.6,0.7
E00049536,47.4,29.3,19.8,3.4,0
E00049537,32.7,32.7,28,4.7,1.9
E00049653,48.9,42.1,8.3,0.8,0
E00049654,42.5,40,15,2.5,0
E00049655,46,40.5,13.5,0,0
E00049656,49.6,30.4,19.2,0.8,0
E00049657,51.1,33.8,14.3,0.8,0
E00049658,53.8,31.6,14.5,0,0
E00049659,51.9,35.7,10.9,1.6,0
E00049660,17.5,35.7,37.8,9.1,0
E00049661,35.2,15.5,47.9,0.7,0.7
E00049662,40.7,48,10.6,0.8,0
E00049663,57.5,26.9,14.9,0,0.7
E00049664,57.3,27.3,14,1.4,0
E00049665,39.8,37.3,21.2,1.7,0
E00049666,53.1,34,12.4,0,0.4
E00049667,18.1,33.3,43.5,5.1,0
E00049668,50.4,33.6,14.5,0.8,0.8
