geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00049317,25.9,50,17.9,6.3
E00049318,28.5,45.7,21.9,4
E00049319,20.8,53.5,18.8,6.9
E00049320,12.4,33.3,37.1,17.1
E00049321,37.3,41.8,15.7,5.2
E00049322,22.6,55.5,19,2.9
E00049323,18.4,42.4,28,11.2
E00049324,13.5,39.4,28.8,18.3
E00049325,11.4,52,29.3,7.3
E00049326,15.6,41.5,28.6,14.3
E00049327,18,49.2,21.9,10.9
E00049328,7.4,29.4,44.1,19.1
E00049329,34.5,40.3,23.5,1.7
E00049330,23.2,38.4,28.8,9.6
E00049331,27.7,41.6,22.6,8
E00049332,24.6,49.3,20.3,5.8
E00049333,45.8,41.2,11.1,2
E00049334,27.8,47.8,22.6,1.7
E00049335,38.6,37.8,20.5,3.1
E00049336,18.5,41.5,30.8,9.2
E00049337,24.4,51.3,19.3,5
E00049338,36.5,38.3,18.3,7
E00049339,35.8,35,21.2,8
E00049340,23.9,54.3,16.7,5.1
E00049341,23.6,40.7,26.8,8.9
E00049342,29.1,42.6,22,6.4
E00049343,23.4,51.6,18.5,6.5
E00049344,22.9,44.1,28.8,4.2
E00049345,9.6,33,40.9,16.5
E00049346,26,50.4,17.9,5.7
E00049347,17.2,44,31.9,6.9
E00049348,39.5,40.3,16.3,3.9
E00049349,26.5,36.4,28,9.1
E00049350,18.2,46.2,28,7.7
E00049351,19.4,56.1,18.7,5.8
E00049352,26.7,46.1,19.4,7.9
E00049353,48.2,40.4,8.5,2.8
E00049354,33.9,42.5,20.5,3.1
E00049355,51.7,38.4,8.6,1.3
E00049356,27.8,40.6,24.1,7.5
E00049357,23.7,42,29.8,4.6
E00049358,33.8,46.3,13.2,6.6
E00049359,28.6,45.6,19.7,6.1
E00049362,11.5,37.2,38.1,13.3
E00049438,17.5,49.2,23.8,9.5
E00049441,24.8,51.4,21,2.9
E00049442,11.7,32.8,36.7,18.8
E00049443,21.5,39.9,31,7.6
E00049445,24.4,35.9,24.4,15.3
E00049450,12.2,35,36.6,16.3
E00049451,23.6,39.8,30.9,5.7
E00049452,18.7,43.3,32,6
E00049453,28.2,32.1,26.7,13
E00049454,16.3,35.8,36.6,11.4
E00049455,31.5,36.3,26.6,5.6
E00049456,20.3,37.4,31.7,10.6
E00049457,34.6,41.4,19.5,4.5
E00049458,11.7,43.3,35,10
E00049459,11.9,25.2,43,20
E00049462,30.4,42.3,21.4,6
E00049464,14.6,46.2,26.9,12.3
E00049465,11.3,35.5,41.8,11.3
E00049472,17.3,41.3,34.6,6.7
E00049478,2,25.5,49,23.5
E00049479,28.3,50,15.2,6.5
E00049480,22.7,46.9,22.7,7.8
E00049481,25,48.3,16.4,10.3
E00049483,2.9,26.9,45.2,25
E00049484,0.9,24.8,49.6,24.8
E00049485,10.4,33.3,34.1,22.2
E00049486,12.4,31,42.5,14.2
E00049487,40.4,39.7,16.6,3.3
E00049488,14.4,47.5,28,10.2
E00049489,5.3,33.3,45.6,15.8
E00049490,30.6,41.9,22.6,4.8
E00049492,13.9,42.3,29.9,13.9
E00049493,47.6,33.3,10.2,8.8
E00049494,1,24.5,42.2,32.4
E00049495,15.4,56.2,20,8.5
E00049496,23.2,50,19.6,7.2
E00049497,31.1,37.9,22,9.1
E00049498,29.9,24.4,27.6,18.1
E00049499,61,28.3,6.9,3.8
E00049500,15.8,39.6,30.9,13.7
E00049501,21.3,50.8,16.4,11.5
E00049502,3,42.6,42.6,11.9
E00049503,10.4,37.3,35.8,16.4
E00049504,23.4,43.3,23.4,9.9
E00049505,0,21.1,54.4,24.4
E00049506,14.2,36.8,40,9
E00049507,21.4,41.1,33,4.5
E00049508,4.3,29.9,46.2,19.7
E00049509,32.2,44.9,17.8,5.1
E00049510,15.9,35.5,37,11.6
E00049511,6.7,26,49,18.3
E00049513,38.2,46.5,13.2,2.1
E00049514,12.9,42.4,28.1,16.5
E00049515,15.2,38.4,32,14.4
E00049516,8.8,33.6,42.5,15
E00049517,48.6,35.9,12.7,2.8
E00049518,18,49.3,24,8.7
E00049519,24.6,41.5,22.9,11
E00049520,26,44.7,24.7,4.7
E00049521,25.7,37.5,28.7,8.1
E00049522,12.1,40.4,38.3,9.2
E00049523,16.3,41.1,35.7,7
E00049524,25.8,38.5,28.6,7
E00049525,21.5,35.4,30,13.1
E00049527,14.7,46.2,35.3,3.8
E00049528,11.7,40,40.7,7.6
E00049529,38.3,38.3,20.9,2.6
E00049530,45.9,32.3,18.8,3
E00049531,33.3,38.9,22.2,5.6
E00049532,12.3,41,35.2,11.5
E00049533,15.3,46,29.8,8.9
E00049534,22,38.5,33.5,6
E00049535,20.4,40.8,32.2,6.6
E00049536,24.1,43.1,26.7,6
E00049537,21.1,27.5,37.6,13.8
E00049653,14.3,41.4,27.8,16.5
E00049654,14.3,35.3,38.7,11.8
E00049655,12.7,36.5,41.3,9.5
E00049656,9.6,39.2,39.2,12
E00049657,7.5,35.3,43.6,13.5
E00049658,6.8,38.5,36.8,17.9
E00049659,9.5,34.1,38.1,18.3
E00049660,21,44.8,29.4,4.9
E00049661,12.7,50,28.9,8.5
E00049662,21,54.8,17.7,6.5
E00049663,18.5,40,34.1,7.4
E00049664,9.6,36.3,34.9,19.2
E00049665,21,39.5,27.7,11.8
E00049666,4.1,32.8,53.9,9.1
E00049667,33.3,34.8,27.5,4.3
E00049668,11.5,41.5,36.2,10.8
E00049669,11.5,53.3,27,8.2
E00049670,9.8,39.4,36.4,14.4
E00049671,2.3,17.1,51.2,29.5
E00049672,12.8,39.3,33.3,14.5
E00049673,9.2,31.9,36.1,22.7
E00049674,6.1,32.6,46.2,15.2
E00049675,15.2,40.2,39.3,5.4
E00049676,13,41.7,30.4,14.8
E00049677,8.9,38.7,36.3,16.1
E00049678,22.2,33.3,34.2,10.3
E00049679,7.9,36.8,43,12.3
E00049680,17.9,44.6,28.6,8.9
E00049681,11,51.4,28.6,9
E00049682,9.2,37,40.3,13.4
E00049683,11,44.1,29,15.9
E00049684,11.5,38.9,31.9,17.7
E00049685,9.6,39.5,36.8,14
E00049686,10,43.1,36.9,10
E00049687,14.9,41.8,34.3,9
E00049688,22.3,37.7,28.5,11.5
E00049689,11,39,40.2,9.8
E00049690,9.1,34.8,43.2,12.9
E00049691,18.5,34.6,34.6,12.3
E00049692,11.8,39.7,35.3,13.2
E00049693,5.5,35.9,46.1,12.5
E00049694,6.9,34.4,44.3,14.5
E00049695,0,17.5,55.2,27.3
E00049696,11.7,31.7,43.3,13.3
E00049697,20.5,42.7,24.8,12
E00049698,6.5,28.1,42.4,23
E00049699,13.5,40.5,31.5,14.4
E00049700,6,27.8,48.1,18
E00049701,33.1,38,24,5
E00049702,11.4,23.5,48.5,16.7
E00049703,24.6,36.1,30.3,9
E00049704,8.1,34.1,35,22.8
E00049705,19,38.8,28.9,13.2
E00049706,16.2,35.2,33.8,14.8
E00049707,13.2,33.3,41.1,12.4
E00049708,18,48,26,8
E00049709,9.2,36.1,39.5,15.1
E00049710,19,36.4,33.1,11.6
E00049711,10.8,31.5,40.8,16.9
E00049712,3.5,38.5,43.4,14.7
E00049713,7.5,34,39.6,18.9
E00049714,4.9,27,52.5,15.6
E00049715,15.1,45.4,26.9,12.6
E00049716,9.7,27.4,49.2,13.7
E00049717,9.4,41.7,33.1,15.7
E00049718,26.9,49.1,18.5,5.6
E00049719,5.1,35.6,44.9,14.4
E00049720,13.3,40.6,35.9,10.2
E00049721,11,43.2,34.7,11
E00049722,6.6,37.1,42.4,13.9
E00049723,18,40.2,39.3,2.5
E00049724,21.2,48.7,22.8,7.4
