areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00134224,5.7,22.8,41.5,30.1
E00134225,8,32.6,40.6,18.9
E00134226,4.8,28.7,37.8,28.7
E00134227,1,30.8,37.5,30.8
E00134228,6.1,23,43.2,27.7
E00134229,5,29.4,40.6,25
E00134230,8.7,28.8,37.5,25
E00134237,5.2,32.5,40.3,22.1
E00134238,13.6,51.4,19.3,15.7
E00134239,4.5,43.2,37.5,14.8
E00134240,10.1,46,33.8,10.1
E00134242,4.7,44.2,32.6,18.6
E00134243,11.1,47.1,34,7.8
E00134244,21.2,48.9,24.1,5.8
E00134245,21.4,32.5,34.1,11.9
E00134246,19.5,46.9,25,8.6
E00134247,13.8,47.1,29,10.1
E00134248,13.3,44.5,27.3,14.8
E00134249,6.8,44.9,35.6,12.7
E00134258,21.4,45.2,25.6,7.7
E00134260,26.5,50.3,19.2,4
E00134261,17,45.2,25.2,12.6
E00134262,21.2,48.7,22.1,8
E00134263,7.7,43,32.4,16.9
E00134264,13.4,44.5,24.4,17.6
E00134265,17.7,45.2,26.6,10.5
E00134266,10.6,43.4,31,15
E00134267,37.9,45.8,13.7,2.6
E00134268,23.7,59.2,13,4.1
E00134269,38.5,50,8.4,3.1
E00134270,26.5,43.9,23.9,5.8
E00134271,12,32.6,34.9,20.6
E00134272,5.7,32.5,43.3,18.5
E00134273,56,36.7,5.4,1.8
E00134274,18.1,52.6,24,5.3
E00134275,24.8,43.3,24.8,7.1
E00134276,27.4,54.9,13.3,4.4
E00134277,13.4,44.9,26,15.7
E00134278,15.9,36,32.3,15.9
E00134280,9.2,39.3,35.8,15.6
E00134281,20.1,36.5,28.9,14.5
E00134282,17.5,46.7,28.3,7.5
E00134283,33.9,44.4,14.5,7.3
E00134284,0,30.1,48.8,21.1
E00134287,13.4,40.3,34.5,11.8
E00134288,27.9,54.1,14.4,3.6
E00134289,15,42.5,34.2,8.3
E00134290,21.2,44.1,20.3,14.4
E00134291,13.9,49.7,27.8,8.6
E00134292,14.4,48.8,28,8.8
E00134293,23.2,41.8,23.7,11.3
E00134294,19.8,49.5,18.9,11.7
E00134295,22.2,48.6,22.2,6.9
E00134296,43.3,33.7,14.4,8.7
E00134297,32.1,50,14.2,3.8
E00134299,7.9,34.6,36.2,21.3
E00134300,16.3,44.7,30.1,8.9
E00134301,14,49.6,26.4,9.9
E00134302,14.9,43.9,28.1,13.2
E00134303,12.6,53.3,27.4,6.7
E00134304,11.8,53.5,29.9,4.7
E00134305,6.5,52,27.6,13.8
E00134306,13.8,40.8,30.8,14.6
E00134307,7.6,35.4,40.3,16.7
E00134308,17,50.9,23.6,8.5
E00134309,13.5,53.4,27.8,5.3
E00134310,12.3,49.1,33,5.7
E00134311,9.8,45.5,28.5,16.3
E00134312,10.5,45.6,39.5,4.4
E00134313,4.1,48,31.7,16.3
E00134320,1.2,21.7,36.1,41
E00134329,5.2,34.3,39.6,20.9
E00134330,6.6,35.7,38.5,19.2
E00134331,0.6,28.4,45.8,25.2
E00134332,5.6,40.1,32.4,21.8
E00134333,9.4,45.3,32,13.3
E00134334,4,38.4,43,14.6
E00134335,18.3,49.2,20,12.5
E00134363,3.4,28.8,47.9,19.9
E00134368,7.9,27.8,44.4,19.8
E00134383,5,32.7,40.6,21.8
E00134384,12.6,40.7,31.1,15.6
E00134385,10.4,36.5,42.7,10.4
E00134386,8.6,40.5,29.3,21.6
E00134387,6.6,39.3,37.7,16.4
E00134388,7.3,50.5,31.2,11
E00134389,8.4,36.1,33.6,21.8
E00134390,11.2,41,32.8,14.9
E00134391,6.9,27.6,44.8,20.7
E00134392,14.8,49.4,27.3,8.5
E00134393,10.3,52.3,32.3,5.2
E00134394,6.3,45.5,38.4,9.8
E00134397,8.5,33.5,44.5,13.5
E00134398,12.5,45.8,31.7,10
E00134399,9.1,26.4,46.3,18.2
E00134400,10.5,43.8,34.6,11.1
E00134401,6.6,31.1,36.1,26.2
E00134402,4.8,46,34.1,15.1
E00134403,8,38.4,41.6,12
E00134406,58.4,31.7,4,5.9
E00134407,34.4,50,10.7,4.9
E00134408,24,38.8,24.8,12.4
E00134409,9.8,52.3,28.8,9.1
E00134413,6.7,48.5,29.9,14.9
E00134414,35.3,45.7,15.5,3.4
E00134416,3.2,34.4,41.6,20.8
E00134417,4.3,28.8,35,31.9
E00134418,9,34.1,37.1,19.8
E00134419,7.7,41.3,36.1,14.8
E00134420,14.7,26.6,34.9,23.9
E00134421,13.5,36.5,33.8,16.2
E00134422,9.9,35.8,35.8,18.5
E00134423,8.2,35.2,31.4,25.2
E00134424,29.6,42.5,19.6,8.4
E00134425,5.2,34.3,41.8,18.7
E00134426,5.9,34.5,37.4,22.2
E00134430,11.3,30.2,39.6,18.9
E00134433,10.2,33.9,37,18.9
E00134434,5.2,32.8,50,12.1
E00134435,10.2,44.9,27.6,17.3
E00134436,4.3,28.4,40.5,26.7
E00134437,6.9,43.8,33.1,16.3
E00134438,7.6,45.5,34.8,12.1
E00134439,12.8,48.7,25.6,12.8
E00134440,3.1,32.6,47.3,17.1
E00134441,14.6,41.5,39.2,4.6
E00134442,7.6,37.4,34.4,20.6
E00134484,8.4,29.9,44.9,16.8
E00134485,4.5,33.1,48.1,14.3
E00134487,7.9,31.6,40.4,20.2
E00134488,3.1,27.2,48.2,21.5
E00134491,5.4,31.5,37.8,25.2
E00134567,2.3,52.3,31.3,14.1
E00134568,7.3,46,35,11.7
E00134569,2.7,22.3,36.6,38.4
E00134570,6.6,34.6,38.2,20.6
E00134571,14.5,40.5,29,16
E00134572,6.3,36.5,38.1,19
E00134573,25,42.2,27.3,5.5
E00134574,9.1,42.7,39,9.1
E00134575,4.4,41.5,36.5,17.6
E00134576,2.6,32.7,36.6,28.1
E00134585,3.7,24.3,40.7,31.2
E00134586,4.2,36.4,35,24.5
E00134587,5.6,25,48.8,20.6
E00134588,4,23.4,41.9,30.6
E00134589,2.6,26.6,39.6,31.2
E00134590,4.1,28.4,43.2,24.3
E00134591,14.1,40.8,29.6,15.5
E00134592,27.5,52.9,14.5,5.1
E00134593,14.4,42.4,32.6,10.6
E00134594,29.6,48,13.4,8.9
E00134595,30.2,32.8,23.3,13.8
E00134596,10.9,39.3,34.6,15.2
E00134597,23.8,45.6,22.4,8.2
E00134598,10.3,44.8,36.2,8.6
E00134601,22.4,46.7,21.1,9.9
E00134603,5.9,51.7,33.1,9.3
E00134604,20.7,45.2,20.7,13.3
E00134606,13.6,51.2,29.6,5.6
E00134607,10.2,51,28.6,10.2
E00134608,5.4,32.4,43.2,18.9
E00134609,12.8,44,30.3,12.8
E00134610,8.6,39.3,31.4,20.7
E00134611,11.5,54.5,25.6,8.3
E00134612,13.5,54.6,24.1,7.8
E00134613,13.2,50,28.4,8.4
E00134614,9.8,37.3,35.3,17.6
E00134615,47.2,43.9,8,0.9
E00134616,4.3,35.7,36.4,23.6
E00134617,5.1,32.4,43.4,19.1
E00134618,8.8,42.1,29.8,19.3
E00134619,3.7,28.9,41.2,26.2
E00134620,6.5,28.3,41.3,23.9
E00134621,5.3,31.2,39.4,24.1
E00134639,11.3,46.8,31.5,10.3
E00134640,6.2,54.9,30.1,8.8
E00134641,10.6,46.2,33.3,9.8
E00134642,9,41.4,30.6,18.9
E00134643,13.6,39.3,27.9,19.3
E00134644,4.4,33.3,42.1,20.2
E00134645,8.2,38.2,35.5,18.2
E00134646,6.8,44.5,30.1,18.5
E00134647,2.3,47.1,23,27.6
