areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00134224,62.3,37.7
E00134225,54.2,45.8
E00134226,61.4,38.6
E00134227,59.8,40.2
E00134228,59.5,40.5
E00134229,51.1,48.9
E00134230,55.5,44.5
E00134237,60.4,39.6
E00134238,52.9,47.1
E00134239,51,49
E00134240,59.8,40.2
E00134242,43.7,56.3
E00134243,42.1,57.9
E00134244,43.2,56.8
E00134245,45.4,54.6
E00134246,41.9,58.1
E00134247,56.5,43.5
E00134248,56.3,43.8
E00134249,59.5,40.5
E00134258,40.9,59.1
E00134260,40.5,59.5
E00134261,55.3,44.7
E00134262,45.1,54.9
E00134263,54.3,45.7
E00134264,49.6,50.4
E00134265,58.4,41.6
E00134266,57.1,42.9
E00134267,29.3,70.7
E00134268,39.4,60.6
E00134269,16.7,83.3
E00134270,33.1,66.9
E00134271,54.7,45.3
E00134272,58.7,41.3
E00134273,17.6,82.4
E00134274,36.8,63.2
E00134275,45.6,54.4
E00134276,27.4,72.6
E00134277,48.5,51.5
E00134278,57.6,42.4
E00134280,48.2,51.8
E00134281,54.8,45.2
E00134282,37.6,62.4
E00134283,34.9,65.1
E00134284,59.5,40.5
E00134287,48.8,51.2
E00134288,34.9,65.1
E00134289,54.5,45.5
E00134290,57,43
E00134291,57.5,42.5
E00134292,46.8,53.2
E00134293,34.6,65.4
E00134294,51.5,48.5
E00134295,31.3,68.7
E00134296,31.8,68.2
E00134297,29.1,70.9
E00134299,65.8,34.2
E00134300,51.6,48.4
E00134301,44.3,55.7
E00134302,45,55
E00134303,32,68
E00134304,30.2,69.8
E00134305,51.1,48.9
E00134306,56.4,43.6
E00134307,50.3,49.7
E00134308,32.8,67.2
E00134309,26.5,73.5
E00134310,52.2,47.8
E00134311,55.7,44.3
E00134312,38.2,61.8
E00134313,57.8,42.2
E00134320,51.8,48.2
E00134329,51,49
E00134330,53.8,46.2
E00134331,58.3,41.7
E00134332,53.2,46.8
E00134333,58.8,41.2
E00134334,64.7,35.3
E00134335,50,50
E00134363,62.6,37.4
E00134368,56,44
E00134383,60.3,39.7
E00134384,51.7,48.3
E00134385,49.7,50.3
E00134386,57.5,42.5
E00134387,60.1,39.9
E00134388,56.2,43.8
E00134389,47.9,52.1
E00134390,57.5,42.5
E00134391,53.4,46.6
E00134392,51.8,48.2
E00134393,58.5,41.5
E00134394,66.2,33.8
E00134397,42.6,57.4
E00134398,46.4,53.6
E00134399,62.5,37.5
E00134400,48.5,51.5
E00134401,50,50
E00134402,51,49
E00134403,66.7,33.3
E00134406,19.1,80.9
E00134407,32.7,67.3
E00134408,39.1,60.9
E00134409,36.6,63.4
E00134413,53.8,46.2
E00134414,27.9,72.1
E00134416,51.3,48.7
E00134417,48.2,51.8
E00134418,52.5,47.5
E00134419,54.4,45.6
E00134420,48.9,51.1
E00134421,53.6,46.4
E00134422,52.9,47.1
E00134423,56.1,43.9
E00134424,39.5,60.5
E00134425,58.1,41.9
E00134426,56.4,43.6
E00134430,51,49
E00134433,55,45
E00134434,53.9,46.1
E00134435,48.4,51.6
E00134436,56.6,43.4
E00134437,48.9,51.1
E00134438,39.6,60.4
E00134439,41,59
E00134440,55.1,44.9
E00134441,35.3,64.7
E00134442,55.5,44.5
E00134484,49.8,50.2
E00134485,58.5,41.5
E00134487,42,58
E00134488,62.3,37.7
E00134491,53.6,46.4
E00134567,47.3,52.7
E00134568,60.7,39.3
E00134569,60.2,39.8
E00134570,58.9,41.1
E00134571,52.7,47.3
E00134572,51.3,48.7
E00134573,43.7,56.3
E00134574,55.7,44.3
E00134575,52,48
E00134576,54.8,45.2
E00134585,55.4,44.6
E00134586,62.3,37.7
E00134587,56.2,43.8
