areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00067299,29.1,48.4,7,11.2,4.3
E00067300,16.3,36.7,6.9,36.7,3.3
E00067301,16,37.1,8,36.7,2.2
E00067302,19.1,43.3,8.8,26,2.8
E00067303,19,37.3,9.5,32,2.1
E00067304,11.6,40.3,8.6,38.1,1.5
E00067305,25.9,38,7.8,23.9,4.3
E00067306,28.9,45.5,3.7,20.3,1.6
E00067307,12.6,33.6,8.7,43.9,1.2
E00067308,23.9,39.7,7.7,25.6,3
E00067309,29.1,41,6,21.4,2.6
E00067310,27,35.1,7.3,27.8,2.7
E00067311,18.9,40.7,7.8,30.7,1.9
E00067312,15.9,38.2,11.2,30,4.7
E00067313,9.4,35.7,4.7,49.8,0.4
E00067314,17.1,38.5,6.4,37.1,1
E00067315,15,44.2,5.8,32.1,2.9
E00067316,16.8,42.7,5.9,31.8,2.8
E00067317,16.4,36.3,8.4,36.3,2.7
E00067319,15.2,40.1,3.6,35.7,5.4
E00067320,13.4,50.5,7.9,25.6,2.5
E00067321,24.5,39.9,5.9,26.9,2.8
E00067322,14.8,40.5,4.3,38.2,2.3
E00067323,15,40.5,5.5,36.9,2.2
E00067338,8.1,34.8,1.4,51.9,3.8
E00067339,11.4,29.7,1.7,56,1.1
E00067341,8.6,42,2.5,46,0.9
E00067342,8.3,24.2,3.8,62.3,1.5
E00067343,25.5,41.5,5.2,26.4,1.4
E00067344,32.8,38.6,4.5,21,3.1
E00067345,32.4,39.7,4.6,21,2.3
E00067346,17.6,43.4,1,35.5,2.4
E00067347,21.6,49.8,4.8,21.1,2.6
E00067348,26.1,46.2,3.4,22.3,1.9
E00067349,22.3,49.8,6.1,18.8,3.1
E00067350,27.6,33.9,6.6,28.9,3
E00067351,35.5,39,2,23.5,0
E00067352,10.3,53.2,1.6,32.9,2
E00067353,12.5,47.3,3.5,33.2,3.5
E00067354,8.6,27.3,3.6,58.6,1.8
E00067355,24.1,33.9,5.1,33.9,3.1
E00067356,26.5,41.3,5.3,25.1,1.8
E00067357,25.4,42,3.3,26.8,2.5
E00067358,4,47,4.4,43,1.6
E00067359,7.4,33.1,3.4,56,0
E00067360,7.3,40.4,3.7,48.6,0
E00067361,9.3,43.4,2.7,44.2,0.4
E00067362,8.7,46.1,2.1,43.2,0
E00067363,13.3,40.3,2.2,43.8,0.4
E00067364,11.3,33.1,8.1,46,1.6
E00067365,4.3,47.3,2.5,43,2.8
E00067366,10.8,41.6,3.6,44,0
E00067367,20.7,33.8,3.8,36.6,5.2
E00067368,6.3,41.8,3.8,44.3,3.8
E00067370,23.8,27.2,4.4,43.2,1.5
E00067371,7,28.4,1.7,62.4,0.4
E00067372,5.9,24.5,3.8,62.9,3
E00067373,10.1,32.8,1.7,53.8,1.7
E00067374,8.9,25,4.8,56.9,4.4
E00067375,7.2,34.7,1.4,55.5,1.2
E00067376,5.1,30.8,0.5,62.1,1.4
