geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00073344,76.8,3.8,19.4
E00073348,80.6,1.8,17.6
E00073598,67.8,3.7,28.6
E00073599,63.8,3,33.2
E00073600,39.4,8.8,51.8
E00073601,62.8,7.3,29.9
E00073602,66.9,2.9,30.2
E00073604,64.4,3.8,31.9
E00073606,63.3,2.1,34.6
E00073614,71.9,2.2,25.9
E00073615,65.7,3.7,30.6
E00073616,62.6,5.6,31.8
E00073620,58,2.3,39.8
E00073622,52.6,5.1,42.3
E00073624,40.8,5,54.2
E00073625,55.3,5.7,39
E00073626,56.7,2.8,40.5
E00073627,76.5,3.1,20.4
E00073629,64.6,4.9,30.5
E00073630,65.4,5.4,29.2
E00073631,60.9,4,35
E00073632,63.5,4.9,31.6
E00073633,70,6.3,23.8
E00073634,58.6,6.5,34.9
E00073635,63.9,4,32.1
E00073672,61.4,6,32.6
E00073673,49,3.1,48
E00073674,57.5,0,42.5
E00073675,61.5,0.4,38.1
E00073676,57.3,4.3,38.5
E00073677,43.9,4,52.2
E00073678,51.2,5.3,43.5
E00073679,42.6,2.3,55.1
E00073680,39.5,9.1,51.4
E00073681,29.2,8.8,62
E00073682,54.3,2.4,43.3
E00073683,53.4,4.7,41.9
E00073684,52.2,6,41.8
E00073685,64.3,7.1,28.6
E00073688,63.2,3.8,32.9
E00073689,70,1.9,28.1
E00073690,60.8,2.7,36.5
E00073691,62.5,2.9,34.7
E00073692,56.6,4.9,38.6
E00073693,52.7,4,43.4
E00073695,55.5,2.8,41.7
E00073696,49,4.6,46.3
E00073697,67.1,3.1,29.8
E00073698,54.4,4.2,41.4
E00073699,56.2,7,36.8
E00073700,41.7,1.8,56.4
E00073701,53.9,2.3,43.8
E00073702,60.5,3.9,35.6
E00073703,52.4,3.4,44.2
E00073704,43.5,0.4,56.1
E00073705,51,0.4,48.6
E00073706,59.7,3.8,36.6
E00073707,55.6,3,41.4
E00073708,45.9,2,52.2
E00073852,55.7,2.4,41.9
E00073853,68.6,2.3,29.2
E00073854,62.5,5.1,32.4
E00073855,61.3,5.2,33.5
E00073856,69.5,2.3,28.1
E00073857,63.3,3.9,32.7
E00073858,55.9,3.2,40.9
E00073859,74.6,2.2,23.1
E00073860,25.8,4,70.2
E00073861,67,3.5,29.5
E00073862,70.2,2.4,27.4
E00073864,66.8,3.1,30.1
E00073865,63.4,2.5,34.1
E00073866,63.9,1,35.1
E00073867,65.3,3.6,31
E00073868,67.7,3.8,28.5
E00073869,59.8,3.4,36.8
E00073870,60.3,5.2,34.5
E00073871,52.4,6.3,41.3
E00073872,64.4,3.5,32.2
E00073873,55.5,6.6,37.9
E00073874,53.7,4.6,41.7
E00073875,65.9,4.4,29.7
E00073876,50.3,7.4,42.2
E00073877,66.1,2.2,31.6
E00073878,49.6,4.7,45.7
E00073879,54.3,4.9,40.7
E00073880,60.2,4.8,35
E00073881,63.3,4.5,32.2
E00073882,66.8,2.3,30.9
E00073883,52.3,5.7,42
E00073884,59.2,3.7,37.1
E00073885,63.2,3.1,33.7
E00073886,71.5,3.2,25.3
E00073887,59.9,2.7,37.4
E00073888,64.6,2.4,33
E00073889,58.2,5.7,36.1
E00073890,53.4,2.6,44
E00073891,59.8,4.1,36.1
E00074115,62.4,3.4,34.2
E00074116,72.2,2.8,25
E00074117,74,3.5,22.4
E00074118,63.7,0.8,35.5
E00074119,77.3,3.5,19.2
E00074120,71.9,3.8,24.3
E00074121,64.5,2.4,33.1
E00074122,58.4,0,41.6
E00074123,49,2.4,48.6
E00074124,65.5,4.3,30.2
E00074125,71.7,2.2,26.1
E00074126,65.7,4.5,29.8
E00074127,63.1,2.4,34.5
E00074128,65,2.7,32.3
E00074129,61.4,4.5,34.1
E00074130,66,2,32
E00074131,79.1,1.7,19.2
E00074132,54.8,4.6,40.6
E00074133,65.8,1.3,32.9
E00074135,66.9,3.2,29.9
E00074137,86.6,5,8.4
E00074146,58,3.6,38.4
E00074147,77.8,1.8,20.4
E00074148,76.2,0.8,23
E00074149,64.2,1.3,34.4
E00074150,60.2,1.5,38.3
E00074151,64.8,4.5,30.7
E00074152,56.2,3,40.9
E00074153,63.5,3.2,33.3
E00074154,57.9,2.1,40
E00074155,62,6.2,31.8
E00074156,55.6,3.3,41.1
E00074157,61.4,1.5,37.1
E00074158,67.5,2.3,30.2
E00074159,57.5,4.8,37.8
E00074160,64.6,1.5,33.9
E00074161,65.4,3.2,31.4
E00074162,53.7,3.9,42.4
E00074163,61.3,3.4,35.2
E00074164,66.7,2.8,30.6
E00074165,61.2,5.9,32.9
E00074166,74.9,3.6,21.5
E00074167,56,2.7,41.3
E00074169,79.5,3.5,17
E00074170,70.8,3.8,25.4
E00074171,63.1,3.5,33.3
E00074172,65.5,2.8,31.7
E00074173,74.9,2.8,22.3
E00074174,79.1,3,17.9
E00074176,79.2,3.1,17.6
E00074177,68.8,4.1,27.1
E00074179,59,0.6,40.3
E00074180,70,2.6,27.4
E00074182,40.6,4,55.4
E00074183,62.8,1.7,35.5
E00074184,68.1,2.8,29
E00074185,80.1,4.1,15.8
E00074186,82.4,2,15.5
E00074189,80.2,1.8,18.1
E00074190,71.4,4.5,24.1
E00074191,62.8,5,32.1
E00075274,50.9,0.5,48.6
E00075275,49.3,4.4,46.3
E00075276,54.4,1.2,44.4
E00075277,56.5,1.8,41.7
E00075278,68.6,1.7,29.7
E00075279,64.5,1.1,34.4
E00075280,55.9,1.4,42.7
E00075281,54.3,3.8,41.9
E00075282,55.4,0.9,43.8
E00075283,65.3,1.9,32.8
E00075284,68.4,4,27.7
E00075285,59,1.6,39.5
E00075286,70.3,1.2,28.6
E00075287,52.2,1.6,46.3
E00075288,74.8,1.2,24
E00075289,64.3,3,32.6
E00075290,65.1,1.9,33.1
E00075291,71.2,1.8,27
E00075292,53.1,1.8,45.1
E00075293,54,0.4,45.6
E00075294,69.5,1.4,29.1
E00075295,64.1,0.7,35.1
E00075296,50.2,2.2,47.6
E00075297,66.7,1.2,32.2
E00075298,58.9,0.4,40.7
E00075299,53.6,1.7,44.7
E00075300,59.6,2.5,37.9
E00075301,63.3,1.9,34.8
E00075302,63.4,0,36.6
E00075303,56.4,1.7,41.9
E00075304,60.4,0.9,38.7
E00075305,62.6,1.3,36.1
E00075306,58.3,3.2,38.4
E00075307,46.2,4.3,49.5
E00075392,55.5,2.2,42.3
E00075393,53.1,1.4,45.5
E00075394,58,1.2,40.8
E00075395,65.9,5,29.1
E00075396,64.9,5.9,29.2
E00075397,58.1,1.3,40.6
E00075398,51.8,3.5,44.7
E00075399,54.5,1.8,43.6
E00075400,65.2,2.4,32.4
E00075401,69.4,4.5,26.1
E00075402,56.2,7.7,36.1
E00075403,59,1.8,39.1
E00075404,70.5,1.9,27.6
E00075405,60.1,3.2,36.7
E00075406,65.6,3.6,30.7
E00075407,68,2.4,29.7
E00075408,63.2,2.2,34.6
E00075409,63.6,2.3,34.1
E00075410,69,4.5,26.5
E00075411,64.8,5.7,29.5
E00075412,50.6,2.5,46.9
E00075413,64.2,2.4,33.5
E00075414,63.6,4.2,32.2
E00075415,41,1.9,57.1
E00075416,59,5.2,35.7
E00075417,57.5,4.5,38
E00075418,66.5,0.5,33
E00075419,64.3,1.8,33.9
E00075420,70,2.4,27.7
E00075421,63.4,3.2,33.3
E00075422,58.9,2.7,38.4
E00075423,56.7,4.8,38.5
E00075424,65.8,2.5,31.7
E00075425,67.8,2,30.2
E00075426,49.3,4.9,45.8
E00075505,86.8,2.3,10.9
E00075558,65.5,3.4,31.1
E00075559,54.1,2.2,43.7
E00075560,71.6,1.6,26.8
E00075561,64.5,2.3,33.2
E00075562,66.6,1.7,31.8
E00075563,57,3,40
E00075564,59.2,3.5,37.3
E00075565,59.2,4.3,36.5
E00075566,64.7,2.5,32.8
E00075567,66.4,2.7,30.8
E00075568,61.7,1.8,36.5
E00075569,59.2,3.9,36.9
E00075570,61.3,1.1,37.6
E00075571,38.1,3,58.9
E00075572,60.5,1.4,38.1
E00075573,53.3,1.1,45.6
E00075574,63.5,3.4,33
E00075575,57,0.4,42.6
E00075576,66.3,4.5,29.3
E00075577,66,2.7,31.3
E00075578,58.8,2.3,38.9
E00075579,58.8,2.1,39.1
E00075580,64.9,2.5,32.6
E00075581,63.3,4.2,32.6
E00075582,58,0.4,41.6
E00075583,59.8,1.6,38.6
E00075584,50.6,3.9,45.5
E00075585,68.3,2,29.7
E00075586,59.7,7,33.3
E00075587,61.4,5.9,32.7
E00075588,59.7,1.8,38.5
E00075602,70.7,3,26.3
E00075604,71.5,3.6,24.9
E00075605,72.1,2,25.9
E00075607,70.7,1,28.3
E00075608,68.5,2,29.5
E00075609,55.4,0.5,44
E00075610,74.3,5,20.7
E00075611,79.1,1.9,19
E00075612,61.4,2.6,36
E00075613,58,0.4,41.6
E00075614,77.8,2.9,19.2
E00075615,70.8,2.5,26.7
E00075616,53.8,0.4,45.8
E00075617,29.7,0.9,69.4
E00075618,62.7,0.4,36.9
E00075619,61.9,1.8,36.3
E00075620,60.3,3.5,36.2
E00075621,52.6,1.5,45.9
E00075622,68.4,1.1,30.5
E00075623,62.6,5.3,32.1
E00075624,66.2,0.9,32.9
E00075626,55.4,2.7,42
E00075627,53.6,2.2,44.2
E00075628,58.8,4.4,36.7
E00075629,68.3,1.3,30.4
E00075631,72.1,1.5,26.3
E00075632,64.6,0.9,34.5
