areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
W00002524,68.2,31.8
W00002525,57.4,42.6
W00002526,57.6,42.4
W00002527,54.6,45.4
W00002528,55.1,44.9
W00002529,51.9,48.1
W00002530,56.7,43.3
W00003477,58.8,41.2
W00003478,52.8,47.2
W00003481,63.2,36.8
W00003647,50.2,49.8
W00003648,37.9,62.1
W00003649,45.2,54.8
W00003650,34.3,65.7
W00003651,39,61
W00003652,42.1,57.9
W00003653,39.5,60.5
W00003654,41.8,58.2
W00003655,62.6,37.4
W00003694,63.7,36.3
W00003698,63.7,36.3
W00003699,49.8,50.2
