areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
W00002524,56.5,0.5,43
W00002525,60.4,2.7,36.9
W00002526,64.4,1.6,34
W00002527,55.8,2.4,41.8
W00002528,65.5,1.4,33.1
W00002529,57.8,1.6,40.6
W00002530,66.7,1,32.3
W00003477,52.4,0.9,46.7
W00003478,57.6,1.2,41.2
W00003481,54.3,2.3,43.4
W00003647,42.2,2.3,55.5
W00003648,57.5,0.5,42
W00003649,52.2,2.7,45.2
W00003650,49.8,2.8,47.4
W00003651,58.9,5.1,36.1
W00003652,55.1,2.7,42.2
W00003653,61.4,1.5,37.1
W00003654,42.1,2.4,55.5
W00003655,53.3,1.6,45.1
W00003694,54.7,1.5,43.8
W00003698,57.6,0.3,42
W00003699,52.9,0,47.1
