geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00087370,3.2,52.4,44.4
E00087371,3.4,31.5,65.1
E00087372,5.4,44.1,50.5
E00087373,3.7,50.9,45.4
E00087374,4.2,54.2,41.5
E00087375,3.4,57.3,39.3
E00087376,8.1,48.5,43.4
E00087377,2.3,47.7,50
E00087378,10.9,33.6,55.5
E00087379,8.2,48.2,43.6
E00087380,4.3,20.9,74.8
E00087381,3.3,26.2,70.5
E00087382,4.3,23.5,72.2
E00087383,3.4,33.3,63.2
E00087384,3.1,36.2,60.6
E00087385,6.1,22,72
E00087387,8.3,28.3,63.3
E00087388,3.6,24.6,71.9
E00087389,2.8,36.6,60.6
E00087390,6.3,25.9,67.8
E00087391,5.1,42.7,52.1
E00087392,5.8,27.1,67.1
E00087393,7.9,22.9,69.3
E00087394,6,44.7,49.3
E00087395,6.3,40.2,53.5
E00087396,4.7,43.5,51.8
E00087397,5.2,47.4,47.4
E00087398,12.1,29.5,58.3
E00087399,12.3,36.3,51.4
E00087400,11.3,21,67.7
E00087401,6.5,25.9,67.6
E00087402,10.6,33.3,56.1
E00087403,3.9,35.8,60.3
E00087404,4.2,44.5,51.3
E00087405,4.9,32.4,62.7
E00087406,6.4,23.6,70
E00087408,2.1,44.7,53.2
E00087409,1.1,27.6,71.3
E00087410,4,37.3,58.8
E00087411,5.9,38.5,55.6
E00087412,7.2,21,71.7
E00087413,4.3,30.7,65
E00087414,5.2,30.6,64.2
E00087415,8.1,26.6,65.3
E00087416,3,32.1,64.9
E00087417,4.2,22.5,73.2
E00087418,4.3,33.5,62.1
E00087419,1.6,56.6,41.9
E00087420,5,27,68.1
E00087449,2.6,31.6,65.8
E00087450,2.4,24.4,73.2
E00087452,6.5,23.4,70.1
E00087453,5.9,26.3,67.8
E00087454,0,25,75
E00087455,2.8,33.3,63.9
E00087512,4.7,38.8,56.6
E00087513,6.7,25.2,68.1
E00087514,4.6,26.9,68.5
E00087515,11.4,21.1,67.5
E00087516,3.9,29.4,66.7
E00087517,6.2,25.6,68.2
E00087518,3.9,21.1,75
E00087520,6.1,26.5,67.4
E00087522,6.5,33.1,60.4
E00087523,3,50.4,46.6
E00087524,6.4,23.6,70.1
E00115614,3.2,15.1,81.7
E00115778,4.3,46.1,49.6
E00115780,5.4,16.1,78.5
E00115781,6.3,24.4,69.3
E00115827,6.7,26.2,67.2
E00115828,5.2,20,74.8
E00115829,5.6,19.8,74.6
E00115831,9.9,21.6,68.5
E00116868,0,30.7,69.3
E00116898,8.5,22.6,68.9
E00116900,11.3,12,76.8
E00116933,8.3,16.5,75.2
E00116934,0.8,36.4,62.7
E00116935,7,24.6,68.3
E00116936,5.2,33.3,61.5
E00116937,9.7,17.5,72.8
E00116938,5.2,21.7,73
E00116939,9.6,24.2,66.2
E00116940,0.8,21.3,77.9
E00116941,7.1,26.8,66.1
E00116942,1.4,39.6,59
E00116943,2.1,34.2,63.7
E00116944,0.9,20.4,78.8
E00116945,3.9,27.1,69
E00116946,6,21.4,72.6
E00116947,4.1,32.2,63.7
E00116948,9.3,44.3,46.4
E00116949,4.2,18.6,77.1
E00116950,3.4,33.9,62.7
E00116951,8.3,33.3,58.3
E00116952,5.9,27.7,66.5
E00117005,9.2,26,64.9
E00117006,4.9,27.2,67.9
E00117007,7.3,37.7,55
E00117008,3.6,26.1,70.3
E00117015,6.6,23.1,70.2
E00117016,4.8,23.2,72
E00117017,7.4,8.5,84.1
E00117018,8.8,27,64.2
E00117019,5.8,21.9,72.3
E00117020,4.1,56.1,39.8
E00117021,8.1,22.1,69.9
E00117022,7.6,12.4,80
E00117023,1.9,28.7,69.4
E00117024,4.1,28.5,67.5
E00117025,6.7,29.9,63.4
E00117026,2.8,29.4,67.9
E00117027,7.1,24.6,68.3
E00117028,4.7,24.8,70.5
E00117029,10.8,20.3,68.9
E00117030,6.7,30.7,62.7
E00117031,4.3,26.2,69.5
E00117032,5.8,17.5,76.6
E00117033,7.6,18.6,73.7
E00117034,3.1,21.5,75.4
E00117035,3.5,26.6,69.9
E00172707,8.6,31.2,60.2
E00172708,0,21.7,78.3
E00172710,5.3,30.1,64.7
E00172711,5.7,21.4,72.9
E00180407,1.4,53.1,45.5
E00180416,4.8,36.3,58.9
E00180417,2.8,41.3,55.9
E00180424,4.3,44.7,50.9
E00180425,3.1,24.1,72.8
E00180427,8.6,31,60.3
E00180431,0,30.4,69.6
E00180436,4.7,39.2,56.1
E00180440,2.1,30.1,67.8
