areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00107167,91.1,6.4,1.1,1.1,0.3
E00107169,91.8,7,0.5,0.2,0.5
E00107170,94.1,5.2,0.7,0,0
E00107171,98.9,0.6,0.6,0,0
E00107172,92.9,4.4,1.6,0.3,0.8
E00107173,96.9,3.1,0,0,0
E00107175,90.7,7.1,1.3,0.9,0
E00107177,93.8,5.1,0,0,1.1
E00107199,94.9,3.3,1.3,0.5,0
E00107200,91.2,6.3,1.4,0.9,0.2
E00107201,95.2,3.7,0.2,0.5,0.5
E00107253,95.5,3.4,1.1,0,0
E00107254,91.7,7,1,0.3,0
E00107255,95.5,2.6,1.1,0.5,0.3
E00107256,91.9,7,0,0,1.1
E00107257,96.1,3.5,0.3,0,0
E00107258,93.8,5.8,0.4,0,0
E00107259,94.7,4.9,0.4,0,0
E00107260,97.1,2.2,0.4,0.4,0
E00107261,89.1,8.7,0.6,0.6,0.9
E00107262,96.2,3.4,0,0.4,0
E00107263,93.9,4.8,0.7,0.4,0.2
E00107264,98,2,0,0,0
E00107265,99.2,0.4,0,0,0.4
E00107266,85.3,14,0,0.7,0
E00107267,92.5,6.5,1,0,0
E00107351,93.4,5.6,1,0,0
E00107352,97.3,2.7,0,0,0
E00107353,96.9,3.1,0,0,0
E00107354,88.5,7.8,1.1,1.1,1.6
E00107355,91.5,6.6,0.6,1.3,0
E00107356,91.5,6.9,0.4,1.2,0
E00107357,92.2,5.5,0,2,0.3
E00107358,70.9,10.9,6.2,8,4
E00107359,95.9,3.5,0.6,0,0
E00107360,90.8,7.3,0.8,1.1,0
E00107361,91.8,5.7,0.8,1.2,0.4
E00107362,95.9,2.7,0.7,0,0.7
E00107363,95.1,3.3,0.7,1,0
E00107364,92.7,5.7,0.3,0.7,0.7
E00107383,90.7,6.9,1.2,1.2,0
E00107384,91.1,6.9,0.5,0,1.6
E00107385,95,3.4,0.3,1.2,0
E00107386,89.1,8,0.7,0.7,1.5
E00107387,89.2,7.2,1.7,1.4,0.6
E00107388,95.4,4.6,0,0,0
E00107389,95.8,3.6,0.6,0,0
E00107390,91.7,7.3,0.6,0.3,0
E00107391,94.1,4.9,0.7,0.3,0
E00107392,91.7,6.7,0,1.6,0
E00107393,89.9,8.2,1.1,0.3,0.5
E00107394,92.3,6.8,0.9,0,0
E00107395,93.6,4.8,0.2,0.7,0.7
E00107839,94.8,4.3,0,0.3,0.6
E00121748,94.8,4.9,0,0.3,0
E00121749,95.3,4.1,0,0,0.5
E00121750,91.8,6.4,0,1.5,0.3
E00121751,92.2,5.8,0.9,1.2,0
E00121752,90.8,7.9,0.8,0.5,0
E00121753,94.2,3.4,0.6,1.5,0.3
E00121754,94.3,3.8,1.4,0,0.5
E00121755,91.9,5.4,0.3,1.4,1
E00121836,93.1,5.8,0,0.7,0.4
E00121837,91.9,6.4,0.6,0.6,0.6
E00121889,88,9.3,2.2,0,0.4
E00121890,95.4,3.8,0.8,0,0
E00121891,95.3,3.5,0.8,0,0.4
E00121892,92.5,4.5,2.5,0.3,0.3
E00121893,94.7,5,0,0,0.3
E00121894,98.4,0.9,0.3,0.3,0
E00121895,98.2,1.8,0,0,0
E00121896,88.6,8.8,0.7,2,0
E00121897,92.6,4,0.9,0.7,1.9
E00121898,91.3,5.1,3.6,0,0
E00121899,92.3,6.1,0.6,0.3,0.6
E00121900,95.9,3.2,0.6,0,0.3
E00121901,93.8,5.5,0,0.7,0
E00121902,97.7,2.3,0,0,0
E00121903,97.8,2.2,0,0,0
E00121904,96.8,2.3,0.6,0,0.3
E00121905,96.9,2.3,0.8,0,0
E00121906,94.9,4.4,0.3,0,0.3
E00121967,97.2,2,0,0.8,0
E00121968,90.9,4.9,3.5,0.3,0.3
E00121969,91.5,7.3,0.6,0.6,0
E00121970,95.5,2.8,0.8,0,0.8
E00121971,93.3,4.5,1.9,0.4,0
E00121972,90,7.3,1.9,0,0.8
E00121973,88.4,5.8,3.1,1.7,1
E00121974,89.5,7.8,2,0.4,0.4
E00121976,95,4.4,0.6,0,0
E00121977,91.9,5.6,1.1,1.1,0.4
E00121980,94.3,4,0.7,0,1
E00121981,94.1,5.4,0,0,0.5
E00121982,92.6,6.3,1.1,0,0
E00122017,97.9,2.1,0,0,0
E00122019,97.9,2.1,0,0,0
E00122020,94.3,5,0.2,0.5,0
