geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00141579,32.6,8.1,10.5,48.8
E00141584,29.6,28.2,6.3,35.9
E00141593,29.2,17.7,8.3,44.8
E00141594,43.2,21,12.3,23.5
E00141595,48.8,19,16.5,15.7
E00141596,34.8,38.4,6.5,20.3
E00141597,26.2,17.5,47.6,8.7
E00141598,42.9,24.4,4.8,28
E00141599,35,35.7,15.7,13.6
E00141614,56.3,23.2,3.5,16.9
E00141615,53.1,25.6,4.3,16.9
E00141616,54.2,20.8,10.4,14.6
E00141626,39.7,25.4,6.3,28.6
E00141633,21.3,5.7,65.6,7.4
E00141634,17.7,7.5,37.4,37.4
E00141635,8.3,14.6,6.4,70.7
E00141636,13,9.9,27.5,49.6
E00141637,5.6,3.2,64.3,27
E00141638,9.1,7,34.9,48.9
E00141639,10.7,7,2.1,80.2
E00141640,13.1,2.9,10.9,73.1
E00141641,11.6,4.6,14.5,69.4
E00141642,23,13.9,2.5,60.7
E00141643,10.8,10,8.3,70.8
E00141644,16.9,8,7.5,67.7
E00141645,20.7,19,10.3,50
E00141646,46.2,18.9,3.8,31.1
E00141647,33.1,26.3,8.5,32.2
E00141648,19.5,14.4,39,27.1
E00141649,11.3,7.5,40.6,40.6
E00141650,44.4,14.8,16.7,24.1
E00141651,49.4,38.4,2.4,9.8
E00141652,61.3,31.5,0.8,6.5
E00141653,41.8,17.8,30.8,9.6
E00141654,47,35.9,2.6,14.5
E00141655,64.4,29.5,0.8,5.3
E00141656,40.4,29.5,16.9,13.1
E00141657,56.8,28,1.5,13.6
E00141658,46.7,28.7,4.1,20.5
E00141659,51.7,28.7,4.5,15.2
E00141660,45,23.8,7.5,23.8
E00141661,68.1,25.8,1.8,4.3
E00141662,60.7,28.6,2.1,8.6
E00141663,59.8,30.4,2.9,6.9
E00141664,61.4,23.6,2.4,12.6
E00141665,74.3,16.8,0.9,8
E00141666,25.4,28.5,3.8,42.3
E00141667,9.3,14.4,29.7,46.6
E00141668,25.9,27.3,1.4,45.5
E00141669,21.1,28.6,4.8,45.6
E00141670,26.2,32.5,4,37.3
E00141671,22.4,17.6,6.7,53.3
E00141672,19.4,19.4,3.2,58.1
