areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00095939,0,0,1.1,97.1,1.8
E00095940,0.3,0,0,99.7,0
E00095941,2.5,0,0.4,95.4,1.7
E00095942,0,0,1.4,98.6,0
E00095943,2.9,0,3.2,92.1,1.8
E00095944,0,0,0,100,0
E00095945,0.4,0,0,97.1,2.5
E00095946,0,0.3,1.5,95.3,2.9
E00095947,0.4,0.4,0,96.4,2.8
E00095948,0.3,0,1,98,0.7
E00095949,0.7,0,0,95.7,3.6
E00095950,0.4,0,2,96.1,1.6
E00095951,0.6,0,0.3,98.1,0.9
E00095952,0,0,0.8,99.2,0
E00095953,0.3,0,0.3,99,0.3
E00095954,0,0,0,98.8,1.2
E00095955,0,0,1.5,98.2,0.4
E00096026,0,0,2,95.8,2.2
E00096028,2,0.4,2.9,91.8,2.9
E00096029,2.1,0.4,2.1,92.6,2.8
E00096032,0.5,0,0.9,98.2,0.5
E00096033,0.2,0,1.3,96.5,1.9
E00096034,0,0.5,0.5,98.1,1
E00096400,0,1.1,1.7,95.4,1.7
E00096401,0,0,0.7,98.5,0.7
E00096402,0,0,1,98.6,0.3
E00096403,0,0.4,2.4,95.2,2
E00096404,0,0.4,0.4,98.4,0.8
E00096405,0.9,0,1.3,97.9,0
E00096406,0,0,1.1,97.7,1.1
E00096407,1.9,0,0.5,97.1,0.5
E00096408,0,0,0.7,99.3,0
