geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00024188,22.6,35.7,14.8,27
E00024190,37.9,45.2,8.9,8.1
E00024191,43.7,20.6,11.1,24.6
E00024192,24.2,34.8,19.2,21.7
E00024193,22.8,37.9,17.2,22.1
E00024194,31.4,40.1,13.9,14.6
E00024195,31.7,40,13.3,15
E00024196,40.8,33.6,13.6,12
E00024197,30,35.4,13.1,21.5
E00024198,20.6,42.9,21.4,15.1
E00024200,40.1,38.8,10.2,10.9
E00024201,21.8,42.1,19.5,16.5
E00024202,23,36.3,20,20.7
E00024203,25.4,38.1,18.7,17.9
E00024204,23.6,40.9,21.8,13.6
E00024205,36.3,31.9,20,11.9
E00024206,36.3,42.7,8.1,12.9
E00024207,25.7,34.6,18.4,21.3
E00024208,28,31.9,20.7,19.4
E00024210,31.6,33.8,17.6,16.9
E00024211,27.6,41.8,11.2,19.4
E00024212,33.6,34.4,20.8,11.2
E00024213,43.4,27,16.4,13.1
E00024215,35.3,35.9,13.7,15
E00024216,20.4,28.9,23,27.6
E00024217,20.5,43.2,22.7,13.6
E00024218,50.6,30.4,13.3,5.7
E00024219,13.3,32.7,25,29.1
E00024220,54.4,23.3,13.3,8.9
E00024221,42.6,37.4,10.4,9.6
E00024222,33.3,32.2,19.7,14.8
E00024223,26.3,40.4,17.7,15.7
E00024224,43.4,30.7,14.5,11.4
E00024225,24.9,30.1,19.7,25.4
E00024226,43.4,38.1,8.8,9.7
E00024227,39.7,39.7,13.7,6.9
E00024228,34.9,35.5,11.2,18.4
E00024229,36.4,29.4,15.4,18.9
E00024452,25.3,26.7,18.5,29.5
E00024465,27.7,24.4,19.3,28.6
E00024469,15,32.5,19.2,33.3
E00024475,28.2,23.9,14.8,33.1
E00024478,23.4,33.1,20.7,22.8
E00024479,23.2,42.9,18.8,15.2
E00024481,5.5,35.5,18.2,40.9
E00024482,19.7,40.2,20.5,19.7
E00024483,37.9,39.7,8.6,13.8
E00024484,21.2,20.5,21.2,37.1
E00024485,44.6,23.3,12.9,19.3
E00024488,24.3,34.2,13.5,27.9
E00024489,17.2,46.7,11.5,24.6
E00024490,25,50.9,13.4,10.7
E00024491,23.7,37.8,20.7,17.8
E00024492,28.4,36.2,12.9,22.4
E00024493,33.1,26.3,10.2,30.5
E00024494,19.2,45.2,6.7,28.8
E00024495,34.3,24.1,13,28.7
E00024496,34.2,35.1,10.5,20.2
E00024497,27,38.9,11.1,23
E00024498,15.4,26.5,19.7,38.5
E00024499,19.9,29.4,13.2,37.5
E00024500,22.7,33.6,15.5,28.2
E00024501,24.5,41.5,11.3,22.6
E00024502,28.3,25.5,8.3,37.9
E00024503,22.1,28.2,17.4,32.2
E00024505,31.4,17.8,16.2,34.6
E00024506,10.3,24.8,18.8,46.2
E00024507,15.4,29.9,25.6,29.1
E00024508,44.3,23.5,12.2,20
E00024509,55.6,20.7,14.8,8.9
E00024510,24.6,43.5,15.2,16.7
E00024511,24.8,24.8,17.3,33.1
E00024512,37.1,25.7,17.9,19.3
E00024513,37,22.2,17.8,23
E00024514,29.1,29.1,18.8,23.1
E00024515,30.9,34.2,16.1,18.8
E00024516,24.8,21.2,19,35
E00024517,35.9,30.5,18.8,14.8
E00024518,22,35.6,19.7,22.7
E00024519,22.7,31.1,25.2,21
E00024520,29.2,41,9.9,19.9
