geography_code,heating_type_3a-001,heating_type_3a-002
E00131967,0.9,99.1
E00131968,0.9,99.1
E00131969,0,100
E00131970,0.8,99.2
E00131971,0.8,99.2
E00131972,1.8,98.2
E00131973,0.8,99.2
E00131975,0,100
E00131976,0,100
E00131977,1.4,98.6
E00131978,2.8,97.2
E00131993,0.7,99.3
E00131996,0,100
E00131997,0,100
E00131998,3.2,96.8
E00131999,0,100
E00132000,0,100
E00132001,0,100
E00132003,0.7,99.3
E00132004,0.7,99.3
E00132007,0,100
E00132008,0.8,99.2
E00132050,0.5,99.5
E00132051,4.7,95.3
E00132052,0.6,99.4
E00132053,1.7,98.3
E00132054,0.7,99.3
E00132055,3.7,96.3
E00132056,0,100
E00132057,1.7,98.3
E00132058,0,100
E00132059,0.6,99.4
E00132060,0,100
E00132154,0.8,99.2
E00132155,0.8,99.2
E00132156,1.2,98.8
E00132157,1.4,98.6
E00132158,0,100
E00132159,0.8,99.2
E00132160,1.4,98.6
E00132161,1.7,98.3
E00132162,0,100
E00132163,1.8,98.2
E00132164,1.6,98.4
E00132165,2.8,97.2
E00132166,2.6,97.4
E00132167,3.5,96.5
E00132168,0,100
E00132176,1.6,98.4
E00132177,0.9,99.1
E00132178,0.9,99.1
E00132179,1.4,98.6
E00132180,0,100
E00132181,0,100
E00132182,0,100
E00132183,0.6,99.4
E00132184,1.3,98.7
E00132185,5.6,94.4
E00132186,2.2,97.8
E00132187,0.7,99.3
E00132188,2.2,97.8
E00132189,0.5,99.5
E00132190,1.5,98.5
E00132191,5.7,94.3
E00132192,0,100
E00132193,5.7,94.3
E00132194,4.4,95.6
E00132195,0.7,99.3
E00132196,0.7,99.3
E00132197,9,91
E00132198,0.7,99.3
E00132199,1.7,98.3
E00132200,0.6,99.4
E00132219,1.7,98.3
E00132220,0.7,99.3
E00132221,0.9,99.1
E00132222,2.4,97.6
E00132223,1.6,98.4
E00132224,0.8,99.2
E00132225,1.3,98.7
E00132226,2.2,97.8
E00132227,2.6,97.4
E00132242,1.3,98.7
E00132243,0.6,99.4
E00132245,1.4,98.6
E00132246,1.8,98.2
E00132247,0,100
E00132248,0.7,99.3
E00132284,1.5,98.5
E00132285,1.3,98.7
E00132286,0,100
E00132287,0,100
E00132289,0.9,99.1
E00132290,3.3,96.7
E00132292,0,100
E00132293,3.8,96.2
E00132294,0,100
E00132295,0,100
E00132296,4,96
E00132297,0.7,99.3
E00132298,1.5,98.5
E00132299,1.3,98.7
E00132300,0,100
E00132301,4,96
E00132302,5,95
E00132303,2.1,97.9
E00132401,0.5,99.5
E00132402,0,100
E00132404,0,100
E00132405,0.9,99.1
E00132408,3.3,96.7
E00132409,0,100
E00132410,2.3,97.7
E00132411,1.5,98.5
E00132412,0.9,99.1
E00132413,3.1,96.9
E00132414,0,100
E00132415,2.2,97.8
E00132416,1.3,98.7
E00132417,1.8,98.2
E00132418,1,99
E00132420,2.8,97.2
E00132453,5.8,94.2
E00132454,2.1,97.9
E00132455,0,100
E00132456,0.8,99.2
E00132457,1.2,98.8
E00132459,2.3,97.7
E00132460,1.1,98.9
E00132461,2.8,97.2
E00132462,3.6,96.4
E00132463,1.8,98.2
E00132464,2.6,97.4
E00132465,2.3,97.7
E00132466,1.4,98.6
E00132467,3.7,96.3
E00132468,1.9,98.1
E00132469,1.5,98.5
E00132470,1.4,98.6
E00132471,2.1,97.9
E00132472,0.7,99.3
E00132473,0,100
E00132474,0,100
E00132475,0,100
E00132476,0.8,99.2
E00132477,1.4,98.6
E00132478,0,100
E00132479,0,100
E00132480,1.5,98.5
E00132481,0,100
E00132482,1.5,98.5
E00132483,0.9,99.1
E00132484,0,100
E00132485,2.2,97.8
E00132486,0,100
E00132487,2.7,97.3
E00132488,0,100
E00132489,1.4,98.6
E00132490,1.1,98.9
E00132491,0.8,99.2
E00132492,2.5,97.5
E00132502,3.2,96.8
E00132503,2,98
E00132504,0,100
E00132506,0,100
E00132507,0.7,99.3
E00132508,0,100
E00132509,1.1,98.9
E00132510,1.9,98.1
E00132511,0,100
E00132512,2.9,97.1
E00132513,2.4,97.6
E00132514,2,98
E00132515,1,99
E00132516,0,100
E00132517,0,100
E00132518,2.7,97.3
E00132519,2.9,97.1
E00132520,0,100
E00132521,0,100
E00132522,0,100
E00132523,1.1,98.9
E00132524,1.3,98.7
E00132525,0,100
E00132526,1.6,98.4
E00132527,0,100
E00132528,0.8,99.2
E00132529,0.8,99.2
E00132530,0,100
E00132531,0.8,99.2
E00132535,1.9,98.1
E00132557,0.6,99.4
E00132563,1.9,98.1
E00132564,1.8,98.2
E00132565,2.1,97.9
E00132566,0.9,99.1
E00132567,3.4,96.6
E00132568,2.1,97.9
E00132569,2.8,97.2
E00132570,2.5,97.5
E00132571,1.2,98.8
E00132572,2.7,97.3
E00132573,1.5,98.5
E00132574,0,100
E00132575,0,100
E00132576,0,100
E00132577,1.6,98.4
E00132578,4,96
E00132579,0.5,99.5
E00132580,0.6,99.4
E00132581,1.9,98.1
E00132582,1,99
E00132583,1.2,98.8
E00132584,2.7,97.3
E00132585,2.1,97.9
E00132586,0.9,99.1
E00132587,2,98
E00132588,1.5,98.5
E00132589,1,99
E00132590,2.2,97.8
E00132591,1.3,98.7
E00132592,2.1,97.9
E00132593,0.8,99.2
E00132594,0.7,99.3
E00132595,2.1,97.9
E00132596,3.5,96.5
E00132597,2.3,97.7
E00132598,1.4,98.6
E00132599,2.1,97.9
E00132600,4.1,95.9
E00132601,1.9,98.1
E00132602,1.1,98.9
E00132603,0,100
E00132604,1.7,98.3
E00132606,2.4,97.6
E00132607,1.2,98.8
E00132608,1.1,98.9
E00132609,1.7,98.3
E00135398,4.2,95.8
E00135399,0,100
E00135400,1.1,98.9
E00135401,0,100
E00135402,0,100
E00135576,0,100
E00135577,0.7,99.3
E00135585,0.7,99.3
E00135586,0,100
E00135589,2.8,97.2
E00135599,0,100
E00135600,1.1,98.9
E00135601,1.1,98.9
E00135602,2.3,97.7
E00135603,0.9,99.1
E00135604,1.5,98.5
E00135605,2.1,97.9
E00135606,1.9,98.1
E00135607,0,100
E00135608,2.9,97.1
E00135609,0,100
E00135610,0.5,99.5
E00135611,3.4,96.6
E00135612,0,100
E00135613,0.9,99.1
E00135614,1.9,98.1
E00135615,2.3,97.7
E00135616,3.2,96.8
E00135617,3.8,96.2
E00135618,1.6,98.4
E00169327,1.7,98.3
E00169328,0.9,99.1
E00169329,0.9,99.1
E00169331,1.9,98.1
E00169332,0,100
E00169333,1.8,98.2
E00169337,0,100
E00169348,0.8,99.2
E00169868,1.4,98.6
E00184646,2.1,97.9
E00185263,2.3,97.7
E00185264,1.4,98.6
E00185265,1.6,98.4
E00185267,0,100
E00185268,0,100
E00185269,2.3,97.7
