geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00131967,19.8,40.6,14.2,25.5
E00131968,17.9,47.9,16.2,17.9
E00131969,19.2,45,12.5,23.3
E00131970,21.7,49.6,14,14.7
E00131971,18.5,52.1,16.8,12.6
E00131972,34.2,34.2,11.7,19.8
E00131973,39.5,39.5,10.1,10.9
E00131975,26.2,45.4,14.9,13.5
E00131976,33.9,35.7,16.7,13.7
E00131977,25.7,48.6,10.4,15.3
E00131978,28.7,39.2,11.2,21
E00131993,19,43.8,19,18.2
E00131996,29.1,50.7,10.4,9.7
E00131997,31.7,31.7,20.8,15.8
E00131998,21.3,40.4,14.9,23.4
E00131999,31,47.7,11.6,9.7
E00132000,40.3,32.6,17.8,9.3
E00132001,26.3,35,19,19.7
E00132003,28.3,34.5,17.2,20
E00132004,14.6,47.9,18.1,19.4
E00132007,25.3,34.2,19,21.5
E00132008,21.1,44.5,11.7,22.7
E00132050,17,52.1,12.2,18.6
E00132051,24.2,43,18.8,14.1
E00132052,26.1,34.2,18.6,21.1
E00132053,24.3,31.1,19.2,25.4
E00132054,33.8,37.4,12.9,15.8
E00132055,26.9,41,13.4,18.7
E00132056,19.1,46.8,9.6,24.5
E00132057,25.6,41.3,22.3,10.7
E00132058,23.4,61.3,9.7,5.6
E00132059,30.4,36.3,12.5,20.8
E00132060,25.5,53.2,10.6,10.6
E00132154,30.8,43.8,12.3,13.1
E00132155,35.6,47.7,12.1,4.5
E00132156,36.5,32.9,15,15.6
E00132157,27.7,39.4,15.3,17.5
E00132158,39.2,39.2,8.2,13.3
E00132159,40.3,32.8,19.4,7.5
E00132160,33.3,41.8,13.5,11.3
E00132161,29.5,36.6,16.3,17.6
E00132162,25.8,31.8,16.2,26.3
E00132163,35.1,33.3,15.8,15.8
E00132164,21.1,43.8,14.8,20.3
E00132165,24.3,55,9.9,10.8
E00132166,26.4,51.2,11.6,10.7
E00132167,22.6,47,16.7,13.7
E00132168,22.6,47.6,16.7,13.1
E00132176,21.1,49.5,14.2,15.3
E00132177,29.3,44,15.5,11.2
E00132178,37,35.3,16,11.8
E00132179,30.2,40.3,14.4,15.1
E00132180,25.9,57.1,10.7,6.3
E00132181,28.6,56.3,10.1,5
E00132182,33.1,55.4,5.8,5.8
E00132183,25.5,47.1,14,13.4
E00132184,25.5,40.3,21.5,12.8
E00132185,26.6,54.8,12.4,6.2
E00132186,41.9,41.9,11.8,4.4
E00132187,23.9,54.2,13.4,8.5
E00132188,34.6,50.7,8.1,6.6
E00132189,27,50.2,9.3,13.5
E00132190,41.8,51.5,3,3.7
E00132191,28,44.8,15.2,12
E00132192,29.2,52.3,10,8.5
E00132193,42.8,44,8.2,5
E00132194,34.1,54.5,9.8,1.5
E00132195,33.8,44.6,11.5,10.1
E00132196,35.3,55.1,7.4,2.2
E00132197,36.2,40.3,14.1,9.4
E00132198,22.8,41.6,18.1,17.4
E00132199,25.6,47.1,12.4,14.9
E00132200,41,46.4,7.2,5.4
E00132219,30.5,39,10.2,20.3
E00132220,20.9,50,15.7,13.4
E00132221,22.8,35.1,21.9,20.2
E00132222,18,43.4,14.8,23.8
E00132223,25.4,40,19.2,15.4
E00132224,26.9,44.8,11.2,17.2
E00132225,16.7,51.3,16.7,15.4
E00132226,15.6,63.3,12.2,8.9
E00132227,17.3,46.7,16,20
E00132242,28.2,51.3,15.4,5.1
E00132243,25.8,52.2,12.6,9.4
E00132245,24.1,47.7,13.4,14.8
E00132246,18.9,45,18.3,17.8
E00132247,29,45.8,13.1,12.1
E00132248,20.4,48.6,15.5,15.5
E00132284,27.7,46.2,10.8,15.4
E00132285,23.1,55.1,7.7,14.1
E00132286,31,51,12,6
E00132287,29.6,40.9,15.7,13.9
E00132289,21.4,46.4,17.9,14.3
E00132290,20,60,13.3,6.7
E00132292,22.4,56.7,14.9,6
E00132293,26.4,45.3,13.2,15.1
E00132294,27.7,45.8,18.1,8.4
E00132295,17.5,45.6,21.1,15.8
E00132296,30.7,41.2,11.1,17
E00132297,34.2,45.9,10.3,9.6
E00132298,33.8,55.4,8.2,2.6
E00132299,24.3,39.4,15.9,20.4
E00132300,31.7,47.5,12.5,8.3
E00132301,39,58,3,0
E00132302,42.4,36.4,11,10.2
E00132303,28.7,42.6,10.6,18.1
E00132401,35.1,48.9,9.6,6.4
E00132402,36.6,59,3.1,1.2
E00132404,36.9,39.3,14.8,9
E00132405,51.3,23.5,7.8,17.4
E00132408,30.3,24.6,20.5,24.6
E00132409,52.3,36.9,9.2,1.5
E00132410,37.3,45.2,8.7,8.7
E00132411,30.8,46.2,10.8,12.3
E00132412,34.8,55.7,7,2.6
E00132413,29.2,41.5,17.7,11.5
E00132414,24.1,53.6,12.5,9.8
E00132415,35.6,33.3,12.2,18.9
E00132416,25,39.1,19.9,16
E00132417,25,34.8,14.3,25.9
E00132418,41.2,30.4,16.7,11.8
E00132420,27.5,34.9,22,15.6
E00132453,58.4,31.8,4.5,5.2
E00132454,55.9,24.5,7.7,11.9
E00132455,53.4,28.2,7.6,10.7
E00132456,33.1,34.7,16.1,16.1
E00132457,33.5,39.6,11,15.9
E00132459,51.5,36.4,1.5,10.6
E00132460,46.2,21.5,15.1,17.2
E00132461,24.8,38.5,11.9,24.8
E00132462,38.1,32.7,15.9,13.3
E00132463,40.7,46,6.2,7.1
E00132464,41.2,31.1,17.6,10.1
E00132465,56.8,25,6.1,12.1
E00132466,40.6,25.9,14.7,18.9
E00132467,59.6,25.7,7.4,7.4
E00132468,32.9,25.9,19,22.2
