areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00131967,98.6,0,0,0,1.4
E00131968,94.4,3.5,0.3,1.4,0.3
E00131969,94,4.3,1.3,0.3,0
E00131970,96,3,0,0.3,0.7
E00131971,95.4,4.6,0,0,0
E00131972,92.3,4.9,2.4,0,0.4
E00131973,96.2,3,0.8,0,0
E00131975,95.2,2.9,1.3,0.6,0
E00131976,94.6,4.3,0.8,0.3,0
E00131977,92,4.9,1.5,0.9,0.6
E00131978,95.2,2.4,2.1,0,0.3
E00131993,96.7,2.7,0.3,0.3,0
E00131996,92.1,3.2,3.2,1.4,0
E00131997,82.8,7.7,4,5.5,0
E00131998,89.9,6.7,0,2.5,0.8
E00131999,89.8,4.1,2.5,1.6,1.9
E00132000,81.5,8.7,7.1,1.2,1.6
E00132001,67.1,15.8,9.8,6,1.3
E00132003,66.5,13.5,12.4,6.5,1.2
E00132004,87.3,6.9,4.7,1.1,0
E00132007,86.2,7.3,4.9,1.3,0.3
E00132008,88.1,8.4,2.2,1.3,0
E00132050,94.1,5.5,0,0.2,0.2
E00132051,91.7,6,0.3,1.3,0.7
E00132052,89.5,5.8,3.4,1,0.2
E00132053,87,5.2,3.9,1.9,1.9
E00132054,95.3,3,0.7,1,0
E00132055,91.4,7.6,1,0,0
E00132056,95.4,3.8,0.8,0,0
E00132057,86,5.9,3.3,1.5,3.3
E00132058,94.7,2.4,0.8,1.6,0.4
E00132059,88.4,5.4,2.4,2.6,1.2
E00132060,95.5,3,0.5,0.5,0.5
E00132154,94.9,4,1.1,0,0
E00132155,95.9,2.4,1.6,0,0
E00132156,93.9,3.1,2,1.1,0
E00132157,98.1,1,0,0,1
E00132158,98.5,0.9,0.6,0,0
E00132159,86.7,6.7,3,2.2,1.5
E00132160,98,1.6,0,0.3,0
E00132161,96.4,3.6,0,0,0
E00132162,97.4,1.8,0.2,0,0.6
E00132163,96.6,1.8,1.6,0,0
E00132164,96.9,2.2,0.3,0,0.6
E00132165,98.7,1.3,0,0,0
E00132166,97.2,1.2,1.6,0,0
E00132167,96.9,2.6,0.5,0,0
E00132168,95,3.2,0.9,0.5,0.5
E00132176,96.8,2.5,0.5,0.2,0
E00132177,99.2,0.8,0,0,0
E00132178,98.4,1.2,0,0,0.4
E00132179,94.5,3.9,1.6,0,0
E00132180,96.4,3.6,0,0,0
E00132181,97.8,2.2,0,0,0
E00132182,97.4,1.7,0,0,0.9
E00132183,97.7,0.6,0.3,1.2,0.3
E00132184,97.9,1.8,0.3,0,0
E00132185,98.1,1.7,0,0.3,0
E00132186,98.8,0.8,0.4,0,0
E00132187,96.9,2,0,1,0
E00132188,96.9,2.3,0,0.8,0
E00132189,98.1,1.7,0,0.2,0
E00132190,98.7,0.8,0.4,0,0
E00132191,95.6,2.2,1.1,1.1,0
E00132192,97.7,2.3,0,0,0
E00132193,97.8,1.6,0.6,0,0
E00132194,95.5,3.6,0,0.8,0
E00132195,98.9,1.1,0,0,0
E00132196,98.3,1.7,0,0,0
E00132197,94.3,2.2,2.2,0,1.3
E00132198,96.3,3.4,0.3,0,0
E00132199,95.9,3.4,0.7,0,0
E00132200,97.3,2.7,0,0,0
E00132219,96.3,2.9,0.7,0,0
E00132220,95.7,3.6,0,0,0.7
E00132221,99.3,0.4,0,0,0.4
E00132222,97.1,2.2,0,0.6,0
E00132223,98.7,1.3,0,0,0
E00132224,98.7,1.3,0,0,0
E00132225,96.5,3,0,0.5,0
E00132226,97.4,2.6,0,0,0
E00132227,98.1,1.6,0.3,0,0
E00132242,97.1,1.9,1,0,0
E00132243,93.3,6.1,0.3,0.3,0
E00132245,97.3,2.5,0.2,0,0
E00132246,97.8,2,0,0.2,0
E00132247,95.8,2.5,0.4,1.3,0
E00132248,95.3,2.6,0.9,0,1.2
E00132284,94.3,3.8,0.6,0.6,0.6
E00132285,94.4,3.7,0.6,1.2,0
E00132286,94.9,2.5,0,1,1.5
E00132287,96.8,2.8,0.4,0,0
E00132289,96.2,3.4,0.4,0,0
E00132290,93.3,4.7,0,0.5,1.6
E00132292,95.9,3.4,0,0,0.7
E00132293,98.4,0,0,0.8,0.8
