areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00096489,10,40,33.8,16.2
E00096760,3.4,29.5,42.3,24.8
E00096761,15.8,43.4,33.6,7.2
E00096762,13.8,36.2,36.8,13.2
E00096763,7.9,38.2,36,18
E00096764,15.3,39.7,32.8,12.2
E00096765,15.5,51.6,23.6,9.3
E00096766,12.5,51.4,30.6,5.6
E00096767,13.4,42.5,33.6,10.4
E00096768,14.2,40.8,28.3,16.7
E00096769,16.5,44.1,26.8,12.6
E00096770,12.2,30.9,39.6,17.3
E00096778,8.3,36.7,33.9,21.1
E00096779,11.6,45.5,30.6,12.4
E00097328,11.7,50,28.3,10
E00097329,0.8,30.3,42.9,26.1
E00097330,8.6,42.2,35.3,13.8
E00097331,15.9,46.7,24.3,13.1
E00097333,5.2,26.7,44,24.1
E00097335,12.9,45.5,33.7,7.9
E00097336,13.9,46.8,29.1,10.1
E00097343,16.5,57.3,18.4,7.8
E00097344,4.4,32.5,41.2,21.9
E00097345,11.9,40.7,32.2,15.3
E00097346,14.5,45.7,33.3,6.5
E00097347,7,35,41,17
E00097366,14.2,49.2,29.2,7.5
E00097367,31.5,41.1,18.5,8.9
E00097368,39.1,43.5,12.2,5.2
E00097369,29.5,41,24.6,4.9
E00097372,50.8,28.7,17.2,3.3
E00097376,16.8,48.8,25.6,8.8
E00097377,32.1,43.3,19.4,5.2
E00097380,31.6,44.4,16.2,7.7
E00097381,14.8,49.2,22.7,13.3
E00097382,33.9,47.8,16.5,1.7
E00097383,27.3,46.1,21.1,5.5
E00097428,5.8,27.2,45.6,21.4
E00097430,4.4,39.8,33.6,22.1
E00097431,0,30,48.3,21.7
E00097432,7.4,27.5,37.6,27.5
E00097433,21.2,49.6,24.8,4.4
E00097434,45.5,37.5,9.8,7.1
E00097435,32.8,41.2,21,5
E00097436,20.4,43.8,25.9,9.9
E00097437,9.2,29.6,50,11.2
E00097438,20.7,55,18.9,5.4
E00097439,33.6,40.9,22.7,2.7
E00097440,37.8,39,17.1,6.1
E00097441,5.4,29.5,39.2,25.9
E00097442,11.1,43,36.3,9.6
E00097443,14,53,29,4
E00097444,11.7,54.4,24.3,9.7
E00097445,9.4,50,35.2,5.5
