geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00051763,89.8,3.1,2,5.1
E00051764,90.6,5.4,2.7,1.3
E00051766,87.1,6.9,1.5,4.5
E00051770,87.6,5.5,1.8,5.1
E00051797,83,8,3.8,5.2
E00051817,89.7,3.3,2.9,4
E00051818,87.9,5,3.4,3.7
E00051847,89.3,2.7,3,5
E00051848,87.7,6.9,3,2.4
E00051855,89.5,3.2,2.3,5
E00051856,88.5,3.1,2.7,5.7
E00051857,90.3,2.9,3.2,3.7
E00051858,88,4.7,2.3,5
E00051859,88.6,4,3,4.4
E00051860,92.1,2.3,3.6,2
E00051861,88.8,6.5,1.1,3.6
E00051862,86.6,2.4,5.1,6
E00051863,86.1,6.1,2,5.7
E00051867,87.5,4,3,5.5
E00051886,87.9,6.6,0.4,5.1
E00051887,90.3,4.3,2.6,2.9
E00051888,91.9,2.4,3,2.7
E00051889,92.3,2.4,3.3,2
E00051890,89.2,4.5,1.5,4.8
E00051891,87.3,3.1,4.8,4.8
E00051892,83.9,4.7,5.1,6.3
E00051893,91.4,1.9,2.2,4.6
E00051894,92.9,1.1,2,4
E00051895,82.3,5.7,3.5,8.5
E00051896,88.3,2.1,2.4,7.2
E00051897,92.5,1.2,2.4,4
E00051898,87.2,4,3.4,5.5
E00051899,90.6,3.6,1.7,4.2
E00051900,89.8,4.5,2.1,3.6
E00051902,90.4,2.3,2,5.3
E00051903,84.7,3.6,5.6,6.1
E00051904,91.6,3.9,1.9,2.6
E00051905,92,2.3,2.6,3.2
E00051906,89.8,1.6,2.5,6
E00051908,86.5,4,3,6.4
E00051909,87.7,2.1,2.8,7.4
E00051910,91.4,1.1,1.5,6
E00051911,90.2,3.8,0.9,5.1
E00051912,92.6,2.9,3.3,1.2
E00051913,84.5,5,2.7,7.7
E00051914,90.5,2.8,2.8,3.9
E00051915,89.7,4.1,2.4,3.8
E00051916,90.6,3.1,2.9,3.4
E00051917,90.5,0.6,4.4,4.4
E00051918,92.1,2.4,2.8,2.8
E00051919,91.9,3.8,1.7,2.6
E00051920,90.2,5.8,1.7,2.4
E00051921,90.2,4.5,1,4.2
E00051922,90.5,3.1,2.5,4
E00051923,90.2,1.3,6.5,2
E00051929,90.3,1.9,5.1,2.7
E00051930,89.6,2.8,2.5,5
E00051932,87.5,6.1,2.4,4
E00051933,88.7,3.6,3.2,4.5
E00051934,92.9,4.5,1,1.5
E00051935,93.3,2,4,0.7
E00051936,91.9,1.5,1.3,5.3
E00051937,88.9,1.9,4.6,4.6
E00051938,89.8,2.7,4.3,3.2
E00051939,89,1.5,3.3,6.3
E00051940,88.5,4.5,2.8,4.2
E00051941,90.8,2.9,2.1,4.2
E00051942,92.1,1.7,3.7,2.5
E00051943,91.4,3.2,1.5,3.9
E00051944,88.7,4,2.1,5.2
E00051947,92.5,2.7,2.4,2.4
E00051948,88.4,2.2,4.1,5.4
E00051949,90.3,4.5,1.9,3.2
E00051950,91.3,2.8,2.8,3.1
E00051951,91.3,1.7,1.7,5.2
E00051952,87.4,3,5.3,4.3
E00051954,84,4.1,6.3,5.6
E00051955,91,3.2,2.9,2.9
E00051956,88.7,3.2,5.2,2.9
E00051958,90.4,2.4,3.6,3.6
E00051959,89.1,2.5,3.8,4.7
E00051960,91.9,1.5,2.6,4.1
E00051961,91,3.6,3.3,2.1
E00051962,89.5,3.3,3.6,3.6
E00051963,90.7,1.9,2.8,4.7
E00051964,89.1,3.4,3.8,3.8
E00051965,90.4,1.7,2.5,5.5
E00051966,90.4,3.2,2.2,4.2
E00051967,81.5,10.3,3.1,5.1
E00051968,87.8,3.9,2.4,6
E00051969,89.3,1.3,3.3,6
E00051970,93.5,1.9,3.1,1.5
E00051971,87.7,5.1,1.8,5.4
E00051972,86.9,6.5,3.3,3.3
E00051973,86,3.9,3.3,6.9
E00051974,89.8,2.9,1.5,5.8
E00051975,89,1.1,3.8,6.1
E00051976,88.7,3.2,2.8,5.3
E00051977,91.1,2,2.4,4.5
E00051978,89.6,5.7,1,3.7
E00051979,86.3,4.9,2.3,6.6
E00051980,88.6,4.8,2.6,3.9
E00051981,88,3.7,5.2,3.1
E00051982,90.5,5.1,1.6,2.8
E00051983,86.9,5.9,3.1,4
E00051984,87.6,5.6,2.2,4.5
E00051985,94.5,1.1,1.6,2.7
E00051986,86.3,4.1,5.9,3.7
E00051987,87,7,2.3,3.7
E00051988,83.1,7.5,2.4,7.1
E00051989,90.5,2.5,3.6,3.4
E00051990,89.5,4,1.5,4.9
E00051991,85.5,5,3,6.6
E00051992,91.2,4.4,1.8,2.6
E00051993,89.3,3.7,3.3,3.7
E00051994,91.2,2.7,2.1,4
E00051995,88.4,5.4,3.3,2.9
E00051996,88.4,3.4,3.8,4.4
E00051997,88.7,3.8,2.9,4.6
E00051998,88.6,2.8,4,4.6
E00051999,88.5,1.8,4,5.8
E00052000,89.2,2.4,2.1,6.3
E00052001,87,3.4,3.7,5.9
E00052002,91.3,3.6,2.1,3
E00052003,91.2,4.4,1.6,2.8
E00052004,91.4,4.8,2.8,1
E00052005,91.2,3.2,2.2,3.5
E00052006,88.6,1.8,3.6,6
E00052008,88.2,3.6,2.5,5.8
E00052009,90.3,3.2,2.6,3.9
E00052010,93.9,2.2,1.1,2.8
E00052011,92.4,2.4,3.8,1.4
E00052012,91.7,3.3,1.5,3.6
E00052013,91.4,2.3,1.6,4.7
E00052016,90.5,4.1,2.8,2.5
E00052017,86.5,6.7,2.9,3.8
E00052018,88.5,8.7,1.9,0.9
E00052019,88.5,7,1.7,2.8
E00052020,87.8,9,2,1.2
E00052021,89.2,8.2,1.5,1.1
E00052022,91.8,6.2,1.4,0.7
E00052023,82.9,9.5,3.2,4.5
E00052024,92,4.8,1.2,2
E00052025,92.2,3.4,1.5,2.9
E00052026,85.9,5.9,3.5,4.7
E00052027,84.6,6.8,3.8,4.8
E00052028,92.7,1.1,3.4,2.7
E00052029,87.5,6.4,2.4,3.7
E00052030,83.8,6.1,2.4,7.8
E00052031,91,1,2.7,5.4
E00052032,89,3.8,4.1,3.1
E00052033,92.7,1.5,3.1,2.7
E00052034,89.6,3.3,2.9,4.2
E00052035,85.8,4.5,3.8,5.9
E00052036,91.9,0,1.7,6.4
E00052037,88.4,4,3,4.6
E00052038,87.3,5.2,3.4,4.1
E00052039,86.5,5.9,4.5,3.2
E00052040,88.5,3.8,3.8,3.8
E00052041,89.2,5.2,3.1,2.4
E00052042,94,1.8,2.4,1.8
E00052043,91.4,3.4,1.1,4
E00052044,90.9,4.3,1.8,3
E00052045,91.1,4.9,2.9,1.1
E00052046,93.7,2.4,1,2.8
E00052047,89.8,4.9,2.5,2.7
E00052048,91.5,3.7,1.5,3.3
E00052049,89.3,2.5,3.6,4.7
E00052050,86.9,4.3,3.7,5.1
E00052051,87.3,4.6,4.1,4.1
E00052052,90.6,2,3,4.4
E00052053,90.9,2.9,4,2.2
E00052056,88.6,6.4,1.8,3.2
E00052058,88.3,7,1.5,3.2
E00052059,90.7,7.1,1,1.3
E00052062,88,7.3,2.1,2.6
E00052063,88.6,4.2,2.9,4.2
E00052064,90.8,4.1,2,3.1
E00052065,90,5,1.5,3.5
E00052066,86.5,4,5,4.6
E00052067,86.6,5.1,4,4.3
E00052070,86.5,3.9,3.4,6.3
E00052071,85.4,4.8,3.4,6.5
E00052072,86.8,4.1,4.4,4.7
E00052073,88.8,5.2,2.3,3.7
E00052075,86.9,5.2,3.5,4.5
E00052076,87.2,5.2,2.4,5.2
E00052086,91.4,2.1,2.7,3.8
E00052135,86.1,5.2,5.2,3.4
E00052136,91,2.3,2.6,4.1
E00052137,89.2,5.3,2.5,3.1
E00052138,87.1,6,2,5
E00052139,91.7,4.3,1.9,2.2
E00052140,86,7.4,2.9,3.7
E00052141,92.7,3.4,1.5,2.4
E00052142,90.9,3.4,3,2.7
E00052143,84.4,7.3,2.3,6
E00052144,89.2,2.9,4.4,3.4
E00052145,89.9,5.7,1.1,3.3
E00052146,85.6,5.1,4.2,5.1
E00052147,92.7,2.8,0.7,3.8
E00052148,88.6,7.2,0.4,3.8
E00052149,92.2,1.6,3.3,2.9
E00052150,88.8,6.9,3,1.3
E00052151,90.3,3.1,2.8,3.8
E00052152,90.7,3.6,3.3,2.4
E00052153,89.1,3.3,3,4.6
E00052154,91.8,3.1,2.1,3.1
E00052156,87.6,6.9,2,3.6
E00052157,83.1,10.4,2.7,3.9
E00052161,87.3,3.5,3.5,5.8
E00052162,82.4,5.4,7.1,5
E00052163,89.7,6.2,0.3,3.8
E00052164,85.5,4.6,3.7,6.2
E00052165,93.3,2.5,2.2,2
E00052166,86.9,7.4,1.4,4.3
E00052167,91.2,4,1.5,3.3
E00052168,91.8,4,1.9,2.3
E00052169,89.8,4.6,2.6,3
E00052170,87.5,5.3,1.4,5.7
E00052171,90.1,3.3,2.4,4.2
E00052172,87.6,3.8,3.4,5.3
E00052173,88.4,3.4,3.4,4.7
E00052174,87.3,7.6,2,3.1
E00052175,89.4,5.7,3,1.9
E00052176,91.7,0.8,1.7,5.8
E00052177,89.5,5.2,1,4.2
E00052178,93.8,2.3,2,2
E00052179,90.7,3.9,1.8,3.6
E00052263,87.7,10.7,0.8,0.8
E00052264,87.1,5.8,3.2,3.9
E00052265,90.3,5.8,1.6,2.3
E00052266,88.7,6.3,2,3
E00052267,88.1,2.9,3.2,5.8
E00052268,90.2,4.9,1.7,3.2
E00052269,89.1,6.7,1.5,2.6
E00052270,87.2,5.8,0.9,6.1
E00052271,89.2,6.2,1.6,2.9
E00052272,89,4.2,3.4,3.4
E00052273,85.2,5.3,2.3,7.2
E00052274,89.6,4.2,1.5,4.6
E00052275,89.3,5.2,2.2,3.3
E00052276,87.7,4.3,1.1,6.9
E00052277,92.2,5.4,1.2,1.2
E00052278,84.3,5.4,3.4,6.9
E00052279,90.2,4.7,2.9,2.2
E00052280,90.7,2.6,2.2,4.5
E00052281,89.8,3.8,2.6,3.8
E00052282,89.1,4.9,3.8,2.3
E00052283,85.5,5,4.6,5
E00052284,89.2,2.9,3.2,4.7
E00052285,86.6,7.8,2.8,2.8
E00052286,87.6,4.9,2.9,4.6
E00052287,86.5,7.5,2.8,3.2
E00052288,88.3,5.3,1.4,5
E00052289,90.9,2.2,1.3,5.6
E00052290,86.3,5,3.8,5
E00052291,88,7.5,1.5,3
E00052292,88.7,5.7,2.8,2.8
E00052293,90.2,4.2,2.1,3.5
E00052294,88.2,3.7,2.4,5.7
E00052295,87.9,6.3,4.5,1.3
E00052296,89.2,4.9,2.2,3.7
E00052297,90.4,4.8,1.5,3.3
E00052298,88.2,6.2,0.7,4.8
E00052299,85.8,6.7,2.4,5.1
E00052300,86.3,7.3,2,4.4
E00052301,85.1,5.5,3.2,6.1
E00052302,88.5,3.4,3.7,4.4
E00052303,89.5,3.6,3.3,3.6
E00052304,87.1,7.6,1.9,3.4
E00052305,91.5,3.5,1.4,3.5
E00052306,89.6,5,2.1,3.3
E00052307,86.4,6.3,3,4.2
E00052308,92,1.6,3.2,3.2
E00052309,90.9,4.2,3.2,1.6
E00052310,86.3,6.5,3.2,4
E00052381,92.2,2.5,1.5,3.8
E00052384,90.5,2,3.2,4.3
E00052385,86.3,4.5,5.4,3.8
E00052386,92.6,2.2,2.4,2.8
E00052387,93.3,0.7,2.4,3.6
E00052388,90.3,4.4,2.6,2.8
E00052389,93.7,2.1,0.8,3.4
E00052391,89.3,3.7,3.7,3.3
E00052392,92.7,1.8,2.5,3
E00052412,92.2,1.6,1.6,4.6
E00052413,88.4,5,2.6,4
E00052414,87.3,2.5,3.9,6.4
E00052415,86.6,6,2.6,4.9
E00052416,89.4,5.6,2.8,2.2
E00052417,88.8,4.2,3.8,3.2
E00052418,89.6,2.5,3.5,4.4
E00052419,90.8,3.1,3.1,3.1
E00052420,90.2,2.2,2.2,5.5
E00052421,91.8,1.8,2.8,3.6
E00052422,90.3,2.9,2.5,4.3
E00052423,89.8,5.8,2.6,1.8
E00052424,92.5,2,1,4.4
E00052425,89.5,3.9,2.3,4.3
E00052426,89.3,3,3,4.8
E00052427,91.6,4.3,2,2.2
E00052428,87.4,4,2.9,5.7
E00052429,91.2,2.8,3.2,2.8
