areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00108600,11.1,54.3,34.6
E00108705,13.8,72.3,13.8
E00108706,9.3,75.9,14.8
E00108707,9,78.4,12.6
E00108708,7.4,84,8.5
E00108709,9.8,75.6,14.6
E00108710,18.2,67.5,14.3
E00108717,12.9,71,16.1
E00108718,16.8,72.5,10.7
E00108719,6.4,66.1,27.5
E00108744,5,78.2,16.8
E00108746,10.8,80,9.2
E00108748,13.1,77.4,9.5
E00108749,13.1,68.9,18
E00108750,7.2,72.5,20.3
E00108751,13.6,69.5,16.9
E00108761,8.1,76.3,15.6
E00108765,5.6,86.1,8.3
E00108769,17.1,75.6,7.3
E00108770,18.6,61.1,20.4
E00109905,15.4,66.2,18.5
E00109906,8,77,15
E00109907,11.5,53.3,35.2
E00109908,14.3,63.3,22.4
E00109910,11.9,59.5,28.6
E00109911,17.2,59.6,23.2
E00109914,11.2,70.8,18
E00109915,11.8,55.9,32.4
E00109916,19.3,54.5,26.1
E00109917,20.2,53.6,26.2
E00109918,12,74.4,13.6
E00109919,13,52.8,34.3
E00109920,16.1,57,26.9
E00109921,9.2,73.1,17.6
E00109922,11.8,60,28.2
E00109923,16.1,56.1,27.7
E00109924,20.7,64.9,14.4
E00109925,8.7,65.2,26.1
E00109926,20,49.1,30.9
E00109927,14.7,59.5,25.9
E00109928,10.1,78,11.9
E00109929,14.3,66.4,19.3
E00109930,10.1,38.5,51.4
E00109931,17.4,60.9,21.7
E00109932,19.1,67,13.8
E00109933,10.7,65,24.3
E00109934,11.5,50.4,38.1
E00109937,12,70.7,17.3
E00109938,9,80.9,10.1
E00109939,7,76.7,16.3
E00109940,10.6,80.3,9.1
E00109941,7.5,77.5,15
E00109942,13.6,69.7,16.7
E00109943,7.1,79.6,13.3
E00109949,6.5,67.5,26
E00109950,15.4,62.5,22.1
E00109952,12.8,79.5,7.7
E00109954,15.7,62.8,21.5
E00109956,20.5,61.6,17.8
E00109958,13.3,59.3,27.4
E00109959,8.7,73,18.3
E00109961,17.3,64.2,18.5
E00109962,14.7,64.2,21.1
E00109963,7.9,72.1,20
E00109964,12.1,67.7,20.2
E00109965,15.6,65.6,18.9
E00109967,29.8,53.2,17
E00109968,15.9,62.5,21.6
E00109969,26.5,55.9,17.6
E00109972,27.5,53.8,18.8
E00109973,17.2,67.7,15.2
E00109974,15.8,56.1,28.1
E00109975,16.2,62.2,21.6
E00109976,11.9,80.5,7.6
E00109978,7.3,64.2,28.4
E00109979,13.6,79,7.4
E00109980,7.3,80.5,12.2
E00109981,11,71.4,17.6
E00109982,25,61.7,13.3
E00109983,12,73.1,14.8
E00109984,17.7,69.4,12.9
E00109985,13.4,68.3,18.3
E00109986,19.8,63.7,16.5
E00109987,21.8,54,24.1
E00109988,15.7,70.8,13.5
