geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00080562,45.9,34.1,11.1,8.9
E00080563,31.5,23.6,17.3,27.6
E00080564,22.6,30.8,25.3,21.2
E00080565,38.5,29.5,9,23
E00080566,25.6,34.6,13.5,26.3
E00080567,18.6,33.1,22,26.3
E00080568,23.2,28.3,18.2,30.3
E00080569,36.4,31.1,15.2,17.4
E00080570,17.6,25.5,23.5,33.3
E00080571,44.8,28.8,8,18.4
E00080572,23,29.5,18,29.5
E00080573,20,25,27.5,27.5
E00080574,34.1,24,16.2,25.7
E00080575,20.4,24.1,19.7,35.8
E00080576,17.6,36,13.6,32.8
E00080577,10.9,23.3,21.7,44.2
E00080578,22.3,27.3,12.4,38
E00080579,16.1,29,19.4,35.5
E00080580,44.7,27.6,9.8,17.9
E00080581,12.7,28.6,15.9,42.9
E00080582,18.5,23.7,17,40.7
E00080583,21.1,18.7,21.1,39
E00080584,19.3,26.7,26.7,27.4
E00080585,24.6,25.4,20.3,29.7
E00080586,27.1,24.3,14,34.6
E00080587,20.8,31.5,23.5,24.2
E00080588,27.5,36.2,17.4,18.8
E00080589,18.5,32.7,29,19.8
E00080590,17.7,32.9,30.4,19
E00080591,22.8,17.9,23.6,35.8
E00080592,28.9,30.3,19.1,21.7
E00080629,18.6,39.2,14.7,27.5
E00080630,18.8,43.6,20.5,17.1
E00080631,16.4,31.4,25.8,26.4
E00080632,19.1,29,19.8,32.1
E00080633,22,31.3,22,24.7
E00080634,18.7,42.9,16.5,22
E00080635,20.5,35.1,16.4,28.1
E00080637,19.1,33.6,16.4,30.9
E00080638,32.2,29.8,14,24
E00080639,10.8,37.3,24.5,27.5
E00080640,17.1,31.6,23.9,27.4
E00080641,17.9,24.2,25.3,32.6
E00080642,15.6,24.8,30.3,29.4
E00080643,25.2,22,12.6,40.2
E00080645,9,32.6,28.1,30.3
E00080646,35.3,36.8,22.1,5.9
E00080647,15.3,36,24.3,24.3
E00080648,15.1,37.8,28.6,18.5
E00080649,43.4,25.5,11.3,19.8
E00080714,31,32.7,15.9,20.4
E00080726,21.3,29.3,23.1,26.2
E00080729,15.4,33.3,18.7,32.5
E00080786,21.3,36.9,24.1,17.7
E00080791,20.6,36.4,21.8,21.2
E00080793,17.4,31.9,17.4,33.3
E00080908,16.7,24.2,22.7,36.4
E00080909,17,29.8,28.7,24.6
E00080911,18.5,25.9,21.3,34.3
E00080912,38.6,22.9,9.2,29.4
E00080914,16.5,15.8,15.8,51.8
E00080915,33.6,20.8,13.6,32
E00080917,24.6,23.8,16.7,34.9
